DateTime,AddedIPs,RemovedIPs
1584364036,1,2
1584367642,1,1
1584371215,1,1
1584374831,1,2
1584378426,1,1
1584382022,1,1
1584385619,2,1
1584389225,1,1
1584392831,2,1
1584396415,2,2
1584400048,1,1
1584403682,1,2
1584407238,2,2
1584410831,1,1
1584414421,2,1
1584418035,1,2
1584421638,1,0
1584425232,2,1
1584428842,1,2
1584432441,2,2
1584436037,1,1
1584439655,1,1
1584443250,1,1
1584446847,1,1
1584450458,1,1
1584454047,2,2
1584457661,2,2
1584461248,1,1
1584464854,1,2
1584468461,1,1
1584472047,1,1
1584475656,1,1
1584479260,2,1
1584482847,2,2
1584486444,1,1
1584490070,2,2
1584493656,1,2
1584497254,2,1
1584500852,2,2
1584504458,1,1
1584508071,2,2
1584511661,1,1
1584515228,2,1
1584518858,1,1
1584522446,1,2
1584526049,1,2
1584529645,3,1
1584533241,1,1
1584536847,1,2
1584540456,1,1
1584544040,1,4
1584547652,3,1
1584551247,2,1
1584554856,1,2
1584558440,1,1
1584562036,2,2
1584565660,0,1
1584569233,1,1
1584572843,1,1
1584576505,1,1
1584580041,2,0
1584583633,2,1
1584587230,1,2
1584590857,2,2
1584594456,2,2
1584598044,1,1
1584601656,1,2
1584605222,2,2
1584608856,2,1
1584612442,1,2
1584616048,2,1
1584619648,2,2
1584623250,2,2
1584626823,1,1
1584630444,2,2
1584634044,2,2
1584637657,1,1
1584641235,1,2
1584644841,2,2
1584648432,1,1
1584652037,1,1
1584655658,1,2
1584659252,1,1
1584662849,1,1
1584666429,1,1
1584670040,2,1
1584673644,2,1
1584677246,1,2
1584680817,3,2
1584684436,2,2
1584688037,1,2
1584691653,1,2
1584695248,3,1
1584698841,2,1
1584702442,2,2
1584706034,1,2
1584709629,1,2
1584713239,1,1
1584716836,1,1
1584720446,1,1
1584724040,1,2
1584727633,1,2
1584731249,1,0
1584734857,0,1
1584738432,2,1
1584742019,1,1
1584745632,1,1
1584749250,2,0
1584752857,2,2
1584756435,2,1
1584760039,2,2
1584763643,1,2
1584767223,1,2
1584770854,2,2
1584774465,1,1
1584778049,1,1
1584781648,2,2
1584785246,1,1
1584788834,1,1
1584792448,1,1
1584796056,2,1
1584799652,2,2
1584803240,1,1
1584806851,1,1
1584810414,2,2
1584814027,1,1
1584817632,1,2
1584821242,2,2
1584824846,1,1
1584828438,2,2
1584832047,1,2
1584835648,1,1
1584839225,1,1
1584842855,1,1
1584846438,1,2
1584850052,1,1
1584853621,1,1
1584857240,2,1
1584860854,1,1
1584864443,1,2
1584868034,1,0
1584871652,2,1
1584875249,1,1
1584878825,2,2
1584882473,2,2
1584886057,1,1
1584889652,1,2
1584893255,2,1
1584896858,1,1
1584900432,1,2
1584904062,2,1
1584907649,2,2
1584911260,1,1
1584914830,1,2
1584918451,1,1
1584922070,1,1
1584925655,0,1
1584929263,0,1
1584932850,2,1
1584936449,2,2
1584940048,2,0
1584943652,1,1
1584947251,1,2
1584950850,1,2
1584954432,1,2
1584958058,1,0
1584961654,1,2
1584965258,3,1
1584968826,3,1
1584972451,2,2
1584976031,1,0
1584979619,1,3
1584983251,1,1
1584986846,1,2
1584990445,1,1
1584994050,1,1
1584997646,1,1
1585001262,1,1
1585004851,1,1
1585008455,1,2
1585012073,1,1
1585015657,1,1
1585019250,2,1
1585022824,1,1
1585028048,2,1
1585031830,2,1
1585035149,1,2
1585039267,1,2
1585043018,2,1
1585048068,4,3
1585052839,0,2
1585057679,1,0
1585062461,3,2
1585070000,2,3
1585070758,1,2
1585074772,0,2
1585076845,2,2
1585080465,1,1
1585084050,1,2
1585087743,2,0
1585091256,1,1
1585094859,1,1
1585098453,1,1
1585102036,2,1
1585105633,2,1
1585109245,2,2
1585113342,1,2
1585116438,1,2
1585120068,1,1
1585123656,2,1
1585127238,1,2
1585130854,2,1
1585134479,0,2
1585138025,2,1
1585141655,1,2
1585145253,1,1
1585148858,2,1
1585152448,1,2
1585156055,1,1
1585159671,1,1
1585163267,2,1
1585166841,1,1
1585170453,2,1
1585174042,1,2
1585177660,0,2
1585181277,1,0
1585184859,1,1
1585188455,2,1
1585192066,2,0
1585195670,2,2
1585199245,1,2
1585202879,0,2
1585206451,1,2
1585210069,2,1
1585213667,2,1
1585217273,1,0
1585220845,2,2
1585224464,0,2
1585228073,2,2
1585231670,3,2
1585235266,2,2
1585238858,1,0
1585242471,1,2
1585246082,1,1
1585249678,1,1
1585253252,1,1
1585256869,1,1
1585260465,0,1
1585264065,1,1
1585267655,1,1
1585271259,1,1
1585274857,2,1
1585278468,1,1
1585282068,2,2
1585285686,2,1
1585289244,1,1
1585292859,1,2
1585296465,2,2
1585300056,1,1
1585303647,2,1
1585307257,2,1
1585310854,2,2
1585314463,1,2
1585318044,1,2
1585321658,1,1
1585325266,1,2
1585328861,1,1
1585332465,1,1
1585336066,1,1
1585339674,1,2
1585343247,1,1
1585346849,2,1
1585350461,2,1
1585354069,1,1
1585357669,1,1
1585361258,1,1
1585364871,0,1
1585368468,1,1
1585372049,1,1
1585375659,2,1
1585379246,1,1
1585382850,1,1
1585386456,2,2
1585390042,1,1
1585393672,2,1
1585397259,2,2
1585400852,2,1
1585404462,2,2
1585408052,1,2
1585411661,1,2
1585415263,1,1
1585418860,1,2
1585422461,1,1
1585426062,2,2
1585429659,1,1
1585433249,2,0
1585436859,1,2
1585440444,1,2
1585444046,2,1
1585447667,1,1
1585451255,1,1
1585454856,1,1
1585458468,1,1
1585462067,1,1
1585465651,1,1
1585469254,1,1
1585472863,1,1
1585476466,1,1
1585480055,1,1
1585483664,1,2
1585487272,2,1
1585490853,2,1
1585494466,1,1
1585498059,1,2
1585501680,0,2
1585505260,1,1
1585508868,1,2
1585512447,2,0
1585516051,1,0
1585519671,1,1
1585523260,1,1
1585526865,1,1
1585530478,1,1
1585534067,1,1
1585537662,1,2
1585541268,1,2
1585544876,3,1
1585548481,1,2
1585552070,3,1
1585555676,2,2
1585559281,2,1
1585562871,2,2
1585566469,1,2
1585570069,1,1
1585573685,2,2
1585577270,2,1
1585580876,1,2
1585584476,0,2
1585588081,2,2
1585591685,1,1
1585595269,1,2
1585598875,2,0
1585602466,1,1
1585606070,1,2
1585609675,2,1
1585613271,1,1
1585616870,1,1
1585620467,1,1
1585624066,2,2
1585627670,1,1
1585631273,1,1
1585634977,2,1
1585638579,1,1
1585642193,1,1
1585645773,1,2
1585649393,1,1
1585652983,2,2
1585656579,2,1
1585660173,2,1
1585663768,1,2
1585667394,1,2
1585670872,1,2
1585674449,2,1
1585678152,1,2
1585681772,1,0
1585685374,1,1
1585688971,1,1
1585692586,1,2
1585696180,2,1
1585699791,1,1
1585703377,1,1
1585706975,1,1
1585710582,1,1
1585714182,2,1
1585717794,2,1
1585721391,2,2
1585725267,1,2
1585728862,2,1
1585732424,1,2
1585736030,2,2
1585739626,1,1
1585743258,2,2
1585746844,1,1
1585750432,1,1
1585754045,1,2
1585757647,1,1
1585761235,2,2
1585764839,1,1
1585768421,1,1
1585772047,2,1
1585775643,2,1
1585779265,1,2
1585782828,1,3
1585786440,2,1
1585790019,2,1
1585793627,1,2
1585797239,1,3
1585800828,4,1
1585804451,2,2
1585808022,2,1
1585811645,1,2
1585815209,1,2
1585818830,3,2
1585822416,1,1
1585826031,2,2
1585829642,2,1
1585833229,2,2
1585836807,1,5
1585840437,5,2
1585844043,0,1
1585847631,2,1
1585851208,1,7
1585854772,6,1
1585858366,1,0
1585861990,1,1
1585865579,1,1
1585869214,1,1
1585872781,1,1
1585876377,2,1
1585879958,0,1
1585883592,1,5
1585887199,2,2
1585890772,1,1
1585894374,2,0
1585898001,2,1
1585901571,1,2
1585905199,1,2
1585908783,2,2
1585912389,2,1
1585916040,3,1
1585919628,1,2
1585923230,1,1
1585926822,2,3
1585930422,1,1
1585934031,2,2
1585937633,1,2
1585941205,1,1
1585944817,1,1
1585948041,0,1
1585951651,2,1
1585955242,1,1
1585958846,2,2
1585962447,1,1
1585966041,1,1
1585969643,2,1
1585973232,1,1
1585976848,1,2
1585980438,1,1
1585984028,1,1
1585987653,0,1
1585991242,0,1
1585994846,1,1
1585998445,0,2
1586002044,1,0
1586005634,2,0
1586009234,1,1
1586012828,2,1
1586016446,2,0
1586020035,1,2
1586023656,1,2
1586027236,1,1
1586030845,1,1
1586034444,1,1
1586038044,1,1
1586041639,1,1
1586045251,1,2
1586048846,1,1
1586052445,0,1
1586056051,1,2
1586059645,2,0
1586063232,1,1
1586066838,2,0
1586070448,1,1
1586074058,1,2
1586077645,1,2
1586081245,2,1
1586084850,0,1
1586088450,2,1
1586092052,1,1
1586095646,2,2
1586099268,1,1
1586102840,2,2
1586106443,1,1
1586110043,1,1
1586113637,1,1
1586117250,1,1
1586120849,1,1
1586124444,1,1
1586128042,1,1
1586131647,1,1
1586135240,0,1
1586138845,1,1
1586142462,2,1
1586146067,1,2
1586149659,2,0
1586153255,1,2
1586156856,2,1
1586160444,2,2
1586164052,2,2
1586167643,2,2
