DateTime,AddedIPs,RemovedIPs
1585172656,204,155
1585174575,187,712
1585176508,163,141
1585178410,163,151
1585180393,178,140
1585182261,122,121
1585185615,219,287
1585187550,165,152
1585189467,112,121
1585191371,159,128
1585193291,161,200
1585196172,192,208
1585198104,140,165
1585200022,195,494
1585201980,2434,535
1585203990,169,187
1585206968,220,257
1585208903,136,167
1585210812,150,162
1585212728,131,221
1585214665,139,174
1585216571,141,166
1585218489,126,134
1585221374,260,253
1585223305,165,148
1585225226,117,139
1585227135,152,151
1585229072,163,138
1585230973,150,150
1585232891,149,143
1585234887,126,122
1585236738,134,129
1585238672,114,158
1585240574,179,172
1585242494,126,238
1585244427,128,130
1585246354,570,139
1585248270,133,131
1585250174,229,154
1585252106,2470,139
1585254011,2043,137
1585255932,1540,124
1585257871,132,138
1585259782,165,173
1585261694,138,150
1585264575,243,214
1585266509,150,154
1585268410,142,118
1585270339,157,137
1585272263,129,128
1585274175,138,170
1585276091,140,127
1585278056,144,173
1585279936,141,181
1585281878,118,130
1585283788,132,144
1585285730,150,132
1585287614,382,1936
1585289551,115,428
1585291378,148,164
1585293373,138,153
1585295300,134,157
1585297213,149,150
1585299141,179,159
1585301054,176,143
1585302971,175,160
1585304907,158,136
1585307777,309,350
1585309689,158,189
1585311621,186,141
1585313530,123,153
1585315448,128,151
1585317379,114,162
1585319289,148,146
1585322178,186,209
1585324095,462,130
1585326025,341,133
1585327967,152,124
1585329853,193,113
1585331785,155,316
1585333705,148,131
1585335646,184,126
1585337554,156,199
1585339459,119,126
1585341376,165,559
1585343316,161,2333
1585345213,180,2923
1585347156,219,1001
1585349064,127,166
1585350971,153,169
1585352904,134,155
1585354811,177,150
1585356728,131,166
1585358668,113,157
1585360569,150,123
1585362491,144,150
1585365367,226,205
1585367302,244,148
1585369208,144,120
1585371128,134,151
1585373064,127,391
1585374967,131,145
1585376889,132,122
1585379768,315,218
1585381710,135,127
1585383612,108,169
1585385529,142,164
1585387466,150,169
1585389371,129,174
1585391297,126,156
1585394187,198,332
1585396103,328,172
1585398010,228,181
1585399939,139,133
1585401848,155,124
1585403767,199,114
1585405687,178,138
1585408570,224,215
1585410490,183,479
1585412422,133,315
1585414326,165,144
1585416259,180,187
1585418167,138,163
1585420086,800,162
1585422040,1500,170
1585423951,1416,149
1585425889,136,127
1585427800,142,161
1585429694,117,150
1585431617,149,167
1585433546,172,258
1585435454,646,146
1585437373,551,146
1585439303,126,144
1585441212,126,183
1585443130,134,119
1585445065,144,130
1585446972,279,161
1585448933,209,139
1585451770,145,220
1585453699,129,248
1585455623,134,151
1585457530,115,138
1585459465,101,123
1585461368,103,128
1585464257,3094,189
1585466194,3281,286
1585468088,111,142
1585470012,86,124
