DateTime,AddedIPs,RemovedIPs
1584366495,1,0
1584368424,1,0
1584378973,0,3
1584385695,2,0
1584387618,0,1
1584389549,0,1
1584393383,2,1
1584395293,1,0
1584399129,1,0
1584402986,0,1
1584404890,1,0
1584408749,0,1
1584412591,1,3
1584414495,0,3
1584416410,0,1
1584420255,0,1
1584424331,0,1
1584430115,0,1
1584438733,0,1
1584444489,0,1
1584448349,1,3
1584450308,0,1
1584452176,0,1
1584454141,1,0
1584456041,0,1
1584457941,1,0
1584463708,1,0
1584471369,0,2
1584473367,1,0
1584480018,1,1
1584481931,1,2
1584483873,2,0
1584485769,0,1
1584487691,1,0
1584501647,2,1
1584505468,1,0
1584512173,1,0
1584516007,2,0
1584530438,1,0
1584532335,1,0
1584534275,0,1
1584540968,1,0
1584542906,1,0
1584544846,1,1
1584546730,1,0
1584550568,0,1
1584559224,0,1
1584566888,0,2
1584569792,1,2
1584571699,0,1
1584573629,0,1
1584577451,1,0
1584588254,0,2
1584590185,1,1
1584596895,2,0
1584598855,0,1
1584600731,0,2
1584604587,1,0
1584612513,1,0
1584616335,0,1
1584618269,0,1
1584620193,2,0
1584622100,0,1
1584625940,0,2
1584627854,1,0
1584629785,0,1
1584631692,0,1
1584634573,3,1
1584640326,1,0
1584644177,1,0
1584650894,1,0
1584654728,0,1
1584666511,1,0
1584672262,1,0
1584678046,0,1
1584679934,1,0
1584683771,0,2
1584685703,1,0
1584690491,0,1
1584696269,1,0
1584698171,0,1
1584704908,0,1
1584706834,1,1
1584719555,0,1
1584721451,0,1
1584723398,1,0
1584725288,1,0
1584728422,2,1
1584730333,0,1
1584738036,1,1
1584745702,0,1
1584747610,1,0
1584753624,1,1
1584755528,1,0
1584759380,0,1
1584764171,1,1
1584766340,1,1
1584768251,1,0
1584770180,1,0
1584772093,0,1
1584776916,2,0
1584782893,0,1
1584787694,1,0
1584789631,1,0
1584791530,1,0
1584793449,0,1
1584799293,1,0
1584801148,1,0
1584810747,0,2
1584814572,0,2
1584822487,1,0
1584825381,0,1
1584831142,1,0
1584833061,1,0
1584834969,1,1
1584839773,1,1
1584843615,1,1
1584845533,1,0
1584847463,2,0
1584854176,0,2
1584862824,1,1
1584864733,0,1
1584866670,1,0
1584872434,0,1
1584874335,3,1
1584876276,0,1
1584884906,2,1
1584888731,0,1
1584894489,1,0
1584897371,2,0
1584901225,0,1
1584908890,1,1
1584912745,1,0
1584916612,1,1
1584918499,3,1
1584920415,1,0
1584922349,1,1
1584926417,0,1
1584928332,1,0
1584930262,1,2
1584932170,0,1
1584934093,0,2
1584936990,1,0
1584938904,1,0
1584940814,2,0
1584948489,0,1
1584950487,1,0
1584952346,1,1
1584956195,1,0
1584960013,0,2
1584961932,0,1
1584964126,1,0
1584971769,0,2
1584975672,1,0
1584981383,0,1
1584983295,0,2
1584985211,3,0
1584989057,1,0
1584995059,0,1
1584998886,0,1
1585003706,0,3
1585005612,0,1
1585007534,0,1
1585009475,0,1
1585016182,0,2
1585021953,0,1
1585023894,1,0
1585025787,1,1
1585027704,0,1
1585035377,0,1
1585039461,0,1
1585041374,1,1
1585047131,1,0
1585050982,0,1
1585052890,1,0
1585054948,2,0
1585058916,1,0
1585062758,1,1
1585066582,2,0
1585072331,0,3
1585074253,2,0
1585076182,0,2
1585078094,2,0
1585080978,1,0
1585084822,1,0
1585090580,1,0
1585094486,1,0
1585109778,0,1
1585111699,1,1
1585113644,1,0
1585117459,1,0
1585119387,2,0
1585128281,0,1
1585134977,0,1
1585138815,0,1
1585140754,0,3
1585142664,1,0
1585146739,1,1
1585148692,0,1
1585152754,0,1
1585154914,1,1
1585158736,1,0
1585160663,1,1
1585162577,1,0
1585164492,0,2
1585167373,0,1
1585171224,0,1
1585175062,1,0
1585176966,0,1
1585178889,1,0
1585180861,0,1
1585187051,1,0
1585190900,1,0
1585198613,0,2
1585200489,1,0
1585204334,0,1
1585206520,2,2
1585208410,1,0
1585212250,1,0
1585214171,1,0
1585221867,2,0
1585228808,0,1
1585230730,1,0
1585232660,0,1
1585241290,0,1
1585243207,2,0
1585245140,2,1
1585247067,0,1
1585248984,0,1
1585253775,1,0
1585255707,1,0
1585257632,1,0
1585261461,0,1
1585265285,1,1
1585272009,1,0
1585273935,0,1
1585275860,1,0
1585277771,0,1
