DateTime,AddedIPs,RemovedIPs
1582477708,1,0
1582485377,1,0
1582516330,0,1
1582524268,0,1
1582530010,1,0
1582539636,1,0
1582547292,0,1
1582550173,1,0
1582559787,0,1
1582564575,0,1
1582570329,0,1
1582574169,1,0
1582610893,1,0
1582614744,0,1
1582626312,0,1
1582638012,1,1
1582641853,1,0
1582645706,1,0
1582649534,1,0
1582660094,0,1
1582678329,1,0
1582687213,1,0
1582696946,0,1
1582698969,1,0
1582722973,1,1
1582728737,0,1
1582732567,0,1
1582736465,0,1
1582759449,1,0
1582763540,0,1
1582773383,0,1
1582784889,0,1
1582792812,1,0
1582796668,1,0
1582808169,0,1
1582838422,1,0
1582846132,0,1
1582859775,1,0
1582879952,0,1
1582883782,0,1
1582923379,1,0
1582925288,0,1
1582945930,0,1
1582947865,1,0
1582949773,1,0
1582961285,1,0
1582973785,1,0
1582977653,1,0
1582979529,1,0
1583010520,0,1
1583012415,1,0
1583016268,1,0
1583034496,0,1
1583036423,0,1
1583046977,0,1
1583054894,1,0
1583059695,0,1
1583065464,0,2
1583075310,1,0
1583081055,1,0
1583084908,1,0
1583092572,7,0
1583094494,1,0
1583113947,1,0
1583117807,1,0
1583140823,1,0
1583148513,1,0
1583154510,1,0
1583156410,2,0
1583162429,1,0
1583178013,0,13
1583179936,0,1
1583189536,1,0
1583199136,0,1
1583205143,0,1
1583210916,1,0
1583227208,0,1
1583231050,1,0
1583234885,0,1
1583239930,0,1
1583241852,0,2
1583247708,0,1
1583255289,1,0
1583277372,0,1
1583283136,1,0
1583285167,1,0
1583298758,0,1
1583302596,1,0
1583316989,1,1
1583335209,1,0
1583342885,0,1
1583359299,1,0
1583368815,0,1
1583370736,0,1
1583388090,1,1
1583403613,0,1
1583405547,6,0
1583420167,1,0
1583422102,1,0
1583441527,1,0
1583484012,1,0
1583489770,1,0
1583491695,0,9
1583501320,1,0
1583504185,1,0
1583508032,1,2
1583511853,1,0
1583522408,1,0
1583524331,1,0
1583528169,1,1
1583536109,1,0
1583538013,1,0
1583545698,1,0
1583549529,1,0
1583553373,1,0
1583558406,1,0
1583560328,2,0
1583568999,0,1
1583572833,1,0
1583576672,0,1
1583584333,1,0
1583586500,1,0
1583588414,0,1
1583590215,1,0
1583592034,0,1
1583593955,0,1
1583597779,0,1
1583607391,0,1
1583612173,0,1
1583614091,0,1
1583617949,1,0
1583621768,0,1
1583625639,0,1
1583631610,0,1
1583635474,0,1
1583639292,0,1
1583643128,0,1
1583646988,0,2
1583659712,0,1
1583664497,1,0
1583670250,0,1
1583672194,0,1
1583676096,0,1
1583679888,2,0
1583685610,1,0
1583702918,0,1
1583704870,3,0
1583706760,12,0
1583712736,1,0
1583728087,1,0
1583734836,1,0
1583745372,1,0
1583759773,2,0
1583767448,1,0
1583781132,1,0
1583792651,0,19
1583798450,0,1
1583813771,0,1
1583819558,0,1
1583832012,0,1
1583837779,1,0
1583839748,1,0
1583841692,3,0
1583845493,0,2
1583853142,0,1
1583866575,0,1
1583883167,2,0
1583898726,1,0
1583914331,1,0
1583923931,1,1
1583927791,1,4
1583937616,1,0
1583947233,1,0
1583953010,1,0
1583958752,1,0
1583966436,1,0
1583968344,1,2
1583970248,1,0
1583972180,2,0
1583976013,1,0
1583979861,1,0
1583986589,0,1
1583994255,1,0
1584000093,0,1
1584010117,0,1
1584014901,0,1
1584020672,1,0
1584024515,0,1
1584034113,0,1
1584037002,1,0
1584040817,0,1
1584046572,0,1
1584053295,0,1
1584055211,0,1
1584057163,0,1
1584059052,0,2
1584062888,0,1
1584066013,0,1
1584080410,0,1
1584086173,2,0
1584093860,1,0
1584097694,2,0
1584107297,0,1
1584111132,1,0
1584116890,1,0
1584124602,0,1
1584132253,1,0
1584147640,1,0
1584149530,1,0
1584166820,1,0
1584168733,1,0
1584172570,0,2
1584179528,0,1
1584183371,0,2
1584187290,1,0
1584195131,1,0
1584198971,0,1
1584201009,1,0
1584204735,0,1
1584208574,1,0
1584215300,1,0
1584219135,0,1
1584232817,0,1
1584236657,0,1
1584242413,1,0
1584253939,0,1
1584255898,0,1
1584269297,1,0
1584273138,0,1
1584280968,0,1
1584288986,0,1
1584296648,0,1
1584298587,1,0
1584300488,0,1
1584303411,2,0
1584318756,1,0
1584328585,0,1
1584332409,1,0
1584343029,1,0
1584356451,0,1
1584364143,2,0
1584367940,1,0
1584371774,1,0
1584384267,3,1
1584390034,0,2
1584391957,1,0
1584395784,1,0
1584397699,1,0
1584405370,0,1
1584411151,1,0
1584418812,0,1
1584430378,0,1
1584440178,1,0
1584449787,0,1
1584451698,0,1
1584453647,0,1
1584459376,0,1
1584463460,1,0
1584469210,0,2
1584471158,0,1
1584476888,1,0
1584479784,0,1
1584481716,0,1
1584483617,0,1
1584497305,0,1
1584514576,1,0
1584516519,1,0
1584522788,1,0
1584524673,1,0
1584526574,0,1
1584550569,0,1
1584552488,1,0
1584556349,1,0
1584562332,0,1
1584564269,1,0
1584580570,1,0
1584588255,1,0
1584590186,1,0
1584600731,0,1
1584602650,0,1
1584610386,0,2
1584614413,1,0
1584634574,1,0
1584638439,0,1
1584642264,0,1
1584650895,0,1
1584668426,0,1
1584674185,0,1
1584676097,0,1
1584685703,1,0
1584695303,1,0
1584701299,0,1
1584714779,1,0
1584720761,1,1
1584746655,1,0
1584757225,1,0
1584767772,1,0
1584771623,0,1
1584773534,1,0
1584781326,0,1
1584785318,1,0
1584791066,1,0
1584798733,1,0
1584800660,0,1
1584808573,0,1
1584814329,6,0
1584820095,1,0
1584861386,1,0
1584881782,1,0
1584883687,1,0
1584901940,1,0
1584904110,0,1
1584906013,0,12
1584907936,0,1
1584933374,1,0
1584944900,1,0
1584947774,0,1
1584949942,1,0
1584968682,0,1
1584970590,0,1
1584987869,0,1
1585000574,1,0
1585007324,1,0
1585019805,0,1
1585031543,0,1
1585037544,0,1
1585049053,1,0
1585076182,1,0
1585081947,1,0
1585087712,1,1
1585093451,0,1
1585099211,1,0
1585103056,1,0
1585106891,1,0
1585120572,2,0
1585128281,1,0
1585134094,0,1
1585137927,1,0
1585141694,2,0
1585145548,1,0
1585158971,1,0
1585163770,0,1
1585167611,0,1
1585171484,1,0
1585173399,0,1
1585185178,0,1
1585190901,1,1
1585192810,1,0
1585194729,1,0
1585198614,0,1
1585205527,1,0
1585207465,0,2
1585213318,0,1
1585225227,0,1
1585227137,0,2
1585230974,0,1
1585236007,1,0
1585237939,1,0
1585244888,1,1
1585246834,1,0
1585250663,1,0
1585256470,1,0
1585258351,0,1
1585277531,0,1
1585279461,0,1
1585281368,0,1
1585291926,0,1
1585293863,1,0
1585320740,1,0
1585322650,0,1
1585324583,0,1
1585326491,1,0
1585330347,0,1
1585333232,0,1
1585335140,1,0
1585337052,0,1
1585340889,1,0
1585343772,0,1
1585345690,1,0
1585359137,1,0
1585368969,1,0
1585378684,1,0
1585380489,2,1
1585383613,1,0
1585387467,1,0
1585396104,1,0
1585398011,1,0
1585407649,0,1
1585411714,1,0
1585413616,0,1
1585421306,0,1
1585427113,0,1
1585431151,1,1
1585440747,1,0
1585444569,1,1
1585454170,0,1
1585456105,1,0
1585459976,1,0
1585465809,0,3
1585469535,0,1
1585473370,0,1
1585479129,1,0
1585482982,0,1
1585484889,1,1
1585487776,1,0
1585493806,1,0
1585497677,0,1
1585507233,1,0
1585516824,0,1
1585527373,0,1
1585531251,0,1
1585533136,1,0
1585543709,0,1
1585547531,0,1
1585565770,0,1
1585567687,1,0
1585570583,0,1
1585574429,0,1
1585576329,2,0
1585580180,0,1
1585590013,1,0
1585593854,0,1
1585595768,1,0
1585603460,2,0
1585619061,0,1
1585622905,1,0
1585630592,1,0
1585635376,1,0
1585637322,1,0
1585641132,1,0
1585643097,2,0
1585644992,1,0
1585653627,0,1
