DateTime,AddedIPs,RemovedIPs
1581809808,1,0
1581823123,1,0
1581851315,4,1
1581853213,1,6
1581858974,2,0
1581860895,11,0
1581862824,2,0
1581873392,0,21
1581885164,1,0
1581888970,0,1
1581894979,0,1
1581909389,0,1
1581938423,0,5
1581946088,0,4
1581948069,0,11
1581969387,0,1
1581982811,4,0
1581984760,24,0
1582026254,1,0
1582070169,0,28
1582083625,10,0
1582087451,1,0
1582112422,0,1
1582146985,1,0
1582167369,2,0
1582169309,0,7
1582171307,0,3
1582173169,0,1
1582199065,26,0
1582200985,8,0
1582208649,1,0
1582226892,1,0
1582234812,0,1
1582254071,0,2
1582287158,0,34
1582294809,0,1
1582310410,1,0
1582314250,0,1
1582394190,0,1
1582398975,1,0
1582445313,1,0
1582486593,0,1
1582496187,1,0
1582501926,4,0
1582505779,27,0
1582530970,0,1
1582544413,1,0
1582552149,2,0
1582554044,1,0
1582574170,1,0
1582582108,0,1
1582587871,0,4
1582591710,0,6
1582593609,0,21
1582599369,1,0
1582631532,0,1
1582640417,0,3
1582644270,1,0
1582660581,0,1
1582667292,1,0
1582684810,0,1
1582690571,1,0
1582694684,4,0
1582721548,2,0
1582731138,0,1
1582742670,1,0
1582752254,0,1
1582763775,1,0
1582777211,0,1
1582781079,2,4
1582800507,8,0
1582802416,32,0
1582808169,0,2
1582822859,1,0
1582828571,1,1
1582830516,3,0
1582838423,1,0
1582840330,4,0
1582850008,0,1
1582867454,0,2
1582887685,0,27
1582889549,0,13
1582903452,21,0
1582905392,13,0
1582909469,0,1
1582915218,0,1
1582917141,0,3
1582919076,1,0
1582925057,1,1
1582926984,0,4
1582956986,1,0
1582971395,1,0
1582989848,0,21
1582991784,0,13
1582993691,1,0
1583004253,0,1
1583008091,1,0
1583010991,5,1
1583025646,4,0
1583027528,8,0
1583029448,7,0
1583043870,0,1
1583053705,1,0
1583055615,1,0
1583057533,5,1
1583059467,6,0
1583061376,2,0
1583063350,9,0
1583067404,8,0
1583069324,1,0
1583073164,22,0
1583077216,3,0
1583079161,2,0
1583081055,1,1
1583084908,3,0
1583086813,3,0
1583088729,5,0
1583094495,0,1
1583097371,0,5
1583108893,1,0
1583112073,6,4
1583113978,7,8
1583115890,0,7
1583119725,4,0
1583124555,4,0
1583130299,7,0
1583132188,3,0
1583138895,0,1
1583142731,0,5
1583144660,0,1
1583146584,0,6
1583148514,0,5
1583150609,0,6
1583152569,0,2
1583154510,0,7
1583158582,0,10
1583160497,0,12
1583164329,0,5
1583166268,0,1
1583170088,17,3
1583173934,1,7
1583176145,0,1
1583179936,2,0
1583195290,0,1
1583197341,0,2
1583199434,0,9
1583201301,0,2
1583205153,0,2
1583207053,0,2
1583210938,0,4
1583212813,1,0
1583216652,0,7
1583218600,0,3
1583255537,0,5
1583257456,0,12
1583259373,0,1
1583265133,0,2
1583297770,41,0
1583299713,0,1
1583316990,2,0
1583337130,13,0
1583339078,1,0
1583345784,1,0
1583359326,1,0
1583368816,3,0
1583384171,0,41
1583386090,1,0
1583401699,2,2
1583422822,0,8
1583424738,0,5
1583426654,0,1
1583432412,0,1
1583446099,0,1
1583455696,0,3
1583472016,0,1
1583473930,1,0
1583483540,1,0
1583485462,34,0
1583489296,0,2
1583506592,1,0
1583541377,2,0
1583545216,2,0
1583549057,2,0
1583560572,0,1
1583562489,3,0
1583571158,0,28
1583573073,3,7
1583576917,6,0
1583583878,2,0
1583591538,0,1
1583626100,0,1
1583628034,1,1
1583629940,0,1
1583631871,0,1
1583635692,0,2
1583637637,1,0
1583649162,0,3
1583657767,0,2
1583659713,0,1
1583662595,0,3
1583664497,0,3
1583670251,0,2
1583693296,1,0
1583706054,1,0
1583713690,0,1
1583716572,2,0
1583724252,0,1
1583759774,1,0
1583779221,0,1
1583790753,0,1
1583802276,0,2
1583825290,3,0
1583835860,1,0
1583847435,0,1
1583853143,4,0
1583855058,1,0
1583878362,6,0
1583880256,2,0
1583883168,24,0
1583887210,1,0
1583910499,0,1
1583912414,0,2
1583922011,0,1
1583927792,1,0
1583929691,1,0
1583940526,0,5
1583948188,1,0
1583963542,0,2
1583965453,0,4
1583967389,0,26
1583972406,0,1
1583994731,1,0
1584010581,1,0
1584015615,0,1
1584017528,1,1
1584028092,8,0
1584033854,1,0
1584035773,0,1
1584037693,1,0
1584043488,3,0
1584045373,1,0
1584049210,2,0
1584051405,3,0
1584068903,3,0
1584070815,1,0
1584072750,6,0
1584074653,1,0
1584082328,0,1
1584084258,1,0
1584097694,0,1
1584103455,0,1
1584113053,0,1
1584114976,0,7
1584118943,11,0
1584120972,0,1
1584124841,1,1
1584130586,0,4
1584136327,0,4
1584138251,0,1
1584146896,1,0
1584156489,0,4
1584159374,0,6
1584161316,2,1
1584169934,0,1
1584201010,24,0
1584204735,0,1
1584206649,0,4
1584210490,0,1
1584226359,1,0
1584234109,0,1
1584235935,1,0
1584247699,0,2
1584263073,1,0
1584282251,1,0
1584286106,0,1
1584288167,0,28
1584290182,1,0
1584307469,2,0
1584311290,1,0
1584314177,0,1
1584318023,2,0
1584321852,0,1
1584323793,1,0
1584331699,1,0
1584348989,0,1
1584366496,2,0
1584368425,0,1
1584372254,0,1
1584376088,0,1
1584382860,1,0
1584389550,1,0
1584393384,0,2
1584397228,0,1
1584404891,7,2
1584410729,0,1
1584412592,1,0
1584418347,0,1
1584424332,1,0
1584426257,1,0
1584437787,1,0
1584441616,6,0
1584453132,0,2
1584455075,1,0
1584461786,1,0
1584467529,0,1
1584476180,0,1
1584485770,1,0
1584490728,0,7
1584498760,0,1
1584510526,0,1
1584512407,0,1
1584525144,0,1
1584527069,0,6
1584541472,0,1
1584548188,0,1
1584557558,44,0
1584566183,1,0
1584568088,1,0
1584571937,0,1
1584642264,2,0
1584644178,1,37
1584652117,0,1
1584654981,0,1
1584663626,1,0
1584684996,1,0
1584688823,1,0
1584692662,1,0
1584704173,1,0
1584713799,1,0
1584725289,15,0
1584728424,1,9
1584730334,0,1
1584749786,0,1
1584764172,1,0
