DateTime,AddedIPs,RemovedIPs
1585171705,25,20
1585174577,73,739
1585176510,49,30
1585178412,45,26
1585180396,26,19
1585182263,36,34
1585184620,28,36
1585186628,38,23
1585188505,26,26
1585190417,29,42
1585192352,36,26
1585194257,36,28
1585196174,37,21
1585198106,44,24
1585200029,90,368
1585202028,2431,417
1585203994,29,29
1585206150,50,29
1585208000,33,29
1585210102,39,43
1585212014,32,43
1585213950,31,24
1585215854,23,25
1585218013,40,35
1585219934,40,26
1585221870,44,28
1585223773,31,30
1585225694,26,37
1585227822,32,32
1585229786,50,26
1585231690,27,23
1585233613,32,20
1585235802,30,22
1585237710,32,14
1585239619,30,11
1585241571,35,21
1585243454,29,20
1585245398,741,30
1585247307,37,30
1585250177,148,35
1585252109,2464,57
1585254015,1999,26
1585255935,1463,39
1585257875,45,29
1585259787,33,41
1585261698,29,39
1585264579,65,63
1585266513,32,23
1585268415,33,37
1585270342,41,23
1585272266,42,33
1585274179,38,22
1585276094,26,27
1585278111,38,38
1585279939,29,30
1585281922,28,27
1585283791,27,35
1585285732,26,33
1585287617,264,1895
1585289554,30,311
1585291380,43,33
1585293377,34,36
1585295304,33,32
1585297218,24,34
1585299145,45,28
1585301058,28,31
1585302975,39,35
1585304911,39,24
1585307045,54,52
1585308971,50,27
1585310905,47,34
1585312812,37,25
1585314734,22,34
1585316663,17,30
1585318571,13,36
1585320489,25,30
1585322425,26,25
1585324332,23,31
1585326250,340,28
1585328179,24,27
1585330093,27,35
1585332998,41,298
1585334922,29,34
1585336823,37,70
1585338733,35,37
1585340650,31,38
1585342583,33,2130
1585344490,27,2501
1585347378,44,2122
1585349292,19,38
1585351236,28,44
1585353144,27,29
1585355066,23,36
1585356970,28,45
1585358891,24,41
1585361781,24,52
1585363704,22,33
1585365609,24,38
1585367529,23,30
1585369466,31,23
1585371399,29,32
1585373299,17,294
1585375350,15,36
1585377384,24,50
1585379299,46,34
1585381211,86,29
1585383144,20,34
1585385053,29,40
1585386973,33,39
1585388900,20,42
1585390827,10,36
1585392748,14,44
1585394685,8,51
1585396568,11,44
1585398499,23,42
1585401384,34,47
1585403286,27,21
1585405222,31,17
1585407128,32,33
1585409048,19,30
1585410981,37,146
1585412887,24,183
1585415772,81,42
1585417704,31,33
1585419617,522,29
1585421528,764,27
1585423461,308,45
1585425370,34,37
1585427290,29,41
1585429267,27,26
1585431153,59,32
1585433098,43,26
1585434993,36,21
1585436898,58,22
1585438813,24,29
1585440749,34,27
1585442656,20,32
1585444571,23,23
1585446505,179,15
1585448416,23,19
1585450358,25,22
1585452266,20,24
1585454172,37,20
1585456107,22,37
1585458130,25,32
1585459977,31,13
1585461874,43,15
1585463807,299,27
