DateTime,AddedIPs,RemovedIPs
1584755296,0,2
1584757226,1,0
1584762980,0,1
1584764895,0,1
1584768971,0,1
1584772814,1,0
1584782897,0,1
1584784973,0,1
1584787222,0,1
1584789144,1,0
1584791069,0,2
1584794918,1,2
1584796836,2,0
1584800665,0,1
1584804499,2,0
1584812412,0,1
1584814333,0,1
1584818190,1,0
1584820100,2,0
1584822061,89,2
1584823952,155,1
1584825857,26,1
1584827791,3,1
1584829717,4,0
1584832581,2,0
1584836427,0,1
1584838338,0,1
1584850091,1,0
1584855868,1,0
1584859693,0,1
1584867381,0,1
1584869299,1,0
1584874338,0,1
1584880114,0,1
1584884909,0,2
1584890677,0,2
1584897376,1,0
1584903149,1,0
1584905089,0,2
1584906985,0,11
1584908895,0,113
1584910882,0,145
1584912747,3,3
1584914717,0,3
1584916645,1,4
1584918500,0,1
1584926420,0,1
1584932172,1,0
1584936099,0,1
1584937945,1,0
1584941788,1,0
1584943699,1,0
1584945632,2,0
1584949472,1,0
1584951388,1,0
1584953302,4,0
1584955238,2,1
1584957147,4,0
1584959054,3,0
1584960999,2,0
1584963171,4,0
1584965064,4,0
1584966988,1,0
1584968896,1,0
1584971057,1,0
1584974909,1,0
1584976815,1,0
1584978739,4,0
1584980705,6,0
1584982585,3,0
1584984492,2,1
1584987372,1,0
1584989311,3,1
1584991234,1,0
1584993150,2,0
1584996973,1,0
1584998888,0,1
1585000913,2,2
1585002735,2,1
1585010414,1,0
1585012351,2,0
1585018104,1,1
1585023896,0,1
1585027706,0,1
1585029549,1,1
1585031547,1,2
1585035382,2,1
1585037546,1,1
1585039465,0,4
1585041380,1,2
1585043304,0,3
1585045231,1,3
1585047138,0,3
1585049057,0,3
1585050986,0,5
1585052896,1,1
1585055084,3,0
1585056978,2,2
1585060821,1,1
1585064699,3,4
1585066588,1,5
1585068503,3,5
1585070434,3,1
1585072336,1,1
1585074256,1,1
1585076185,2,4
1585078099,1,1
1585080260,1,1
1585082173,1,1
1585086012,1,2
1585087935,0,2
1585089867,1,0
1585093719,3,0
1585097572,1,3
1585099461,1,0
1585103303,0,1
1585116978,1,1
1585119142,2,1
1585121055,4,1
1585124891,1,1
1585128972,1,1
1585132833,0,1
1585138585,0,1
1585140517,2,0
1585142411,0,4
1585144330,1,1
1585146263,1,0
1585148173,2,1
1585150094,0,2
1585152256,3,2
1585154389,0,2
1585156363,2,3
1585158254,0,2
1585160182,2,0
1585162129,3,3
1585165943,1,2
1585169778,1,1
1585171707,0,1
1585174579,1,0
1585176549,2,1
1585180398,2,3
1585184655,3,1
1585186633,0,1
1585188534,1,0
1585200032,1,0
1585202030,1,0
1585203999,1,1
1585206314,0,5
1585208191,1,1
1585210106,1,1
1585212017,2,0
1585215860,0,1
1585221874,1,0
1585223778,1,0
1585225699,1,0
1585227884,0,1
1585229790,1,0
1585231695,3,2
1585233617,0,1
1585235806,0,1
1585237714,1,3
1585241575,0,2
1585243456,2,0
1585245402,0,2
1585249311,2,3
1585251141,1,0
1585253072,0,1
1585254992,1,0
