DateTime,AddedIPs,RemovedIPs
1585181321,53,56
1585183220,44,74
1585185180,39,88
1585187080,59,82
1585188976,43,74
1585190927,56,64
1585192813,75,59
1585194732,54,73
1585196665,29,69
1585198615,60,73
1585200492,50,58
1585202583,53,85
1585204588,52,75
1585206522,52,65
1585208413,55,69
1585210348,52,66
1585212253,67,65
1585214176,50,62
1585216107,56,61
1585218020,58,52
1585219941,72,75
1585221875,78,55
1585223779,79,48
1585225701,55,54
1585227898,84,49
1585229791,68,52
1585231697,60,63
1585233620,72,89
1585235808,69,61
1585237716,39,66
1585239626,55,74
1585241578,40,50
1585243458,38,42
1585245415,48,48
1585247313,44,39
1585249385,67,45
1585251385,74,46
1585253296,44,51
1585255215,61,36
1585257167,53,52
1585259072,65,75
1585260976,58,58
1585262906,65,53
1585264810,64,43
1585266729,73,61
1585268664,74,40
1585270569,71,54
1585272489,59,55
1585274613,76,54
1585276588,86,45
1585278499,64,82
1585280414,72,52
1585282356,64,40
1585284260,73,41
1585286222,74,57
1585288104,80,45
1585290011,54,45
1585291931,96,53
1585293875,54,57
1585295773,73,52
1585297705,79,67
1585299830,91,69
1585301787,92,50
1585303697,119,66
1585305626,66,61
1585307781,103,80
1585309693,77,85
1585311627,98,53
1585313534,59,66
1585315453,67,63
1585317393,54,75
1585319293,74,56
1585322183,83,85
1585324100,65,47
1585326030,80,58
1585327972,76,33
1585329858,119,42
1585331791,74,48
1585333710,59,46
1585335786,96,58
1585337773,87,62
1585339701,68,49
1585341622,74,60
1585343543,81,49
1585345464,87,65
1585347380,99,59
1585349295,96,57
1585351239,78,58
1585353158,81,66
1585355069,97,72
1585356974,55,68
1585358915,57,56
1585361059,90,72
1585362986,68,84
1585364906,84,61
1585366816,60,76
1585368750,71,55
1585370658,69,70
1585372591,56,70
1585374503,73,69
1585376415,64,51
1585378347,60,86
1585380269,56,63
1585382173,49,72
1585384346,61,88
1585386215,70,82
1585388190,81,84
1585390120,56,129
1585392022,71,63
1585393963,58,88
1585395907,53,79
1585397807,48,101
1585399695,51,52
1585401617,61,74
1585403547,87,50
1585405452,73,71
1585407415,54,66
1585409295,95,42
1585411280,55,67
1585413162,79,68
1585415123,63,63
1585416993,58,130
1585418903,52,96
1585420814,194,64
1585422746,544,70
1585424650,571,96
1585426569,39,68
1585428510,46,72
1585430410,55,66
1585432344,52,94
1585434264,55,100
1585436169,35,95
1585438342,52,83
1585440266,47,102
1585442185,46,83
1585444102,47,60
1585446014,52,81
1585447946,144,72
1585449857,52,69
1585451774,50,93
1585453706,47,59
1585455628,70,64
1585457542,62,82
1585459468,52,50
1585461380,44,67
1585463355,57,66
1585465379,46,53
1585467398,61,72
1585469295,44,62
1585471233,58,50
1585473142,55,64
1585475068,45,86
1585476977,40,70
1585478893,63,58
1585480823,55,64
1585482734,45,51
1585484653,53,60
1585486587,104,52
1585488513,56,63
1585490482,46,94
1585492356,65,59
1585494285,40,47
1585496175,36,89
1585498115,41,61
1585500053,47,77
1585501948,59,64
1585503877,39,58
1585505822,53,63
1585507713,45,337
1585509648,55,621
1585511540,58,368
1585513464,55,40
1585515442,39,48
1585517294,37,45
1585519347,50,60
1585521153,55,54
1585523312,51,36
1585525222,36,47
1585527147,61,45
1585529070,65,54
1585531007,40,50
1585533170,50,71
1585535063,53,153
1585536975,63,46
1585538906,42,53
1585541087,60,64
1585542984,41,71
1585544901,64,62
1585546816,36,40
1585548749,43,52
1585550670,50,43
1585552571,39,49
1585554504,49,58
1585556411,95,50
1585558362,50,62
1585560252,51,52
1585562174,161,43
1585564105,465,57
1585566095,898,55
1585567979,910,47
1585569867,925,31
1585571782,1541,105
1585573705,1323,78
1585575616,1868,67
1585577548,1328,62
1585579465,1737,61
1585581373,1008,44
1585583298,459,49
1585585217,1570,43
1585587133,1807,40
1585589065,1624,60
1585590973,1961,37
1585592899,1407,68
1585595786,2305,70
1585597852,1764,56
1585599890,898,54
1585601786,1020,40
1585603698,1304,40
1585606582,2287,73
1585608498,1787,60
1585610438,1650,38
1585612353,2329,51
1585614278,1022,51
1585616177,84,60
1585618144,98,30
1585620990,139,78
1585622913,83,66
1585624829,81,50
1585626742,59,39
1585628708,60,40
1585630600,75,54
1585632522,80,41
1585634660,103,35
1585636517,115,59
1585638845,338,47
1585640663,140,49
1585642583,100,75
1585644520,60,46
1585646448,62,52
1585648355,94,102
1585650284,67,480
1585652189,84,812
1585654124,84,876
1585656280,88,1081
1585658190,77,1544
1585660148,80,1354
1585662042,66,1849
1585664199,77,1516
1585666244,93,1905
1585668061,72,633
1585669970,78,700
1585671880,51,1533
1585673789,54,1721
1585675699,64,1628
1585678833,123,2728
1585680733,74,1650
1585682658,53,1401
1585684586,75,1603
