DateTime,AddedIPs,RemovedIPs
1584328589,2,0
1584346111,1,0
1584353774,1,0
1584361465,1,0
1584363375,1,0
1584365306,0,1
1584367411,2,0
1584369376,0,2
1584373215,4,0
1584375366,3,0
1584377306,1,0
1584381185,0,1
1584384309,0,1
1584390040,1,0
1584392001,1,0
1584393857,3,0
1584399850,1,0
1584405622,0,1
1584411406,0,1
1584413320,0,2
1584415216,1,1
1584417157,1,0
1584426037,1,0
1584439703,0,1
1584441627,1,0
1584447388,1,0
1584449298,1,0
1584453138,0,2
1584455101,2,0
1584458898,0,1
1584461790,0,5
1584463717,2,1
1584475522,1,0
1584477391,0,2
1584479297,1,2
1584483150,1,0
1584487217,0,1
1584489176,1,0
1584491167,1,0
1584492973,1,0
1584499485,1,0
1584501865,0,1
1584503711,0,1
1584505693,1,0
1584508573,1,0
1584516284,1,0
1584520094,1,0
1584524211,1,0
1584528015,0,1
1584533847,1,1
1584535714,2,1
1584541479,1,2
1584543375,1,0
1584545292,2,0
1584549392,0,2
1584553221,1,0
1584555138,2,0
1584557085,1,0
1584562858,1,1
1584564752,0,1
1584575321,0,1
1584577321,0,1
1584579183,0,1
1584584899,1,1
1584592602,0,1
1584598345,1,0
1584602184,1,1
1584606030,0,1
1584609854,2,0
1584611792,1,1
1584616828,1,0
1584620653,1,0
1584622586,0,2
1584628348,0,1
1584630522,1,1
1584632420,0,1
1584638202,0,1
1584640102,1,0
1584642055,1,2
1584643935,0,1
1584649691,0,1
1584651802,1,0
1584657622,1,0
1584665317,2,0
1584671054,0,1
1584672983,1,0
1584674895,2,0
1584677775,1,0
1584683544,0,1
1584687369,0,1
1584691498,1,0
1584695309,0,1
1584697228,0,1
1584701319,1,0
1584703258,0,1
1584705155,1,0
1584707060,0,1
1584712984,1,0
1584716724,0,1
1584718612,2,0
1584726504,0,1
1584728427,1,1
1584730337,1,0
1584738235,2,1
1584744034,0,1
1584751711,0,2
1584755559,1,0
1584759387,0,1
1584761302,1,2
1584764443,0,1
1584777867,0,1
1584785539,1,0
1584787466,0,1
1584789660,1,0
1584791534,0,1
1584795391,1,0
1584799455,1,0
1584801622,2,0
1584803540,1,1
1584805469,1,1
1584807378,1,0
1584813136,1,0
1584815057,1,1
1584817001,1,1
1584823960,0,1
1584825875,0,1
1584842565,0,1
1584844587,1,0
1584848418,1,1
1584857080,1,0
1584858985,1,0
1584870521,0,1
1584876281,1,1
1584880117,1,0
1584882192,0,1
1584884190,0,1
1584886100,0,1
1584888018,1,1
1584889956,3,1
1584891853,0,1
1584894029,1,1
1584895938,1,0
1584897858,0,1
1584901697,0,1
1584903876,1,1
1584907703,2,0
1584909650,2,0
1584915386,2,0
1584929090,1,0
1584930986,1,1
1584934822,0,1
1584942753,0,1
1584944665,0,1
1584948519,1,0
1584956439,1,0
1584958336,0,1
