DateTime,Entries,UniqueIPs
1585179615,1672,1672
1585181554,1664,1664
1585183462,1642,1642
1585185621,1601,1601
1585187604,1574,1574
1585189498,1546,1546
1585191414,1506,1506
1585193297,1489,1489
1585196412,1435,1435
1585198331,1407,1407
1585200268,1385,1385
1585202176,1356,1356
1585204008,1335,1335
1585206323,1317,1317
1585208196,1290,1290
1585210114,1262,1262
1585212022,1263,1263
1585213961,1256,1256
1585215864,1246,1246
1585218023,1245,1245
1585219944,1242,1242
1585221881,1266,1266
1585223782,1291,1291
1585225704,1278,1278
1585227904,1297,1297
1585229795,1317,1317
1585231701,1314,1314
1585233623,1270,1270
1585235811,1271,1271
1585237719,1248,1248
1585239632,1245,1245
1585241581,1231,1231
1585243464,1235,1235
1585245419,1232,1232
1585247318,1228,1228
1585249542,1245,1245
1585251388,1270,1270
1585253298,1275,1275
1585255218,1294,1294
1585257171,1289,1289
1585259075,1308,1308
1585260979,1321,1321
1585262909,1323,1323
1585264815,1326,1326
1585266732,1324,1324
1585268668,1336,1336
1585270572,1337,1337
1585272492,1337,1337
1585274704,1330,1330
1585276591,1343,1343
1585278503,1348,1348
1585280417,1354,1354
1585282378,1356,1356
1585284262,1364,1364
1585286225,1355,1355
1585288106,1358,1358
1585290015,1346,1346
1585291938,1345,1345
1585293878,1333,1333
1585295776,1328,1328
1585297708,1316,1316
1585299862,1318,1318
1585301790,1333,1333
1585303700,1358,1358
1585305632,1344,1344
1585307784,1319,1319
1585309695,1301,1301
1585311630,1312,1312
1585313544,1312,1312
1585315456,1317,1317
1585317396,1313,1313
1585319296,1334,1334
1585322188,1330,1330
1585324103,1324,1324
1585326033,1349,1349
1585327975,1374,1374
1585329863,1444,1444
1585331795,1472,1472
1585333713,1494,1494
1585335869,1513,1513
1585337776,1510,1510
1585339730,1506,1506
1585341631,1505,1505
1585343546,1511,1511
1585345467,1507,1507
1585347383,1513,1513
1585349298,1525,1525
1585351242,1528,1528
1585353161,1532,1532
1585355072,1521,1521
1585356977,1514,1514
1585358919,1508,1508
1585361094,1526,1526
1585362989,1516,1516
1585364910,1516,1516
1585366820,1509,1509
1585368753,1515,1515
1585370661,1503,1503
1585372594,1500,1500
1585374506,1497,1497
1585376418,1504,1504
1585378350,1504,1504
1585380272,1498,1498
1585382176,1497,1497
1585384349,1485,1485
1585386326,1478,1478
1585388194,1447,1447
1585390123,1400,1400
1585392025,1409,1409
1585393969,1410,1410
1585395914,1389,1389
1585397810,1363,1363
1585399700,1354,1354
1585401622,1347,1347
1585403550,1344,1344
1585405456,1326,1326
1585407418,1311,1311
1585409298,1357,1357
1585411430,1364,1364
1585413622,1361,1361
1585415556,1319,1319
1585417461,1284,1284
1585419378,1230,1230
1585421311,1205,1205
1585423236,1203,1203
1585425135,1194,1194
1585427119,1181,1181
1585429005,1169,1169
1585431157,1160,1160
1585433126,1156,1156
1585435001,1131,1131
1585436902,1099,1099
1585438818,1091,1091
1585440753,1080,1080
1585442659,1074,1074
1585444574,1069,1069
1585446530,1052,1052
1585448423,1045,1045
1585450364,1041,1041
1585452271,1038,1038
1585454177,1024,1024
1585456111,1012,1012
1585458280,1020,1020
1585460186,1024,1024
1585462094,1020,1020
1585464015,1026,1026
1585465846,1027,1027
1585467853,1029,1029
1585469785,1021,1021
1585471694,1024,1024
1585473626,1026,1026
1585475531,1009,1009
1585477460,999,999
1585479381,992,992
1585481291,991,991
1585484422,992,992
1585486350,996,996
1585488274,1004,1004
1585490181,1008,1008
1585492090,1015,1015
1585494124,1018,1018
1585495955,983,983
1585497921,963,963
1585499777,953,953
1585501708,942,942
1585503615,941,941
1585505825,954,954
1585507715,950,950
1585509651,957,957
1585511543,954,954
1585513467,972,972
1585515474,971,971
1585517298,966,966
1585520426,978,978
1585522333,985,985
1585524255,989,989
1585526185,1000,1000
1585528093,1011,1011
1585530135,1012,1012
1585531970,1015,1015
1585533950,1026,1026
1585535788,1042,1042
1585537700,1048,1048
1585539619,1048,1048
1585541565,1052,1052
1585543476,1040,1040
1585545377,1042,1042
1585547306,1046,1046
1585549221,1049,1049
1585551135,1052,1052
1585552994,1044,1044
1585554973,1043,1043
1585556938,1059,1059
1585560017,1068,1068
1585561951,1079,1079
1585563856,1083,1083
1585565775,1101,1101
1585567693,1114,1114
1585570587,1131,1131
1585572495,1103,1103
1585574436,1095,1095
1585576348,1101,1101
1585578294,1102,1102
1585580188,1125,1125
1585582115,1154,1154
1585584337,1209,1209
1585586193,1231,1231
1585588108,1272,1272
1585590019,1338,1338
1585591952,1386,1386
1585593859,1424,1424
1585595789,1446,1446
1585597861,1493,1493
1585599955,1529,1529
1585601790,1580,1580
1585603703,1607,1607
1585606829,1647,1647
1585608737,1681,1681
1585610656,1723,1723
1585612582,1746,1746
1585614494,1783,1783
1585616604,1827,1827
1585618584,1876,1876
1585620754,1897,1897
1585622655,1894,1894
1585624571,1917,1917
1585626505,1943,1943
1585628471,1969,1969
1585630356,1999,1999
1585632277,2032,2032
1585634206,2069,2069
1585636092,2092,2092
1585638302,2115,2115
1585640305,2151,2151
1585642344,2190,2190
