DateTime,AddedIPs,RemovedIPs
1585187607,104,57
1585189500,59,35
1585191416,51,56
1585193300,64,63
1585196414,99,74
1585198333,56,51
1585200271,59,46
1585202178,49,46
1585204013,61,65
1585206328,57,61
1585208200,41,58
1585210117,57,54
1585212026,48,58
1585213964,47,54
1585215868,43,72
1585218027,52,53
1585219948,50,49
1585221884,57,68
1585223797,47,67
1585225707,61,58
1585227908,45,71
1585229798,44,65
1585231703,56,60
1585233625,47,42
1585235814,48,32
1585237721,43,53
1585239634,53,57
1585241595,119,158
1585243466,58,89
1585245423,54,68
1585247320,51,52
1585249576,55,89
1585251390,59,78
1585253300,42,65
1585255220,41,73
1585257174,50,76
1585259078,43,68
1585260982,36,95
1585262912,49,66
1585264819,47,69
1585266736,57,56
1585268670,41,74
1585270575,54,70
1585272496,45,61
1585274720,58,114
1585276594,50,72
1585278505,68,67
1585280420,50,102
1585282380,44,60
1585284265,53,65
1585286228,63,64
1585288109,45,66
1585290018,44,86
1585291940,43,72
1585293881,48,46
1585295778,58,82
1585297710,54,63
1585299888,72,66
1585301793,62,68
1585303702,51,60
1585305635,76,67
1585307786,101,188
1585309698,62,65
1585311634,64,65
1585313549,44,55
1585315461,46,41
1585317400,41,63
1585319299,55,61
1585321331,41,58
1585323155,179,50
1585325115,234,50
1585326985,68,62
1585329864,93,78
1585331797,63,60
1585333715,58,58
1585335877,65,57
1585337778,63,75
1585339732,54,51
1585341633,46,47
1585343549,47,50
1585345469,71,63
1585347385,141,42
1585349300,45,55
1585351244,49,49
1585353163,36,55
1585355074,68,45
1585356979,59,61
1585358921,46,62
1585361097,54,54
1585362992,56,61
1585364912,49,57
1585366823,104,57
1585368755,164,60
1585370664,52,53
1585372596,45,54
1585374509,41,41
1585376420,51,49
1585378352,45,50
1585380274,54,45
1585382178,47,50
1585384385,35,68
1585386329,43,38
1585388196,41,55
1585390126,28,36
1585392027,24,94
1585393971,54,102
1585395916,266,70
1585397835,175,51
1585399702,67,57
1585401625,59,43
1585403583,111,46
1585405459,95,47
1585407421,86,50
1585409300,74,157
1585411501,73,304
1585413624,79,74
1585415559,88,57
1585417465,69,59
1585419381,71,56
1585421315,188,63
1585423238,234,44
1585425137,187,50
1585427123,108,53
1585429007,63,58
1585431159,55,48
1585433130,61,117
1585435004,526,124
1585436905,559,60
1585438821,169,48
1585440758,50,71
1585442662,72,39
1585444577,86,61
1585446532,88,60
1585448426,46,55
1585450366,39,45
1585452274,47,58
1585454179,39,201
1585456113,49,61
1585458330,47,51
1585460189,45,53
1585462105,33,61
1585464043,38,52
1585465849,42,63
1585467857,45,60
1585469799,28,49
1585471697,57,66
1585473629,36,59
1585475534,39,49
1585477463,463,43
1585479385,52,41
1585481294,51,46
1585483387,60,68
1585485373,47,51
1585487303,50,51
1585489221,37,52
1585491135,45,63
1585493072,38,84
1585494970,44,61
1585497138,47,69
1585499065,32,66
1585500989,120,73
1585502898,96,58
1585505053,73,58
1585506996,63,83
1585508903,123,232
1585510812,94,324
1585512983,97,91
1585514897,66,71
1585516829,65,52
1585518793,71,50
1585520714,56,360
1585522613,75,636
1585524500,78,291
1585527624,1211,105
1585529533,1516,61
1585531455,1535,83
1585534367,2107,105
1585536257,1286,54
1585538181,1066,53
1585540110,1377,57
1585542055,1091,58
1585543956,1056,39
1585545878,1012,45
1585547786,1051,42
1585549697,738,32
1585551900,992,35
1585553774,850,38
1585555694,734,23
1585557631,866,57
1585559537,699,60
1585561457,826,36
1585563403,809,150
1585565292,972,307
1585567227,889,42
1585569153,1060,33
1585571055,1105,35
1585572983,786,46
1585574894,776,39
1585577094,977,42
1585578975,640,37
1585580930,636,40
1585582842,643,40
1585584760,541,34
1585586672,643,35
1585588579,468,55
1585590527,277,45
1585592423,943,45
1585594340,1124,46
1585596275,1070,104
1585598279,43,46
1585600599,61,43
1585602519,52,29
1585604419,62,34
1585606586,63,33
1585608501,28,35
1585610442,48,45
1585612370,33,36
1585614281,32,1122
1585616181,42,1448
1585618148,35,1446
1585620994,73,1927
1585622918,43,1180
1585624834,45,1091
1585626747,42,1338
1585628713,51,1040
1585630614,51,1040
1585632535,40,960
1585634714,39,993
1585636541,27,829
1585638363,42,764
1585640316,34,823
1585642345,33,781
1585644278,41,835
1585646222,50,700
1585648105,36,768
1585650018,39,849
1585651954,54,1033
1585653859,33,945
1585655778,44,1148
1585657695,37,1046
1585660827,65,1072
1585662732,41,1040
1585664651,45,572
1585666589,42,666
1585668490,38,538
1585671627,82,927
1585673559,247,600
1585675463,47,461
1585677386,56,156
1585679289,78,59
1585682177,79,85
1585684094,61,166
1585686036,70,53
1585687934,46,99
1585689854,407,67
1585691785,50,94
1585693694,56,1320
1585695909,63,1985
1585697780,49,1646
1585699712,74,61
1585701619,62,57
1585703777,71,63
1585705695,58,69
1585707617,70,68
1585709543,60,67
1585711483,1040,84
1585713377,1938,70
1585715316,1692,58
1585717387,358,75
1585719196,37,47
1585721154,41,35
1585723284,40,35
1585725150,116,40
1585727461,57,44
1585729308,38,37
1585731153,35,45
1585733064,43,61
1585734999,48,42
1585736896,38,58
1585739106,48,55
1585741249,62,60
1585743147,50,34
1585745071,54,37
1585746979,40,30
1585748912,49,39
1585750832,36,45
1585752762,43,43
1585754674,53,36
1585756577,37,51
1585758536,54,87
1585760700,73,223
1585762590,63,45
1585764806,67,54
1585766660,82,38
1585768575,271,41
1585770530,73,48
1585772416,77,57
1585774347,74,53
1585776277,60,404
1585778197,104,47
1585780095,73,52
1585782984,96,79
1585784915,53,68
1585786828,59,51
1585788749,41,51
1585790683,61,40
1585792612,90,57
1585794511,54,45
1585796674,58,55
1585798592,54,1836
1585800512,57,1716
1585802420,58,1653
1585804349,54,75
1585806302,60,50
1585808190,59,52
1585810113,46,67
1585812027,42,147
1585813938,54,65
1585815887,58,57
1585817797,48,49
1585819752,73,66
1585822578,106,78
1585824512,66,48
1585826426,59,66
1585828389,53,63
1585830273,54,65
1585832711,80,77
1585834823,53,63
1585836748,61,65
1585838676,56,55
1585840585,45,58
1585842511,47,62
1585844444,59,70
1585846349,44,65
1585848305,59,54
1585850194,53,48
1585852126,70,54
1585854269,68,285
1585856225,66,67
1585858124,69,67
1585860031,68,58
1585861967,64,67
1585863884,105,78
1585865782,127,112
1585867742,69,85
1585869619,62,63
1585871603,66,102
1585873473,60,82
1585875384,57,79
1585877561,71,149
1585879529,72,116
1585881389,61,81
1585883326,89,71
1585885228,76,88
1585887165,62,88
1585889084,65,63
1585891008,49,57
1585892899,51,89
1585894837,55,84
1585896752,55,56
1585898670,43,53
1585900623,60,61
1585902506,53,67
1585904649,59,56
1585906578,45,72
1585908519,54,72
1585910415,58,64
1585912589,79,59
1585914501,61,69
1585916461,47,69
1585918370,79,85
1585920262,42,73
1585922192,58,54
1585924100,50,49
1585926289,59,55
1585928177,58,43
1585930119,44,56
1585932020,43,50
1585933944,39,57
1585935877,52,52
1585937796,38,52
1585939697,224,48
1585941645,297,67
1585943575,178,56
1585945457,143,55
1585947392,128,107
1585949299,131,64
1585951497,188,133
1585953385,154,62
1585955308,124,60
1585957238,92,51
1585959146,102,60
1585961108,125,71
1585962977,101,50
1585964903,88,72
1585966828,84,60
1585968741,91,65
1585970660,79,71
1585972598,91,90
1585974516,78,55
1585976685,66,62
1585978576,84,56
1585980517,103,57
1585982422,55,62
1585984366,71,67
1585986295,65,56
1585988174,154,51
1585990129,611,68
1585992040,68,58
1585993941,71,55
1585995854,60,74
1585997814,77,70
1585999742,58,55
1586001815,85,57
1586003775,71,74
1586005720,56,71
1586007619,54,63
1586009541,62,59
1586011475,55,69
1586013401,54,63
1586015317,68,79
1586017231,54,63
1586019136,74,60
1586021057,89,49
1586023006,397,42
1586024936,126,34
1586026966,105,101
1586028974,75,88
1586030916,75,72
1586032823,101,73
1586034732,88,68
1586036667,78,69
1586038594,64,79
1586040495,63,93
1586042427,68,76
1586044335,76,66
1586046295,84,88
1586048210,76,75
1586050094,60,62
1586052209,74,68
1586054176,135,78
1586056112,49,76
1586058014,57,93
1586059935,56,87
1586061867,64,70
1586063799,68,73
1586065693,50,55
1586067640,46,70
1586069539,67,52
1586071459,56,68
1586073384,71,69
1586075292,64,336
1586077307,78,417
1586079153,64,53
1586080986,51,63
1586082971,83,61
1586084905,62,65
1586086835,58,49
1586088735,36,60
1586090666,62,66
1586092570,52,53
1586094525,42,52
1586096416,40,48
1586098343,35,50
1586100267,51,46
1586102198,59,58
1586104129,59,62
1586106254,39,66
1586108172,29,250
1586110154,140,150
1586112012,163,55
1586113939,99,90
1586115867,83,68
1586117774,148,52
1586119690,126,62
1586121575,116,85
1586123875,111,80
1586125706,99,68
1586127785,95,65
1586129842,117,83
1586131699,133,69
1586133627,1161,88
1586135548,1060,62
1586137453,1313,72
1586139385,1030,62
1586141311,1059,134
1586143319,855,63
1586145168,1100,65
1586147067,887,58
1586148982,1135,54
1586150919,894,78
1586153075,1068,53
1586155011,984,53
1586156904,890,39
1586158818,858,59
1586160753,930,63
1586162658,981,62
1586164580,811,60
1586166511,1023,56
1586168418,880,56
