DateTime,AddedIPs,RemovedIPs
1585193301,97,75
1585196416,152,125
1585198335,106,72
1585200272,97,91
1585202179,61,76
1585204014,78,93
1585206329,97,88
1585208202,98,84
1585210119,72,74
1585212027,75,63
1585213965,75,91
1585215869,89,63
1585218028,71,82
1585219949,85,71
1585221885,80,63
1585223799,84,85
1585225708,63,55
1585227910,79,95
1585229799,61,89
1585231704,85,79
1585233627,79,46
1585235816,100,35
1585237723,67,20
1585239636,88,52
1585241596,109,310
1585243467,83,91
1585245424,75,70
1585247321,79,69
1585249578,98,117
1585251392,84,87
1585253301,70,98
1585255222,89,103
1585257175,85,109
1585259079,82,98
1585260983,77,122
1585262913,79,103
1585264820,81,81
1585266737,82,101
1585268671,83,97
1585270576,85,97
1585272498,84,96
1585274721,71,89
1585276595,70,78
1585278522,82,95
1585280421,71,98
1585282411,80,98
1585284266,72,91
1585286229,106,103
1585288109,66,70
1585290019,65,87
1585291941,66,85
1585293882,66,76
1585295779,92,77
1585297711,80,79
1585299892,90,103
1585301794,87,78
1585303703,84,86
1585305636,89,77
1585307787,116,218
1585309699,74,61
1585311634,91,79
1585313550,62,81
1585315462,73,64
1585317446,69,66
1585319300,63,74
1585321398,55,104
1585323383,114,69
1585325309,68,83
1585327216,94,70
1585329154,66,80
1585331067,90,75
1585333011,91,72
1585334927,79,69
1585336827,88,106
1585338743,69,99
1585340654,91,69
1585342586,73,81
1585344494,78,71
1585346552,86,77
1585348573,80,89
1585350760,89,92
1585352667,94,78
1585354576,85,98
1585356512,96,83
1585358416,73,83
1585360335,66,56
1585362271,74,83
1585364176,72,59
1585366103,95,69
1585368165,80,55
1585370192,112,91
1585372108,72,92
1585374018,63,66
1585375953,95,58
1585377857,70,67
1585379772,60,66
1585381716,76,94
1585383618,56,85
1585385561,68,62
1585387474,50,84
1585389379,43,69
1585391312,29,95
1585393440,32,152
1585395395,165,88
1585397314,165,79
1585399228,77,73
1585401140,57,76
1585403054,70,67
1585404984,94,69
1585406892,91,55
1585408834,80,64
1585410734,80,227
1585412657,82,80
1585414586,94,71
1585416495,96,74
1585418603,76,83
1585420592,335,95
1585422519,321,77
1585424414,476,75
1585426371,82,68
1585428273,88,71
1585430173,63,79
1585432102,79,83
1585434013,350,70
1585435938,919,65
1585437867,512,66
1585439770,67,71
1585441689,76,67
1585443785,69,69
1585445787,61,71
1585447702,49,71
1585449618,48,62
1585451545,44,72
1585453475,51,55
1585455631,80,74
1585457545,52,64
1585459471,62,63
1585461383,55,62
1585463358,49,79
1585465478,52,70
1585467412,64,60
1585469298,50,66
1585471238,67,66
1585473145,53,60
1585475071,41,53
1585476980,191,48
1585478896,448,31
1585480829,70,40
1585482739,48,75
1585484656,64,62
1585486590,52,51
1585488517,40,69
1585490580,48,86
1585492390,49,84
1585494289,37,62
1585496178,27,67
1585498118,18,79
1585500056,48,88
1585501951,118,62
1585503879,73,54
1585505826,68,54
1585507716,46,215
1585509676,150,635
1585511544,97,263
1585513469,100,92
1585515479,76,71
1585517300,75,58
1585519415,71,85
1585521377,87,804
1585523315,100,842
1585525225,93,210
1585527149,105,110
1585529074,103,79
1585531010,86,55
1585533191,77,71
1585535067,87,65
1585536982,70,77
1585538912,96,77
