DateTime,AddedIPs,RemovedIPs
1585099697,2,0
1585102599,4,6
1585104509,5,1
1585106431,3,3
1585108341,1,1
1585110287,0,1
1585112196,0,3
1585114133,2,1
1585116988,2,2
1585121066,0,1
1585122994,0,2
1585124904,1,2
1585127086,5,4
1585129024,1,0
1585130955,1,1
1585132858,2,4
1585134745,0,1
1585136687,2,0
1585138641,2,0
1585140541,0,2
1585142421,0,4
1585146319,2,0
1585148218,3,0
1585150117,0,2
1585152382,3,2
1585154541,2,1
1585156394,1,1
1585158266,1,0
1585160192,1,0
1585164022,2,2
1585165952,1,0
1585167879,2,0
1585169787,1,1
1585171724,2,0
1585173976,2,5
1585175821,0,2
1585177739,4,3
1585179623,2,2
1585181564,2,1
1585183468,2,1
1585185626,1,1
1585187609,1,0
1585189506,1,1
1585191419,1,5
1585193302,3,31
1585196417,3,1
1585198336,0,1
1585200273,2,1
1585202181,1,1
1585206330,2,1
1585208203,1,0
1585210120,0,2
1585212028,0,2
1585213967,1,7
1585215871,1,1
1585218031,2,0
1585219950,2,0
1585221886,0,1
1585223800,1,3
1585225710,0,2
1585227911,4,2
1585229801,4,1
1585231706,0,2
1585233628,1,4
1585235817,1,0
1585239637,0,3
1585241598,1,0
1585243469,1,0
1585245426,2,1
1585247322,1,0
1585249607,1,2
1585251613,1,2
1585253545,3,1
1585255452,4,3
1585257396,1,0
1585259331,2,2
1585261215,0,3
1585263133,3,0
1585265067,9,1
1585267062,1,1
1585269146,4,2
1585271055,3,2
1585273031,2,3
1585274907,3,1
1585276820,2,2
1585278746,4,1
1585280653,0,2
1585282826,1,2
1585284740,1,0
1585286676,0,3
1585288580,0,1
1585290499,1,0
1585292633,1,1
1585294604,0,1
1585296516,1,0
1585298434,3,0
1585300342,3,1
1585302262,0,2
1585304184,1,1
1585306098,1,2
1585308030,1,2
1585309936,1,0
1585313790,0,6
1585315697,1,7
1585317797,3,0
1585319774,4,1
1585323617,4,2
1585325539,1,1
1585327476,0,3
1585331302,1,2
1585333237,0,2
1585338988,0,3
1585340894,3,1
1585343778,1,2
1585345694,1,4
1585347625,2,1
1585349530,4,3
1585351475,3,7
1585353404,1,3
1585355293,4,1
1585357483,1,5
1585359387,0,2
1585361304,0,1
1585363220,4,4
1585365148,3,2
1585367055,1,1
1585368973,0,1
1585370908,1,0
1585372849,1,0
1585374735,1,0
1585378692,2,3
1585380495,1,0
1585382751,0,2
1585384590,0,2
1585386545,2,3
1585388424,1,1
1585390361,0,1
1585392264,1,1
1585394201,1,0
1585396110,2,1
1585398021,2,1
1585399948,2,0
1585401854,2,2
1585403776,1,2
1585405697,0,1
1585408835,1,2
1585410736,0,2
1585412659,1,1
1585414588,1,0
1585416497,4,0
1585418681,2,1
1585420594,2,0
1585424415,4,0
1585426372,1,0
1585428275,1,3
1585430175,2,0
1585432104,3,0
1585434015,2,1
1585435942,2,4
1585437871,4,2
1585439772,1,1
1585441690,2,1
1585443865,3,1
1585445789,1,0
1585449621,0,5
1585451547,0,2
1585455633,3,0
1585457546,1,1
1585459472,0,1
1585461385,2,0
1585463360,2,0
1585465488,0,4
1585467417,0,1
1585471240,1,0
1585473147,2,2
1585475073,2,0
1585476981,1,0
1585478898,0,1
1585480831,0,1
1585482741,0,2
1585484657,3,3
1585486592,1,2
1585488518,0,2
1585490625,2,2
1585492573,2,2
1585494510,1,1
1585496412,3,2
1585498344,1,1
1585500267,1,4
1585502172,0,3
1585504345,2,5
1585506282,6,0
1585508194,1,1
1585510094,1,1
1585512275,4,4
1585514191,0,1
1585516110,3,2
1585518019,3,3
1585519933,3,3
1585521868,0,1
1585523773,4,3
1585525944,3,4
1585527863,4,1
1585529798,1,2
1585531728,2,3
1585533990,2,0
1585535791,2,1
1585537703,2,0
1585539622,1,1
1585541569,2,0
1585543479,0,1
1585545382,1,0
1585547310,0,1
1585549224,3,2
1585552997,2,0
1585556942,1,1
1585558979,1,1
1585560977,0,3
1585562897,2,2
1585564829,2,1
1585566738,1,0
1585568682,0,1
1585570590,0,2
1585572498,0,1
1585574440,3,1
1585576351,4,1
1585578297,1,2
1585580192,3,2
1585582118,3,2
1585584351,0,1
1585586196,1,3
1585590023,0,1
1585591955,2,1
1585593862,0,3
1585595792,1,1
1585597872,1,4
1585603007,2,5
1585604895,2,1
1585606831,2,1
1585608739,3,1
1585610659,4,4
1585612584,2,1
1585614496,4,2
1585616650,0,1
1585618585,2,1
1585620755,4,2
1585622658,0,4
1585624572,0,1
1585626506,3,1
1585628473,1,2
1585630357,0,1
1585632279,3,1
1585634208,3,0
1585636094,2,2
1585640318,1,1
1585642348,1,0
1585644287,0,1
1585646235,4,1
1585648108,2,0
1585650022,0,2
1585651956,2,2
1585653861,0,1
1585655780,2,0
1585657697,1,1
1585659827,1,1
1585661776,2,4
1585663716,3,2
1585665621,2,1
1585667775,2,4
1585669691,2,0
1585671629,0,2
1585673562,1,1
1585675467,1,0
1585677388,0,1
1585679292,3,4
1585681367,1,1
1585683378,0,1
1585685329,1,3
1585687224,3,0
1585689384,3,2
1585691305,3,1
1585693225,2,1
1585695140,6,2
1585697068,1,4
1585698986,1,1
1585700903,5,2
1585703012,6,1
1585704822,4,4
1585706740,7,5
1585708585,0,1
1585710503,2,0
1585712413,3,2
1585714344,2,1
1585716255,2,1
1585718178,0,1
1585720152,1,4
1585722036,2,2
1585724040,1,1
1585726012,1,0
1585728204,0,2
1585730173,1,1
1585732114,2,5
1585734024,1,8
1585735952,0,1
1585737855,2,0
1585739812,2,3
1585741706,1,0
1585745549,0,1
1585747457,2,1
1585749416,0,3
1585751300,2,2
1585753389,1,2
1585755399,2,1
1585759232,1,1
1585761164,0,2
1585763059,2,0
1585765224,1,2
1585769106,4,1
1585771018,5,0
1585774992,2,3
1585777025,1,2
1585779187,3,1
1585781114,1,6
1585782986,0,1
1585784917,3,2
1585786831,2,4
1585788752,0,2
1585790686,2,3
1585792614,3,3
