DateTime,AddedIPs,RemovedIPs
1578865952,2,0
1578869821,1,0
1578871749,1,0
1578874019,2,0
1578889698,0,1
1578893832,0,1
1578899586,0,1
1578923585,0,2
1578925490,0,2
1578927394,0,3
1578934127,2,0
1578945994,0,1
1578947840,0,3
1578949735,0,3
1578951640,0,1
1578955031,0,1
1578957194,0,1
1578959061,0,2
1578961014,0,1
1579000596,2,0
1579020388,0,3
1579029867,1,0
1579049543,1,0
1579051524,1,0
1579086533,0,2
1579088460,1,0
1579096596,1,0
1579100940,1,0
1579114613,0,1
1579123243,1,0
1579129634,1,0
1579131666,1,0
1579135481,0,1
1579137378,0,1
1579149625,1,0
1579153486,1,0
1579155652,1,0
1579157568,1,0
1579173173,1,0
1579175098,0,1
1579194990,1,0
1579208914,0,1
1579215143,1,1
1579217118,0,1
1579218983,0,1
1579236737,0,1
1579238682,1,0
1579240585,0,1
1579242752,0,1
1579244684,0,1
1579260018,0,1
1579261954,1,0
1579263855,1,0
1579267728,2,0
1579271771,1,0
1579275867,1,0
1579277793,1,0
1579279717,0,1
1579291729,1,0
1579293638,1,0
1579295797,1,0
1579297942,1,0
1579299872,1,0
1579301796,2,1
1579309495,1,0
1579341942,0,1
1579353394,0,1
1579355357,0,1
1579359151,0,1
1579361064,0,1
1579363030,0,1
1579364904,0,1
1579378600,0,1
1579380753,0,1
1579382685,0,2
1579384598,0,1
1579386519,0,2
1579388770,0,2
1579396598,0,1
1579573210,1,0
1579657459,0,1
1579687473,1,0
1579773380,0,1
1579809139,1,0
1579893638,0,1
1580049410,1,0
1580136065,0,1
1580453830,1,0
1580487163,1,0
1580511395,1,0
1580541434,0,1
1580573130,0,1
1580594789,0,1
1580618912,3,0
1580646016,1,0
1580706987,0,3
1580730261,0,1
1583148749,2,0
1583197488,1,0
1583208995,1,0
1583236102,0,2
1583257493,8,0
1583282655,1,0
1583284584,0,1
1583315547,0,1
1583324219,1,0
1583343642,0,8
1583369313,0,1
1583375064,1,0
1583400268,1,0
1583408179,0,1
1583460984,0,1
1583478496,1,0
1583482341,1,0
1583488106,0,1
1583490016,1,0
1583523860,1,0
1583550983,1,0
1583565438,0,1
1583569263,1,1
1583576926,0,1
1583581960,1,0
1583611004,0,1
1583634263,1,0
1583638102,0,1
1583655617,0,1
1583667378,0,1
1583692582,1,0
1583707935,1,0
1583719743,0,1
1583727383,1,0
1583735059,1,0
1583779240,0,1
1583794597,1,1
1583810201,1,0
1583812102,0,1
1583821708,0,1
1583823922,1,0
1583880984,0,1
1583885030,1,0
1583896584,0,1
1583910252,0,1
1583919866,2,0
1583971948,0,1
1583981558,1,0
1583999068,1,0
1584006753,0,2
1584055704,1,0
1584057853,1,0
1584067465,0,1
1584069382,2,0
