DateTime,Entries,UniqueIPs
1582596027,7772,7772
1582603950,7752,7752
1582611142,7740,7740
1582618343,7726,7726
1582625545,7727,7727
1582632748,7737,7737
1582639952,7732,7732
1582647851,7723,7723
1582655051,7763,7763
1582662492,7758,7758
1582669688,7716,7716
1582677136,7686,7686
1582685054,7707,7707
1582692252,7698,7698
1582700167,7673,7673
1582707382,7708,7708
1582714582,7690,7690
1582722017,7736,7736
1582729227,7706,7706
1582737131,7719,7719
1582744331,7720,7720
1582751533,7728,7728
1582758739,7723,7723
1582766179,7514,7514
1582773158,7471,7471
1582781064,7490,7490
1582788982,7503,7503
1582796183,7521,7521
1582804104,7542,7542
1582811303,7564,7564
1582818983,7551,7551
1582826902,7504,7504
1582834109,7542,7542
1582841304,7542,7542
1582848511,7195,7195
1582856422,7189,7189
1582863610,7177,7177
1582870813,7163,7163
1582878023,7185,7185
1582885940,7195,7195
1582893143,7180,7180
1582900345,7166,7166
1582907542,7194,7194
1582914743,7205,7205
1582922665,7210,7210
1582929862,7209,7209
1582937779,7167,7167
1582944978,7196,7196
1582952178,7215,7215
1582959385,7205,7205
1582967303,7198,7198
1582974508,7241,7241
1582981227,7210,7210
1582988917,7238,7238
1582996818,7241,7241
1583004017,7234,7234
1583011219,7232,7232
1583019144,7188,7188
1583026343,7175,7175
1583033547,7178,7178
1583040749,7151,7151
1583048661,7151,7151
1583055866,7168,7168
1583063779,7138,7138
1583070506,7211,7211
1583078427,7237,7237
1583085626,7241,7241
1583093541,7232,7232
1583100267,7209,7209
1583107716,7167,7167
1583115619,7100,7100
1583122817,7157,7157
1583130261,7118,7118
1583136753,7079,7079
1583144648,7112,7112
1583151618,7114,7114
1583159544,7139,7139
1583166990,7143,7143
1583174192,7166,7166
1583181611,7130,7130
1583189079,7164,7164
1583196968,7124,7124
1583204175,7155,7155
1583211615,7191,7191
1583219532,7166,7166
1583226980,7134,7134
1583233705,7182,7182
1583240920,7152,7152
1583248109,7194,7194
1583255534,7166,7166
1583263449,7141,7141
1583270649,7157,7157
1583277855,7133,7133
1583285772,7134,7134
1583292487,7103,7103
1583299932,7112,7112
1583307847,7082,7082
1583315052,7119,7119
1583322258,7121,7121
1583330170,7108,7108
1583337367,7114,7114
1583344568,7116,7116
1583352505,7124,7124
1583359699,7132,7132
1583367139,7102,7102
1583375052,7027,7027
1583382258,7140,7140
1583389450,7128,7128
1583396655,7118,7118
1583404570,7122,7122
1583411805,7157,7157
1583418487,7127,7127
1583426170,7114,7114
1583433373,7139,7139
1583441292,7187,7187
1583448494,7139,7139
1583456417,7101,7101
1583463626,7095,7095
1583470814,7116,7116
1583478023,7137,7137
1583483053,7130,7130
1583483767,7137,7137
1583485930,7131,7131
1583493134,7133,7133
1583500332,7173,7173
1583507537,7173,7173
1583515451,7163,7163
1583522649,7194,7194
1583529856,7090,7090
1583537071,7176,7176
1583544968,7144,7144
1583552169,7173,7173
1583560091,7150,7150
1583567294,7154,7154
1583573796,7165,7165
1583581690,7139,7139
1583588915,7198,7198
1583596332,7196,7196
1583603789,7163,7163
1583610989,7192,7192
1583618889,7191,7191
1583626334,7164,7164
1583633529,7162,7162
1583640731,7137,7137
1583648650,7130,7130
1583655849,7155,7155
1583663072,7156,7156
