DateTime,AddedIPs,RemovedIPs
1585497372,25,34
1585498515,9,15
1585499295,19,0
1585500912,21,28
1585502118,5,13
1585502892,16,1
1585504027,5,36
1585505652,18,10
1585509021,20,28
1585510083,0,1738
1585512151,1758,0
1585513697,14,6
1585514535,20,6
1585516213,15,10
1585518132,21,29
1585519822,19,12
1585520892,4,2
1585521733,15,14
1585522577,12,3
1585523714,4,8
1585524492,5,0
1585527018,18,11
1585528092,3,0
1585529514,17,23
1585530621,13,4
1585531817,12,16
1585532921,4,7
1585533373,3,0
1585534457,2,12
1585536017,21,13
1585537817,7,8
1585538052,1,0
1585539607,19,9
1585541719,13,9
1585543357,26,18
1585544175,2,3
1585545315,4,8
1585546095,2,1
1585547265,21,16
1585548615,8,11
1585550415,28,11
1585552517,9,27
1585553292,3,1
1585555817,17,21
1585557314,27,16
1585558547,4,14
1585559711,7,11
1585561382,19,22
1585563253,8,13
1585564092,1,1
1585564983,17,21
1585566037,6,8
1585567217,8,0
1585568414,22,10
1585570215,4,23
1585571417,5,15
1585572526,16,2
1585574046,0,1809
1585575617,1795,0
1585577416,3,11
1585578498,2,0
1585579809,18,11
1585581252,9,9
1585582963,19,21
1585584620,5,11
1585585819,7,8
1585587373,14,4
1585588515,8,14
1585589614,10,23
1585591816,11,9
1585592893,3,2
1585594212,26,11
1585595653,14,7
1585596495,6,1
1585597348,7,18
1585598177,10,2
1585599315,5,7
1585600817,11,11
1585601938,5,13
1585602858,3,2
1585603969,11,7
1585605373,8,11
1585606517,8,10
1585608013,18,14
1585609308,8,19
1585610051,2,0
1585611915,14,36
1585613655,24,8
1585614495,14,1
1585615895,18,14
1585617252,20,10
1585618095,13,4
1585619937,19,33
1585621692,7,2
1585623014,14,34
1585624215,11,5
1585625298,6,1
1585628052,28,21
1585628893,14,1
1585629734,2,21
1585630575,3,0
1585631657,10,8
1585632493,3,2
1585633336,9,26
1585635252,16,5
1585636936,18,19
1585637775,9,4
1585638917,2,15
1585640418,17,10
1585641643,14,14
1585642818,1,1
1585644016,31,18
1585646055,18,20
1585646895,8,2
1585648574,19,12
1585649652,1,10
1585650493,16,1
1585651814,3,24
1585653015,11,12
1585654226,18,4
1585655773,6,3
1585656915,6,9
1585658532,15,27
1585659375,6,4
1585660516,0,11
1585661292,13,1
1585662136,6,18
1585663289,7,10
1585664417,0,3
1585665973,13,17
1585667268,3,9
1585668432,5,3
1585671251,26,28
1585672514,6,19
1585673713,13,6
1585674911,4,40
1585676537,12,92
1585678214,19,9
1585680135,14,23
1585681821,5,10
1585683023,14,15
1585684574,14,9
1585685657,5,17
1585686791,17,18
1585688177,16,8
1585689315,7,15
1585690935,18,25
1585692853,5,16
1585694036,13,10
1585695473,10,9
1585697293,4,12
1585698539,14,20
1585699758,9,10
1585701026,21,17
1585702720,17,12
1585704493,19,1
1585706276,0,1649
1585707617,1633,0
1585708815,15,10
1585709944,11,23
1585711218,2,1
1585712416,11,7
1585714457,10,22
1585716133,19,24
1585717818,15,6
1585719021,15,15
1585720214,5,10
1585721419,10,4
1585722493,4,1
1585724193,29,17
1585725257,5,11
1585726816,9,4
1585728046,16,21
1585728852,6,0
1585729695,2,1
1585730982,6,38
1585732451,7,4
1585733292,4,1
1585734138,8,15
1585736056,16,7
1585737580,12,11
1585739658,10,33
1585741200,8,6
1585742171,13,3
1585743316,5,8
1585744601,11,5
1585745774,8,11
1585746916,7,9
1585748539,9,17
1585750215,11,5
1585752132,21,24
1585754051,11,5
1585755736,22,12
1585756575,10,0
1585757723,7,7
1585758492,4,2
1585760111,11,11
1585761258,10,10
1585762933,17,30
1585763773,9,2
1585764914,9,15
1585766419,29,16
1585767960,11,26
1585769428,5,9
1585770137,10,4
1585771520,13,7
1585772712,12,3
1585773734,10,24
1585775125,6,11
1585776492,26,1
1585777962,13,36
1585779253,11,11
1585780936,15,17
1585781773,18,0
1585782855,8,19
1585783692,24,2
1585785318,20,34
1585786453,6,22
1585787294,16,1
1585788619,8,26
1585790055,20,15
1585790892,26,1
1585792573,20,24
1585793653,5,11
1585795333,33,18
1585796174,18,1
1585797316,7,12
1585798935,16,20
1585800854,15,15
1585802415,20,6
1585804064,0,1664
1585804457,1675,0
1585805712,10,4
1585807816,18,18
1585809054,8,16
1585810573,16,7
1585811652,13,13
1585812498,20,3
1585814113,42,29
1585815256,9,21
1585816093,1,2
1585817776,34,17
1585818918,7,22
1585820088,10,9
1585821796,17,17
1585823296,33,4
1585824973,16,48
1585826052,5,8
1585826896,8,1
1585829415,34,11
1585830615,26,16
1585833316,21,24
1585834801,20,11
1585835961,16,11
1585836853,4,3
1585838535,23,24
1585839373,17,5
1585840514,6,20
1585842131,21,15
1585844052,21,10
1585845312,9,16
1585846513,11,5
1585847716,2,24
1585849210,21,10
1585850454,14,5
1585851253,5,2
1585852936,26,19
1585854857,7,18
1585856046,23,12
1585857182,13,6
1585858516,12,18
1585859640,11,22
1585861816,14,13
1585863017,14,11
1585864166,3,12
