DateTime,AddedIPs,RemovedIPs
1585493783,63,8
1585494859,33,12
1585495703,4,1
1585497379,25,32
1585498524,9,15
1585499301,19,0
1585500919,21,27
1585502124,5,13
1585502898,16,1
1585504036,5,36
1585505658,18,10
1585509029,20,28
1585510090,23,1
1585512158,21,25
1585513703,13,6
1585514541,20,6
1585516219,15,10
1585518139,21,29
1585519830,19,12
1585520899,4,2
1585521740,14,14
1585522583,12,3
1585523722,3,8
1585524498,5,0
1585527025,18,11
1585528098,3,0
1585529520,17,22
1585530631,13,4
1585531843,12,16
1585533379,6,7
1585534463,3,12
1585536049,20,14
1585537824,7,6
1585538058,1,0
1585539617,19,10
1585541724,13,8
1585543396,25,17
1585544182,2,3
1585545321,4,8
1585546102,2,1
1585547271,21,16
1585548622,8,11
1585550442,27,15
1585552524,8,20
1585553298,3,1
1585555823,17,21
1585557321,28,16
1585558557,4,13
1585559722,7,10
1585561441,18,22
1585563260,8,13
1585564099,1,1
1585565038,17,21
1585566061,5,8
1585567228,8,0
1585568443,22,17
1585570223,3,16
1585571445,4,14
1585572604,16,2
1585574055,4,14
1585575648,11,17
1585577424,3,10
1585578505,2,0
1585579817,18,11
1585581258,9,9
1585583027,18,21
1585584629,5,11
1585585844,7,8
1585587379,14,4
1585588523,8,11
1585589620,10,20
1585591822,11,8
1585592899,3,2
1585594218,26,11
1585595659,14,7
1585596501,6,1
1585597379,7,13
1585598184,10,2
1585599322,5,7
1585600843,11,13
1585601944,5,11
1585602864,3,2
1585603976,11,7
1585605379,8,11
1585606523,8,10
1585608020,17,14
1585609330,8,19
1585610057,2,0
1585611922,15,36
1585613662,23,8
1585614502,24,1
1585615902,11,17
1585617257,19,10
1585618101,12,4
1585619944,19,32
1585621700,7,2
1585623021,14,33
1585624222,11,5
1585625304,5,1
1585628058,27,20
1585628899,14,2
1585629740,3,21
1585630582,3,0
1585631665,10,8
1585632500,3,2
1585633342,9,26
1585635259,14,5
1585636944,18,19
1585637781,8,4
1585638925,2,15
1585640445,19,13
1585642209,12,11
1585643315,7,2
1585644541,27,19
1585646062,12,13
1585646904,8,2
1585648584,19,12
1585649658,1,10
1585650499,16,1
1585651819,3,24
1585653022,11,12
1585654236,18,4
1585655779,6,3
1585656921,6,8
1585658539,15,26
1585659382,6,4
1585660523,0,11
1585661299,13,1
1585662144,6,18
1585663302,7,10
1585664423,0,3
1585665981,13,17
1585667275,3,9
1585668439,5,3
1585671257,25,28
1585672520,6,19
1585673719,13,6
1585674919,4,40
1585676543,11,92
1585678221,19,9
1585680141,14,23
1585681828,5,8
1585683036,14,13
1585684580,14,9
1585685663,5,17
1585686799,17,18
1585688184,16,8
1585689322,7,15
1585690941,17,24
1585692859,5,16
1585694041,13,10
1585695479,10,9
1585697299,4,12
1585698552,14,20
1585699764,9,10
1585701038,20,17
1585702726,17,10
1585704499,19,1
1585706282,9,21
1585707625,8,11
1585708843,14,20
1585709951,11,13
1585711225,2,1
1585712443,11,21
1585714463,10,6
1585716139,19,24
1585717825,16,6
1585719034,14,15
1585720220,5,10
1585721425,9,3
1585722499,4,1
1585724201,24,16
1585725265,4,6
1585726842,9,13
