DateTime,AddedIPs,RemovedIPs
1585498503,34,60
1585499284,22,1
1585500904,112,116
1585502106,87,62
1585502884,50,1
1585504017,55,161
1585505643,83,103
1585509005,141,184
1585510083,60,1
1585512142,106,145
1585513684,92,1
1585514525,46,83
1585516203,66,51
1585518124,92,114
1585519805,51,59
1585520883,38,0
1585521725,50,147
1585522563,33,0
1585523703,46,48
1585524483,35,0
1585527006,90,130
1585528084,43,1
1585529506,69,86
1585530603,59,56
1585531804,56,66
1585532909,57,27
1585533363,25,0
1585534443,43,65
1585536005,69,84
1585537803,78,74
1585538043,10,0
1585539604,0,20466
1585541704,20461,0
1585543339,60,101
1585544164,41,1
1585545304,55,70
1585546086,28,0
1585547257,62,113
1585548604,49,61
1585550403,87,76
1585552503,89,71
1585553284,30,1
1585555803,122,146
1585557303,53,77
1585558532,44,28
1585559697,39,58
1585561356,86,104
1585563243,78,61
1585564083,35,1
1585564954,46,108
1585566026,48,55
1585567205,54,0
1585568404,60,60
1585570203,59,96
1585571404,45,89
1585572517,35,24
1585574044,51,57
1585575604,102,83
1585577403,55,73
1585578484,23,1
1585579800,52,101
1585581244,47,59
1585582933,56,120
1585584603,49,44
1585585805,57,55
1585587364,53,31
1585588503,46,55
1585589606,44,69
1585591806,224,54
1585592883,46,0
1585594204,59,117
1585595643,53,56
1585596483,39,0
1585597325,35,91
1585598165,30,1
1585599303,60,38
1585600804,68,59
1585601930,65,89
1585602846,31,8
1585603961,72,63
1585605363,103,27
1585606503,42,48
1585608004,72,47
1585609276,45,104
1585610043,32,0
1585611903,99,105
1585613643,94,54
1585614483,52,0
1585615886,71,111
1585617243,64,56
1585618083,36,0
1585619925,118,114
1585621683,65,4
1585623004,47,90
1585624203,37,39
1585625284,44,0
1585628044,142,136
1585628883,34,0
1585629724,31,92
1585630563,35,0
1585631645,34,52
1585632483,33,0
1585633323,27,83
1585635243,69,54
1585636922,68,91
1585637765,41,0
1585638904,42,51
1585640406,67,71
1585641631,51,75
1585642804,63,0
1585644006,51,71
1585646043,85,69
1585646883,44,0
1585648563,70,86
1585649644,40,44
1585650483,31,1
1585651804,44,96
1585653004,45,110
1585654207,63,58
1585655764,55,21
1585656903,36,40
1585658524,61,98
1585659363,29,0
1585660504,40,65
1585661284,24,0
1585662126,39,112
1585663280,47,57
1585664405,39,1
1585665954,56,99
1585667259,46,38
1585668418,36,0
1585671243,118,187
1585672503,57,231
1585673703,55,60
1585674904,70,652
1585676524,66,894
1585678203,71,77
1585680125,70,123
1585681804,61,69
1585683008,68,114
1585684563,69,31
1585685644,44,54
1585686778,50,105
1585688169,50,24
1585689303,50,56
1585690923,81,108
1585692843,74,69
1585694027,60,91
1585695464,57,32
1585697283,77,63
1585698530,72,112
1585699742,61,72
1585701007,52,124
1585702711,100,97
1585704484,76,7
1585706270,65,144
1585707603,64,81
1585708803,72,97
1585709936,54,97
1585711204,48,9
1585712404,47,96
1585714444,88,124
1585716125,75,168
1585717804,82,72
1585719006,51,89
1585720204,52,43
1585721406,45,73
1585722484,43,1
1585724164,66,142
1585725243,43,71
1585726803,63,84
1585728029,88,117
1585728843,46,0
1585729683,33,1
1585730973,44,148
1585732443,58,61
1585733283,35,0
1585734124,34,116
1585736043,59,62
1585737572,57,82
1585739644,66,114
1585741190,55,55
1585742163,47,28
1585743303,44,45
1585744593,68,92
1585745763,43,48
1585746903,52,48
1585748526,49,86
1585750203,62,48
1585752123,73,100
1585754043,72,28
1585755724,65,104
1585756564,36,0
1585757704,48,55
1585758483,29,0
1585760103,43,148
1585761244,107,75
1585762925,76,169
1585763763,43,0
1585764856,56,81
1585766404,115,73
1585767950,93,85
1585769408,85,68
1585770124,43,32
1585771511,63,79
1585772704,67,0
1585773725,54,144
1585775111,51,85
1585776484,57,1
1585777953,81,120
1585779243,62,44
1585780926,69,112
1585781763,36,0
1585782843,52,72
1585783683,31,0
1585785304,53,125
1585786443,54,52
1585787284,32,1
1585788611,55,108
1585790043,63,65
1585790884,44,1
1585792566,97,90
1585793643,43,54
1585795323,73,100
1585796164,33,1
1585797303,46,71
1585798925,51,110
1585800843,87,62
1585802403,56,57
1585804057,57,77
1585804443,17,0
1585805703,65,45
1585807803,82,87
1585809042,45,84
1585810563,64,23
1585811643,44,55
1585812484,31,0
1585814104,87,113
1585815243,57,69
1585816083,38,0
1585817763,81,119
1585818905,50,54
1585820079,71,87
1585821783,73,69
1585823283,52,0
1585824964,71,121
1585826042,47,45
1585826883,40,2
1585829403,104,133
1585830604,56,78
1585833303,111,72
1585834792,66,74
1585835952,44,56
1585836843,42,4
1585838523,73,86
1585839363,42,0
1585840504,38,55
1585842123,66,105
1585844043,80,59
1585845304,37,75
1585846504,37,24
1585847703,151,47
1585849202,133,58
1585850437,54,53
1585851243,27,0
1585852923,48,98
1585854843,55,55
1585856035,43,66
1585857174,36,21
1585858503,48,49
1585859632,39,80
1585861804,72,82
1585863005,45,63
1585864148,41,21
1585865644,61,53
1585866486,32,1
1585868740,70,170
1585870083,51,0
1585871762,105,115
1585872903,65,82
1585873683,42,0
1585874524,38,110
1585876443,63,50
1585878127,70,117
1585878964,33,0
1585880103,36,67
1585881304,42,65
1585882829,51,70
1585883644,23,0
1585884903,53,82
1585886163,45,30
1585887294,43,55
1585888924,58,125
1585889765,38,0
1585890844,46,56
1585892066,50,69
1585893304,52,25
1585894504,54,60
1585896125,61,116
1585897804,78,70
1585899005,69,88
1585900216,50,30
1585901644,47,61
1585902484,33,1
1585905244,91,155
1585906924,84,91
1585908604,49,36
1585910523,79,86
1585912443,62,64
1585914004,67,81
1585915227,34,80
1585916404,30,1
1585917605,46,74
1585919704,100,60
1585920903,48,69
1585922198,54,22
1585923303,68,36
1585924924,52,71
1585926845,100,47
1585928403,35,74
1585930203,79,48
1585931404,43,78
1585932681,43,22
1585933803,26,58
1585934043,11,0
1585934883,51,2
1585936133,54,76
1585937644,35,72
1585938484,57,3
1585939787,268,95
1585941003,247,40
1585942083,147,1
1585943764,181,103
1585944903,103,49
1585945683,64,0
1585946524,64,91
1585948203,128,59
1585949284,115,1
1585950603,99,84
1585952044,102,52
1585952885,61,0
1585954504,116,110
1585955703,88,57
1585956904,90,84
1585958427,74,106
1585959603,57,1
1585960924,76,173
1585961763,42,0
1585962904,51,108
1585964526,90,113
1585966206,71,48
1585967407,33,71
1585970044,86,70
1585970883,39,1
1585972564,64,101
1585973704,50,45
1585975204,66,79
1585976426,46,87
1585977605,36,1
1585978923,55,90
1585980604,77,70
1585981806,0,18737
1585983364,18734,0
1585984443,35,72
1585986126,55,110
1585986964,39,1
1585988103,40,51
1585989723,50,133
1585991370,52,51
1585993323,60,84
1585995004,57,55
1585996206,47,79
1585998843,108,84
1585999683,33,1
1586000524,28,91
1586001363,34,0
1586002504,35,38
1586003282,43,0
1586004963,71,92
1586006103,34,35
1586006882,26,1
1586008503,56,110
1586009704,69,45
1586010484,38,0
1586012163,74,83
1586013303,47,42
1586014477,52,73
1586016436,68,50
1586016843,15,0
1586017684,24,0
1586019364,69,102
1586020505,61,36
1586022304,178,68
1586023805,126,38
1586025724,143,65
1586026846,80,35
1586027965,54,0
1586029206,59,62
1586030476,51,68
1586031603,48,1
1586032803,66,71
