DateTime,AddedIPs,RemovedIPs
1585407374,4,1
1585408460,1,2
1585410039,3,1
1585410976,1,0
1585412055,0,1
1585414645,0,1
1585415655,1,0
1585417247,0,1
1585418528,4,2
1585422049,1,2
1585428137,1,3
1585430058,1,2
1585433660,1,3
1585434916,0,5
1585436378,0,5
1585440443,1,10
1585443374,0,7
1585444460,0,5
1585446132,3,7
1585447819,0,3
1585448896,1,0
1585450580,0,8
1585452496,0,1
1585453336,0,11
1585455255,0,5
1585456409,0,5
1585457715,0,3
1585458921,0,3
1585460539,0,2
1585462219,1,0
1585464874,1,6
1585466055,0,1
1585467316,0,2
1585467735,0,1
1585469721,0,2
1585470920,0,2
1585472128,0,3
1585473318,0,2
1585475718,0,3
1585478420,0,1
1585479961,0,1
1585483177,0,1
1585485620,0,1
1585490116,1,2
1585491318,0,1
1585493778,1,0
1585494855,0,1
1585495700,1,0
1585497375,0,1
1585498519,0,1
1585499297,2,0
1585500915,0,1
1585504031,0,2
1585505655,0,1
1585509024,1,0
1585512153,1,4
1585514538,0,4
1585516216,0,3
1585518135,0,3
1585519827,0,1
1585521737,1,4
1585523718,0,1
1585527021,1,7
1585529517,0,9
1585530625,0,4
1585531825,0,4
1585532924,1,4
1585534460,0,3
1585536020,0,8
1585537820,1,13
1585539611,2,10
1585541721,0,4
1585543373,0,6
1585545318,0,3
1585547267,1,10
1585548618,1,0
1585550419,14,7
1585553295,31,5
1585555820,21,7
1585557317,7,3
1585558552,7,3
1585559714,5,1
1585561403,8,9
1585563256,17,1
1585564095,6,0
1585565001,6,3
1585566048,1,5
1585567221,4,0
1585568418,7,3
1585570219,2,5
1585571428,2,0
1585572528,2,0
1585574051,4,2
1585575621,4,1
1585577419,5,3
1585578501,2,0
1585579813,5,0
1585581255,1,2
1585582986,2,3
1585584623,4,1
1585585826,1,3
1585587376,4,1
1585588519,2,3
1585589617,3,2
1585591819,9,2
1585592896,1,0
1585594214,2,0
1585597360,1,1
1585598180,3,0
1585599319,3,0
1585600820,3,0
1585601941,2,2
1585602860,2,0
1585603972,0,1
1585605376,1,0
1585608016,3,0
1585609313,3,1
1585610054,2,1
1585611918,2,0
1585613658,8,0
1585614499,7,0
1585615898,2,3
1585617254,11,1
1585618098,4,0
1585619940,17,1
1585621695,8,0
1585623017,6,0
1585624218,4,0
1585625300,6,0
1585628054,6,0
1585628896,4,0
1585629737,4,0
1585630579,5,0
1585631660,2,1
1585632497,3,0
1585633339,1,2
1585635255,4,1
1585636940,3,3
1585637777,2,0
1585638921,6,0
1585640440,5,0
