DateTime,Entries,UniqueIPs
1585497374,1401,1401
1585498517,1400,1400
1585499296,1397,1397
1585500914,1386,1386
1585502120,1377,1377
1585502893,1379,1379
1585504030,1363,1363
1585505654,1364,1364
1585509023,1346,1346
1585510085,1346,1346
1585512153,1336,1336
1585513699,1356,1356
1585514537,1346,1346
1585516215,1345,1345
1585518134,1329,1329
1585519824,1315,1315
1585520894,1318,1318
1585521736,1295,1295
1585522579,1301,1301
1585523716,1297,1297
1585524494,1306,1306
1585527020,1299,1299
1585528094,1305,1305
1585529516,1310,1310
1585530623,1308,1308
1585531822,1307,1307
1585532923,1309,1309
1585533374,1309,1309
1585534459,1312,1312
1585536019,1307,1307
1585537819,1303,1303
1585538054,1306,1306
1585539610,1295,1295
1585541720,1294,1294
1585543366,1285,1285
1585544177,1304,1304
1585545317,1302,1302
1585546098,1305,1305
1585547266,1282,1282
1585548617,1269,1269
1585550418,1257,1257
1585552519,1262,1262
1585553294,1264,1264
1585555819,1265,1265
1585557316,1255,1255
1585558550,1262,1262
1585559715,1254,1254
1585561389,1265,1265
1585563255,1270,1270
1585564094,1271,1271
1585564992,1270,1270
1585566045,1282,1282
1585567219,1288,1288
1585568417,1289,1289
1585570218,1296,1296
1585571422,1295,1295
1585572527,1296,1296
1585574050,1297,1297
1585575619,1334,1334
1585577417,1333,1333
1585578500,1335,1335
1585579812,1319,1319
1585581254,1317,1317
1585582976,1283,1283
1585584622,1291,1291
1585585822,1294,1294
1585587375,1292,1292
1585588518,1295,1295
1585589616,1293,1293
1585591818,1302,1302
1585592895,1312,1312
1585594213,1299,1299
1585595655,1303,1303
1585596497,1306,1306
1585597354,1300,1300
1585598179,1305,1305
1585599318,1311,1311
1585600819,1327,1327
1585601940,1358,1358
1585602860,1363,1363
1585603971,1386,1386
1585605375,1429,1429
1585606519,1431,1431
1585608015,1432,1432
1585609310,1422,1422
1585610053,1431,1431
1585611917,1444,1444
1585613657,1468,1468
1585614498,1467,1467
1585615897,1467,1467
1585617253,1462,1462
1585618097,1464,1464
1585619939,1488,1488
1585621694,1497,1497
1585623016,1502,1502
1585624217,1507,1507
1585625299,1513,1513
1585628054,1551,1551
1585628895,1553,1553
1585629736,1538,1538
1585630578,1541,1541
1585631659,1544,1544
1585632496,1544,1544
1585633338,1537,1537
1585635254,1532,1532
1585636939,1530,1530
1585637776,1538,1538
1585638920,1548,1548
1585640421,1551,1551
1585641649,1548,1548
1585642821,1563,1563
1585644018,1560,1560
1585646057,1556,1556
1585646899,1563,1563
1585648579,1559,1559
1585649653,1559,1559
1585650495,1556,1556
1585651815,1556,1556
1585653017,1558,1558
1585654228,1557,1557
1585655775,1565,1565
1585656916,1565,1565
1585658534,1560,1560
1585659377,1562,1562
1585660518,1564,1564
1585661294,1562,1562
1585662138,1557,1557
1585663291,1554,1554
1585664419,1561,1561
1585665975,1557,1557
1585667270,1563,1563
1585668434,1569,1569
1585671253,1556,1556
1585672516,1552,1552
1585673715,1552,1552
1585674913,1481,1481
1585676539,1391,1391
1585678216,1385,1385
1585680137,1387,1387
1585681823,1396,1396
1585683027,1397,1397
1585684576,1395,1395
1585685659,1394,1394
1585686794,1387,1387
1585688179,1391,1391
1585689317,1395,1395
1585690937,1400,1400
1585692855,1407,1407
1585694037,1400,1400
1585695474,1398,1398
1585697295,1402,1402
1585698541,1403,1403
1585699760,1403,1403
1585701029,1393,1393
1585702721,1422,1422
1585704495,1425,1425
1585706278,1428,1428
1585707619,1436,1436
1585708817,1447,1447
1585709946,1444,1444
1585711220,1452,1452
1585712419,1455,1455
1585714459,1451,1451
1585716135,1436,1436
1585717820,1460,1460
1585719027,1471,1471
1585720215,1476,1476
1585721420,1477,1477
1585722494,1484,1484
1585724196,1473,1473
1585725260,1472,1472
1585726818,1474,1474
1585728049,1489,1489
1585728854,1496,1496
1585729697,1500,1500
1585730984,1485,1485
1585732453,1473,1473
1585733294,1474,1474
1585734140,1475,1475
1585736058,1456,1456
1585737582,1444,1444
1585739659,1440,1440
1585741203,1443,1443
1585742173,1438,1438
1585743319,1440,1440
1585744603,1419,1419
1585745776,1405,1405
1585746919,1405,1405
1585748541,1400,1400
1585750217,1410,1410
1585752134,1413,1413
1585754053,1426,1426
1585755738,1413,1413
1585756577,1414,1414
1585757724,1424,1424
1585758494,1428,1428
1585760113,1401,1401
1585761259,1397,1397
1585762935,1390,1390
1585763774,1397,1397
1585764916,1399,1399
1585766421,1387,1387
1585767962,1394,1394
1585769431,1389,1389
1585770139,1384,1384
1585771522,1348,1348
1585772714,1352,1352
1585773735,1306,1306
1585775127,1274,1274
1585776493,1271,1271
1585777963,1281,1281
1585779255,1288,1288
1585780938,1266,1266
1585781775,1260,1260
1585782857,1251,1251
1585783694,1243,1243
1585785320,1235,1235
1585786455,1243,1243
1585787296,1236,1236
1585788621,1231,1231
1585790057,1213,1213
1585790894,1203,1203
1585792575,1211,1211
1585793655,1206,1206
1585795335,1180,1180
1585796176,1181,1181
1585797319,1162,1162
1585798937,1156,1156
1585800856,1159,1159
1585802418,1158,1158
1585804067,1159,1159
1585804459,1169,1169
1585805714,1173,1173
1585807819,1176,1176
1585809056,1168,1168
1585810576,1174,1174
1585811653,1177,1177
1585812500,1173,1173
1585814116,1164,1164
1585815258,1168,1168
1585816095,1173,1173
1585817778,1164,1164
1585818920,1170,1170
1585820090,1157,1157
1585821798,1158,1158
1585823297,1149,1149
1585826054,1144,1144
1585826898,1150,1150
1585829418,1134,1134
1585830617,1123,1123
1585833318,1136,1136
1585834803,1129,1129
1585835963,1132,1132
1585836855,1137,1137
1585838536,1134,1134
1585839375,1130,1130
1585840516,1130,1130
1585842133,1102,1102
1585844054,1098,1098
1585845314,1069,1069
1585846515,1072,1072
1585847718,1112,1112
1585849211,1077,1077
1585850458,1081,1081
1585851255,1081,1081
1585852938,1049,1049
1585854859,1063,1063
1585856051,1056,1056
1585857186,1058,1058
1585858518,1063,1063
1585859642,1055,1055
1585861818,1040,1040
1585863022,1032,1032
1585864170,1043,1043
1585865655,1044,1044
1585866500,1050,1050
1585868751,1021,1021
1585870094,1025,1025
1585871779,1014,1014
1585872916,1005,1005
1585873694,996,996
1585874539,1006,1006
1585876456,1014,1014
1585878139,985,985
1585878975,987,987
1585880121,994,994
1585881321,970,970
1585882847,957,957
1585883658,962,962
1585884916,958,958
1585886174,947,947
1585887311,955,955
1585888940,931,931
1585889778,931,931
1585890857,918,918
1585892077,920,920
1585893318,909,909
1585894520,924,924
1585896137,928,928
1585897822,921,921
1585899024,906,906
1585900229,918,918
1585901660,923,923
1585902496,924,924
1585905255,927,927
1585906935,927,927
1585909830,920,920
1585910539,925,925
1585912453,933,933
1585914018,931,931
1585915247,912,912
1585916416,923,923
1585917618,926,926
1585919716,929,929
1585920914,915,915
1585922209,911,911
1585923318,905,905
1585924935,901,901
1585926857,902,902
1585928416,892,892
1585930226,892,892
1585931424,895,895
1585932691,892,892
1585933816,900,900
1585934055,900,900
1585934895,887,887
1585936144,909,909
1585937654,911,911
1585938498,922,922
1585939798,920,920
1585941023,918,918
1585942093,905,905
1585943780,919,919
1585944910,912,912
1585945694,898,898
1585946539,904,904
1585948216,893,893
1585949298,882,882
1585950614,878,878
1585952054,875,875
1585952899,872,872
1585954513,866,866
1585955717,870,870
1585956916,850,850
1585958450,857,857
1585959619,860,860
1585960934,852,852
1585961775,853,853
1585962918,853,853
1585964538,854,854
1585966220,851,851
1585967423,843,843
1585970058,856,856
1585970893,864,864
1585972574,855,855
1585973719,864,864
1585975218,849,849
1585976447,832,832
1585977619,843,843
1585978937,843,843
1585980617,844,844
1585981816,817,817
1585983375,828,828
1585984453,835,835
1585986140,830,830
1585986973,836,836
1585988118,837,837
1585989734,827,827
1585991381,828,828
1585993337,827,827
1585995023,835,835
1585996225,826,826
1585998856,834,834
1585999693,819,819
1586000534,827,827
1586001374,828,828
1586002518,834,834
1586003294,823,823
1586004976,829,829
1586006119,832,832
1586006897,825,825
1586008516,818,818
1586009720,824,824
1586010496,808,808
1586012177,827,827
1586013316,853,853
1586014496,846,846
1586016445,853,853
1586016856,854,854
1586017694,850,850
1586019373,857,857
1586020519,858,858
1586022320,872,872
1586023817,871,871
1586025735,863,863
1586026861,860,860
1586027975,864,864
1586029220,861,861
1586030492,860,860
1586031617,862,862
1586032817,856,856
1586034041,854,854
1586035133,861,861
1586036534,855,855
1586038458,868,868
1586040134,859,859
1586042054,847,847
1586042895,865,865
1586044577,861,861
1586045716,866,866
1586046919,862,862
1586048055,861,861
1586049256,873,873
1586050516,831,831
1586052858,857,857
1586053693,864,864
1586054915,851,851
1586056217,851,851
1586058138,845,845
1586058973,835,835
1586060120,846,846
1586061620,842,842
1586063417,868,868
1586063655,869,869
1586065333,871,871
1586067255,867,867
1586068352,859,859
1586069718,859,859
1586070853,875,875
1586072540,882,882
1586074219,882,882
1586075295,879,879
1586078054,877,877
1586079195,871,871
1586080521,870,870
1586081718,865,865
1586082499,863,863
1586083339,871,871
1586084173,869,869
1586085317,872,872
1586086820,878,878
1586087778,883,883
1586088856,884,884
1586089697,876,876
1586091314,868,868
1586092455,887,887
1586093295,883,883
1586094134,884,884
1586094977,885,885
1586096056,884,884
1586097737,880,880
1586098847,884,884
1586100020,883,883
1586101333,875,875
1586102981,876,876
1586104314,857,857
1586105545,859,859
1586106855,861,861
1586108014,840,840
1586109314,847,847
1586110519,846,846
1586112137,839,839
1586114057,850,850
1586114895,843,843
1586117399,862,862
1586118497,855,855
1586121017,866,866
1586122093,855,855
1586122940,869,869
1586124859,869,869
1586126418,867,867
1586128517,860,860
1586129715,848,848
1586131453,854,854
1586133619,853,853
1586135653,859,859
1586137340,851,851
1586139019,854,854
1586140094,844,844
1586141774,842,842
1586142892,852,852
1586143700,859,859
1586144538,845,845
1586145374,835,835
1586146457,845,845
1586148138,837,837
1586149789,850,850
1586151619,847,847
