DateTime,AddedIPs,RemovedIPs
1585498512,15,23
1585499294,5,11
1585500911,22,66
1585502115,29,32
1585502891,12,13
1585504024,23,86
1585505651,35,76
1585509020,44,115
1585510083,0,3788
1585512150,3767,0
1585513694,40,1
1585514534,25,52
1585516212,30,24
1585518131,32,50
1585519821,21,37
1585520891,15,0
1585521732,14,66
1585522576,18,9
1585523712,16,29
1585524491,19,0
1585527015,34,66
1585528091,20,0
1585529513,41,36
1585530619,20,27
1585531815,19,38
1585532920,16,8
1585533371,9,0
1585534454,18,25
1585536016,26,51
1585537815,36,30
1585538051,4,0
1585539604,0,3691
1585541716,3672,0
1585543351,26,64
1585544174,32,1
1585545313,26,37
1585546094,8,0
1585547264,20,61
1585548613,13,39
1585550412,22,49
1585552515,34,20
1585553291,6,1
1585555814,44,62
1585557313,17,46
1585558545,24,15
1585559712,14,27
1585561374,44,49
1585563252,31,31
1585564091,12,1
1585564977,20,45
1585566035,30,18
1585567215,28,0
1585568412,43,38
1585570213,37,53
1585571415,15,40
1585572524,15,23
1585574046,0,3513
1585575614,3533,0
1585577413,28,36
1585578495,7,2
1585579808,16,67
1585581251,16,32
1585582954,16,63
1585584619,21,18
1585585815,30,12
1585587372,19,22
1585588512,21,29
1585589613,18,26
1585591815,166,26
1585592892,20,0
1585594211,24,67
1585595652,24,28
1585596493,12,0
1585597341,14,36
1585598175,15,8
1585599313,25,19
1585600815,35,32
1585601937,41,33
1585602856,16,4
1585603968,43,23
1585605371,55,11
1585606515,13,14
1585608012,27,20
1585609286,26,54
1585610050,13,0
1585611914,64,42
1585613652,35,31
1585614494,21,3
1585615894,17,49
1585617251,18,35
1585618093,13,8
1585619936,61,42
1585621691,26,1
1585623013,20,32
1585624214,18,24
1585625296,17,0
1585628051,83,87
1585628892,15,9
1585629732,17,40
1585630574,15,0
1585631655,15,25
1585632492,11,0
1585633333,11,35
1585635251,18,36
1585636933,24,47
1585637773,21,4
1585638915,26,15
1585640415,32,44
1585641639,24,35
1585642817,33,0
1585644015,25,40
1585646052,30,24
1585646893,24,1
1585648573,32,47
1585649650,20,16
1585650492,13,13
1585651812,21,29
1585653013,17,31
1585654219,25,33
1585655772,27,9
1585656912,13,13
1585658531,25,44
1585659374,14,5
1585660515,23,21
1585661291,7,12
1585662134,20,42
1585663288,18,24
1585664416,17,2
1585665972,17,39
1585667267,21,16
1585668428,17,0
1585671250,48,66
1585672512,30,40
1585673712,25,24
1585674910,0,3561
1585676534,3407,0
1585678212,24,27
1585680134,27,51
1585681820,24,24
1585683021,30,58
1585684573,22,20
1585685654,19,16
1585686787,13,41
1585688176,13,8
1585689312,19,17
1585690934,27,35
1585692852,37,25
1585694035,23,39
1585695472,26,9
1585697292,36,15
1585698537,38,45
1585699756,26,30
1585701020,17,42
1585702719,56,26
1585704492,32,10
1585706276,0,3378
1585707614,3360,0
1585708813,39,46
1585709943,22,30
1585711215,20,4
1585712415,19,32
1585714454,36,47
1585716132,27,52
1585717815,43,13
1585719018,28,22
1585720212,23,8
1585721417,18,21
1585722492,23,1
1585724177,35,47
1585725253,24,15
1585726814,31,23
1585728041,55,34
1585728850,27,0
1585729692,17,0
1585730981,31,48
1585732450,25,28
1585733290,11,1
1585734135,15,27
1585736053,20,36
1585737579,18,40
1585739655,30,49
1585741198,23,23
1585742170,26,15
1585743313,25,16
1585744599,35,55
1585745773,21,24
1585746914,27,17
1585748538,19,32
1585750212,23,13
1585752130,29,25
1585754050,22,10
1585755734,15,46
1585756573,12,6
1585757721,20,20
1585758491,8,0
1585760110,18,87
1585761256,27,44
1585762932,30,103
1585763772,22,0
1585764911,13,29
1585766417,12,33
1585767958,30,37
1585769427,20,22
1585770136,6,19
1585771519,13,56
1585772711,15,0
1585773732,21,81
1585775124,6,39
1585776490,10,10
1585777961,27,34
1585779252,37,23
1585780934,23,59
1585781772,7,12
1585782853,28,29
1585783691,11,15
1585785314,29,48
1585786452,27,13
1585787293,14,12
1585788618,31,42
1585790052,22,40
1585790890,17,17
1585792572,46,28
1585793652,12,24
1585795332,14,51
1585796172,4,9
1585797313,15,38
1585798934,21,43
1585800853,28,22
1585802414,13,32
1585804064,0,2894
1585804454,2900,0
1585805711,25,17
1585807814,36,31
1585809052,17,32
1585810571,31,13
1585811650,23,25
1585812495,14,12
1585814112,38,58
1585815253,33,24
1585816092,24,0
1585817774,39,52
1585818916,30,19
1585820087,28,36
1585821795,22,25
1585823294,21,22
1585824971,48,43
1585826051,25,13
1585826893,15,1
1585829412,43,54
1585830613,22,35
1585833312,53,29
1585834800,32,35
1585835960,21,24
1585836852,26,1
1585838533,32,27
1585839372,22,10
1585840513,27,21
1585842130,31,61
1585844050,37,33
1585845311,24,41
1585846512,9,9
1585847713,140,17
1585849208,94,28
1585850451,15,18
1585851252,9,0
1585852935,14,56
1585854855,26,12
1585856044,12,33
1585857181,19,10
1585858513,21,10
1585859639,17,31
1585861813,27,38
1585863015,17,31
1585864163,20,9
1585865652,21,28
1585866496,13,0
1585868747,22,91
1585870091,30,1
1585871773,58,52
1585872912,36,42
1585873691,21,20
1585874534,28,32
1585876453,30,18
1585878136,17,51
1585878972,19,11
1585880115,18,25
1585881316,16,37
1585882841,21,31
1585883655,11,0
1585884913,20,28
1585886171,18,30
1585887303,35,19
1585888937,0,3001
1585889775,2998,0
1585890854,18,28
1585892074,32,38
1585893315,26,25
1585894515,41,29
1585896133,40,42
1585897820,50,43
1585899016,33,60
1585900223,26,10
1585901655,21,31
1585902493,14,0
1585905251,42,63
1585906932,31,27
1585908618,0,2976
1585910535,2967,0
1585912450,33,31
1585914013,33,48
1585915237,10,46
1585916412,11,1
1585917614,18,29
1585919713,44,21
1585920911,24,36
1585922206,25,14
1585923312,47,13
1585924932,25,28
1585926854,57,19
1585928412,13,25
1585930221,40,26
1585931421,16,38
1585932688,11,13
1585933812,25,27
1585934052,5,1
1585934892,30,26
1585936140,49,19
1585937650,20,14
1585938494,38,0
1585939795,23,30
1585941020,13,18
1585942090,14,23
1585943777,54,35
1585944904,0,3064
1585945692,3056,0
1585946535,27,12
1585948212,25,29
1585949294,40,16
1585950611,30,33
1585952051,21,26
1585952895,10,2
1585954511,27,37
