DateTime,AddedIPs,RemovedIPs
1584587423,2,0
1584589341,0,1
1584598460,1,1
1584602900,1,0
1584605658,0,1
1584608119,1,0
1584611778,1,0
1584612920,1,0
1584613703,1,0
1584614538,0,2
1584616227,3,2
1584618138,2,0
1584622523,1,0
1584627941,1,0
1584629421,2,0
1584636139,1,0
1584638056,1,0
1584639643,1,0
1584643337,0,1
1584645257,1,2
1584648137,1,0
1584652521,1,0
1584656123,0,1
1584657320,1,0
1584659431,1,0
1584665489,0,1
1584672143,1,1
1584674061,2,0
1584675922,1,0
1584677421,1,0
1584679337,0,1
1584682699,0,1
1584687711,1,0
1584693743,0,1
1584695657,0,1
1584697521,5,1
1584699259,2,1
1584700940,1,0
1584705433,1,0
1584709313,2,1
1584710900,1,0
1584720861,4,0
1584722539,0,1
1584724521,1,0
1584726021,5,0
1584727820,2,0
1584729741,1,0
1584731422,1,1
1584735029,0,1
1584738620,0,4
1584742458,0,1
1584747317,1,0
1584748579,1,0
1584749723,1,0
1584751339,0,2
1584753257,0,1
1584754820,0,1
1584756925,1,1
1584758539,1,0
1584764063,0,1
1584766412,1,0
1584767722,1,0
1584771256,1,1
1584772937,0,1
1584774623,0,1
1584776538,0,1
1584778461,0,1
1584780141,0,1
1584782897,1,0
1584786913,1,0
1584788448,1,0
1584790101,1,0
1584790936,0,2
1584794538,1,0
1584796220,0,1
1584799827,0,2
1584801022,0,1
1584802223,0,1
1584803420,0,1
1584806566,2,1
1584810628,1,0
1584825021,0,1
1584828861,0,2
1584830120,0,1
1584831775,1,2
1584836122,1,2
1584838221,0,2
1584844467,0,1
1584846925,1,0
1584848444,1,2
1584852142,0,1
1584859819,0,1
1584860954,0,2
1584862189,0,2
1584864920,1,0
1584866121,1,1
1584867378,0,1
1584868819,0,1
1584870042,0,2
1584871819,1,1
1584873921,0,2
1584875658,1,2
1584877341,0,5
1584879256,1,2
1584882124,0,1
1584887666,0,1
1584889482,5,0
1584891317,1,1
1584892499,1,0
1584894920,2,0
1584896182,2,0
1584897322,1,0
1584898824,1,0
1584899781,2,0
1584904460,0,1
1584907722,2,1
1584909023,0,1
1584911419,0,1
1584916101,1,0
1584918405,1,1
1584924017,0,1
1584926121,0,1
1584928580,0,1
1584929722,0,2
1584932177,1,0
1584933258,1,0
1584936861,0,1
1584938449,0,2
1584940226,0,1
1584947421,1,1
1584952942,0,1
1584957321,0,1
1584959298,2,0
1584960618,1,1
1584963032,0,1
1584965660,1,0
1584966917,0,1
1584969258,1,0
1584971419,1,0
1584981269,0,1
1584982522,0,1
1584984916,1,0
1584988180,0,1
1584997316,1,0
1585006096,1,0
1585007351,0,1
1585017738,2,2
1585019059,1,0
1585024942,0,2
1585030456,0,1
1585032918,0,1
1585034120,1,0
1585037723,2,3
1585038919,0,1
1585041258,1,0
1585042425,0,1
1585043946,1,0
1585045225,2,0
1585046543,2,2
1585048460,2,2
1585049720,0,1
1585052063,3,0
1585062924,0,1
1585065021,0,1
1585066459,1,0
1585068139,1,0
1585070058,1,0
1585074835,1,0
1585076117,1,0
1585078942,1,0
1585084463,0,1
1585090577,0,1
1585091660,0,2
1585093083,1,0
1585094387,0,13
1585095624,0,3
1585096942,0,43
1585098621,0,1
1585104139,2,1
1585106058,1,1
1585106898,1,0
1585107741,0,1
1585109657,0,1
1585119322,0,1
1585130179,1,0
1585134856,1,0
1585138218,0,2
1585139322,1,0
1585143737,0,1
1585154115,4,0
1585159261,1,1
1585160896,2,0
1585162223,1,0
1585165338,2,0
1585166919,1,0
1585168097,1,0
1585168941,1,0
1585170861,1,0
1585173645,1,2
1585175458,1,0
1585181203,2,1
1585188235,0,1
1585194020,1,0
1585204364,1,0
1585208131,0,1
1585210484,0,1
1585221260,1,0
1585223777,1,0
1585228139,0,1
1585229437,0,1
1585233741,0,2
1585235658,0,1
1585238268,1,0
1585240842,49,0
1585242629,9,0
1585244460,1,0
1585250060,1,0
1585253659,1,0
1585254919,1,1
1585264457,1,0
1585270857,2,1
1585273243,0,1
1585277719,0,1
1585278924,1,0
1585284020,0,1
1585285832,0,1
1585287740,0,1
1585292120,0,1
1585293259,1,0
1585296534,1,1
1585299318,1,0
1585301571,0,2
1585302762,0,1
1585304057,1,0
1585307657,0,1
1585309340,0,2
1585311257,0,1
1585312943,0,2
1585316123,1,1
1585318226,2,0
1585320617,1,1
1585325721,1,0
1585329258,0,1
1585330823,1,1
1585343250,1,0
1585344621,0,1
1585346964,0,1
1585348231,0,1
1585349720,1,1
1585353181,2,0
1585355718,1,0
1585356920,1,0
1585358119,1,1
1585359737,0,2
1585365324,3,0
1585372226,1,0
1585373300,1,0
1585374617,0,1
1585375823,1,0
1585377319,1,0
1585387698,1,0
1585390009,1,3
1585394119,0,2
1585395737,1,0
1585397660,1,0
1585399519,0,4
1585400920,0,1
1585402941,1,1
1585405696,1,0
1585408462,1,0
1585414647,0,1
1585418536,1,1
1585420940,0,51
1585422599,1,0
1585423809,2,2
1585425577,1,0
1585433663,2,0
1585434918,0,1
1585440447,0,1
1585448898,1,0
1585466057,0,2
1585467319,1,0
1585472133,1,0
1585475720,0,2
1585483179,0,1
1585486901,0,1
1585488026,7,0
1585488502,2,0
1585490118,2,0
1585491321,1,0
1585492518,14,0
1585493781,9,0
1585494857,5,0
1585495702,1,0
1585498522,1,0
1585500917,1,0
1585505657,1,0
1585509028,1,0
1585520897,1,0
1585521739,0,6
1585534462,1,1
1585537823,1,1
1585539615,3,1
1585541723,0,1
1585543383,0,1
1585553297,1,0
1585555822,0,1
1585559720,0,1
1585561424,0,1
1585568420,1,0
1585570221,0,1
1585574053,1,0
1585575644,1,1
1585579815,1,0
1585584626,1,0
1585591821,2,0
1585600842,1,1
1585601943,0,1
1585605378,1,0
1585606522,2,0
1585609323,1,0
1585619942,0,1
1585623020,0,1
1585625303,1,0
1585629739,1,0
1585633341,1,0
1585642205,0,1
1585643314,1,0
1585651818,0,1
1585653020,1,2
1585654235,0,1
1585655778,0,1
1585656919,1,0
1585658537,0,1
1585660522,0,2
1585662143,0,3
1585665978,0,1
1585671256,0,1
1585672519,0,3
1585673718,1,0
1585674918,0,15
1585676542,0,26
1585680140,1,2
1585683034,2,1
1585694040,1,1
1585697298,1,0
1585698550,0,1
1585702725,2,1
1585706281,0,1
1585707624,0,1
1585709949,0,1
1585711223,1,0
1585714462,0,1
1585716138,0,1
1585719033,1,4
1585721424,0,1
1585724200,1,1
1585734143,1,2
1585739663,1,3
1585741211,0,1
1585752137,0,1
1585760116,0,3
1585761263,54,0
1585762939,2,2
1585763777,1,0
1585764921,3,1
1585766443,2,0
1585767971,2,0
1585772718,2,0
1585773739,1,0
1585775133,2,0
1585776496,1,0
1585780941,1,0
1585783697,1,0
1585787299,1,0
1585788625,1,1
1585795338,1,2
1585797322,3,0
1585798940,0,1
1585800860,1,1
1585802421,1,0
1585807822,0,1
1585815260,0,2
1585817781,0,1
1585820093,0,3
1585821801,0,1
1585824979,1,2
1585826058,2,0
1585826902,1,0
1585829422,0,1
1585833322,2,0
1585834810,1,1
1585836858,1,0
1585838540,0,3
1585842137,1,1
1585844058,2,0
1585845317,0,1
1585847721,5,0
1585849215,1,1
1585852942,0,2
1585859645,1,0
1585865658,1,0
1585868754,1,0
1585871782,0,1
1585874542,0,1
1585878143,1,2
1585880125,0,1
1585881324,0,2
1585886177,5,0
1585888943,0,1
1585892081,0,1
1585899031,0,1
1585900233,1,0
1585905258,1,1
1585906937,0,1
1585909838,1,1
1585910542,1,0
1585918580,2,0
1585920917,0,1
1585930229,1,0
1585939801,5,0
1585941028,3,0
1585942097,2,0
1585943784,0,1
1585944914,1,0
1585945698,2,0
1585946543,1,1
1585948220,1,0
1585949302,1,0
1585950618,1,1
1585952058,1,0
1585952902,2,0
1585954517,1,2
1585956920,1,1
1585958457,1,0
1585959623,1,0
1585960938,1,1
1585961779,1,0
1585962921,0,3
1585964541,2,2
1585966224,1,0
1585970061,0,1
1585970897,1,0
1585972578,1,1
1585973723,1,1
1585980620,1,1
1585981823,0,1
1585986143,0,1
1585989738,0,1
1585993341,0,1
1585996232,1,2
1585998859,1,0
1586003298,1,0
1586012183,0,1
1586013319,1,0
1586016448,0,1
1586020523,2,0
1586022323,4,0
1586023820,3,0
1586025738,1,0
1586026874,1,0
1586029247,1,0
1586040137,0,1
1586042057,0,1
1586054918,0,4
1586056221,5,2
1586058142,1,0
1586065336,0,1
1586067258,1,1
1586068355,1,0
1586078057,0,3
1586079199,0,1
1586080524,0,1
1586082502,1,0
1586091317,1,1
1586092458,1,0
1586094137,0,1
1586098852,0,2
1586105549,2,0
1586106858,1,0
1586108017,1,1
1586110522,0,1
1586112140,1,1
1586117403,0,3
1586118500,1,0
1586121020,3,0
1586126451,1,0
1586128521,2,0
1586133642,1,0
1586137344,1,2
1586141777,1,0
1586142896,0,1
1586144541,0,1
1586149792,0,1
1586151643,1,0
1586156181,1,0
1586158723,0,1
1586162543,0,1
1586166141,0,3
1586168059,1,0
