DateTime,AddedIPs,RemovedIPs
1585134973,14,0
1585136891,16,13
1585138811,14,28
1585140728,18,14
1585142659,13,0
1585144565,8,24
1585146736,9,18
1585148658,21,21
1585150587,23,9
1585152749,17,0
1585156810,22,18
1585158732,23,4
1585160657,18,4
1585162570,29,12
1585164488,18,17
1585166428,25,15
1585168328,14,16
1585170261,13,12
1585172181,19,16
1585174103,29,10
1585176010,18,11
1585177947,16,16
1585181777,18,26
1585184496,17,15
1585186332,21,19
1585188499,16,11
1585190412,22,18
1585192346,12,10
1585196169,17,9
1585198099,11,13
1585200013,25,17
1585201956,16,11
1585203862,10,13
1585205769,14,16
1585207689,16,16
1585209637,11,8
1585211540,18,15
1585213702,22,18
1585215612,24,9
1585217545,18,10
1585221371,7,26
1585223299,9,13
1585225222,21,5
1585227132,18,7
1585229066,13,9
1585230969,24,0
1585232888,15,5
1585234826,20,11
1585236735,16,8
1585238666,34,6
1585240571,21,3
1585242491,16,4
1585244421,19,14
1585246340,26,12
1585248265,14,18
1585252101,21,15
1585254008,18,16
1585255928,25,7
1585259768,26,9
1585261691,19,14
1585263627,28,14
1585267453,20,17
1585269382,23,12
1585273213,16,32
1585275147,23,7
1585277050,20,10
1585278968,23,10
1585282815,26,23
1585284730,14,14
1585286660,14,15
1585288570,19,13
1585290488,11,13
1585292428,18,12
1585294338,24,24
1585296509,28,15
1585298421,27,15
1585300335,13,20
1585302251,16,8
1585304177,10,9
1585306090,5,11
1585308018,18,5
1585309929,28,20
1585313777,23,10
1585315689,17,13
1585317608,16,16
1585319544,25,14
1585321722,25,12
1585323610,8,7
1585325534,23,2
1585327464,15,0
1585329367,22,11
1585331293,14,14
1585333219,30,19
1585335127,16,9
1585337049,14,8
1585338976,8,0
1585340886,12,7
1585342813,16,6
1585344745,19,16
1585346908,26,25
1585348811,24,11
1585352651,27,22
1585354568,12,0
1585356501,17,13
1585358408,32,16
1585360327,27,0
1585362260,10,11
1585364168,11,16
1585366092,11,10
1585368023,21,15
