DateTime,AddedIPs,RemovedIPs
1585134973,45,42
1585136891,70,44
1585138811,45,68
1585140728,55,39
1585142659,46,63
1585144565,67,47
1585146736,58,62
1585148658,57,57
1585150587,71,61
1585152749,62,72
1585156810,65,61
1585158732,58,66
1585160657,60,57
1585162570,73,62
1585164488,57,72
1585166428,60,55
1585168328,52,59
1585170261,57,52
1585172181,63,60
1585174103,69,63
1585176010,53,68
1585177947,57,52
1585181777,61,55
1585184496,72,61
1585186332,69,73
1585188499,52,71
1585190412,70,54
1585192346,70,67
1585196169,64,70
1585198099,59,65
1585200013,52,60
1585201956,63,52
1585203862,45,60
1585205769,60,48
1585207689,39,57
1585209637,47,42
1585211540,55,45
1585213702,64,57
1585215612,51,64
1585217545,54,52
1585221371,38,54
1585223299,41,36
1585225222,64,45
1585227132,59,64
1585229066,35,54
1585230969,57,38
1585232888,62,58
1585234826,60,62
1585236735,48,59
1585238666,66,48
1585240571,63,67
1585242491,66,61
1585244421,44,67
1585246340,59,42
1585248265,58,60
1585252101,68,57
1585254008,68,69
1585255928,59,68
1585259768,51,57
1585261691,60,51
1585263627,67,61
1585267453,70,69
1585269382,70,70
1585273213,57,66
1585275147,63,55
1585277050,57,67
1585278968,68,58
1585282815,60,66
1585284730,58,61
1585286660,51,62
1585288570,56,47
1585290488,51,58
1585292428,58,51
1585294338,61,56
1585296509,63,60
1585298421,59,66
1585300335,45,59
1585302251,40,46
1585304177,48,40
1585306090,34,48
1585308018,52,33
1585309929,55,51
1585313777,65,57
1585315689,59,66
1585317608,52,56
1585319544,74,53
1585321722,60,73
1585323610,55,58
1585325534,64,57
1585327464,59,67
1585329367,67,56
1585331293,70,67
1585333219,66,70
1585335127,65,65
1585337049,61,66
1585338976,59,60
1585340886,56,55
1585342813,63,59
1585344745,64,62
1585346908,55,65
1585348811,56,58
1585352651,67,56
1585354568,59,65
1585356501,67,60
1585358408,73,67
1585360327,62,66
1585362260,62,65
1585364168,56,64
1585366092,64,55
1585368023,60,65
1585369934,54,61
1585371858,63,49
1585373781,43,67
1585375705,53,40
1585377613,38,53
1585379550,49,41
1585381448,29,49
1585383370,52,32
1585385297,47,54
1585389128,34,45
1585391061,50,35
1585392968,62,49
1585394886,50,60
1585396826,50,50
1585398737,59,51
1585400665,46,57
1585402572,53,46
1585404514,59,55
1585406411,56,59
1585408334,62,58
1585410261,59,57
1585412171,62,61
1585414088,64,63
1585416008,65,64
1585417928,60,64
1585419859,57,61
1585421772,68,59
1585423935,61,65
1585425858,52,59
1585427781,54,52
1585429692,54,54
1585431609,59,53
1585433541,62,63
1585435449,58,59
1585437369,67,60
1585439298,55,62
1585441208,66,59
1585443127,63,67
1585445059,66,66
1585446968,68,65
1585448930,61,68
1585450823,71,57
1585452741,64,73
1585454730,60,63
1585456583,62,59
1585458503,55,60
1585462340,38,61
1585464253,44,39
1585466188,14,41
1585470007,51,15
1585471938,61,52
1585473849,44,62
1585475778,54,43
1585477687,46,55
1585479614,61,44
1585481545,51,58
1585483708,56,52
1585485610,45,52
1585487533,55,53
1585489460,48,51
1585491368,56,47
1585493291,57,56
1585495218,68,59
1585497129,77,67
1585499051,67,80
1585500976,78,68
1585504816,70,76
1585506742,79,73
1585508653,74,77
1585510570,75,73
1585512512,70,77
1585514412,63,65
1585516333,68,68
1585518367,37,63
1585520174,69,38
1585522090,44,71
1585524018,56,45
1585525929,64,54
1585527850,67,64
1585529778,65,66
1585531691,54,64
1585535537,64,55
1585537450,60,61
1585539379,59,60
1585541299,57,60
1585543211,58,56
1585545154,37,64
1585547084,40,34
1585548970,39,40
1585550896,46,40
1585552814,43,48
1585554739,39,42
1585556650,23,38
1585558569,26,24
1585560501,24,26
1585562417,24,26
1585564337,67,23
1585566506,44,65
1585568412,57,47
1585570333,62,54
1585572262,54,61
1585574170,64,54
1585576091,55,65
1585578017,29,58
1585579930,64,27
1585581853,54,63
1585583778,64,53
1585585689,46,66
1585587624,69,47
1585589537,67,69
1585591702,63,66
1585593626,54,62
1585595541,72,57
1585597460,42,71
1585601534,64,42
1585603452,62,63
1585605382,77,64
1585607287,63,77
1585611254,69,61
1585613314,64,68
1585615211,55,62
1585617151,68,57
1585619050,58,66
1585620975,62,57
1585622896,60,63
1585624815,67,61
1585626729,57,65
1585628673,61,58
1585632495,63,63
1585634432,67,63
1585637290,46,70
1585639207,54,43
1585641126,67,54
1585643057,30,69
1585644970,64,30
1585646895,33,63
1585648821,57,34
1585650734,64,55
1585652659,66,60
1585654570,60,70
1585656508,53,56
1585658408,59,56
1585660328,58,59
1585662260,54,61
1585664187,61,53
1585666232,59,58
1585668252,67,60
1585670177,52,67
1585672087,52,56
1585674019,68,53
1585675973,62,61
