DateTime,AddedIPs,RemovedIPs
1584220025,3,1
1584223622,0,4
1584227224,2,2
1584230825,0,3
1584234425,2,0
1584238026,0,1
1584241621,0,2
1584245222,2,2
1584248815,0,4
1584256014,2,3
1584259613,1,1
1584263210,2,4
1584266814,1,1
1584270408,0,3
1584274010,2,1
1584277608,1,2
1584281192,1,27
1584284802,28,4
1584288397,1,1
1584292000,3,1
1584295599,1,4
1584299201,1,3
1584302799,1,6
1584306396,0,1
1584309998,0,1
1584313597,1,2
1584317198,0,2
1584320798,1,0
1584324395,1,2
1584327995,1,1
1584335196,1,0
1584338798,2,1
1584342444,2,0
1584345997,0,1
1584349599,1,0
1584353202,1,0
1584356800,0,2
1584367599,0,2
1584371200,27,26
1584378399,1,0
1584382000,1,2
1584385600,2,1
1584389197,0,1
1584392799,1,0
1584396404,2,0
1584399996,2,1
1584403600,1,2
1584407200,2,0
1584414398,2,2
1584417997,0,4
1584421593,1,1
1584425189,0,5
1584428789,2,1
1584432392,2,0
1584435992,1,1
1584439593,0,1
1584443190,2,1
1584446790,1,1
1584450395,5,3
1584454014,13,1
1584457652,44,0
1584464839,1,32
1584468442,2,0
1584472045,1,1
1584475640,0,2
1584479243,1,1
1584482843,2,2
1584486438,1,3
1584490038,1,3
1584493641,1,0
1584497233,0,4
1584500836,2,1
1584504432,1,5
1584508030,3,4
1584511631,0,1
1584515232,2,1
1584518835,3,0
1584522437,21,1
1584526043,10,2
1584529639,2,1
1584533247,11,2
1584536849,20,0
1584540450,8,1
1584544053,6,2
1584547650,1,3
1584551247,3,6
1584554856,23,1
1584558464,3,0
1584562056,1,3
1584565654,0,4
1584569254,4,4
1584572856,1,1
1584580056,2,2
1584583651,0,3
1584587250,2,3
1584590855,5,1
1584594455,3,0
1584598046,6,30
1584601649,2,0
1584605250,2,1
1584608852,2,1
1584612450,1,0
1584616050,2,2
1584619672,15,0
1584623282,8,3
1584626879,2,4
1584630485,2,1
1584634087,3,3
1584637686,3,2
1584641288,1,1
1584644894,25,0
1584648491,2,2
1584652094,5,3
1584655704,0,1
1584659282,1,8
1584662882,1,3
1584666481,1,1
1584670080,1,0
1584673678,1,4
1584677280,11,4
1584680885,22,2
1584684488,3,3
1584688078,0,23
1584691677,1,1
1584695279,2,0
1584702477,1,0
1584706080,2,1
1584709678,0,1
1584713278,0,1
1584716877,1,5
1584720478,2,4
1584724074,1,6
1584727682,3,1
1584731282,3,2
1584734885,4,1
1584738488,3,2
1584742089,2,0
1584745688,1,1
1584749294,8,1
1584752905,16,2
1584756505,4,1
1584760108,1,1
1584763710,7,4
1584767308,6,2
1584770902,2,4
1584774498,1,26
1584778100,3,0
1584781700,1,0
1584785298,1,1
1584788899,1,1
1584792502,2,2
1584796103,3,2
1584799704,3,0
1584803304,2,0
1584806906,2,2
1584810508,4,4
1584814114,3,0
1584817715,2,1
1584821315,0,1
1584824919,2,1
1584832116,2,1
1584835723,14,0
1584839327,12,1
1584842929,2,0
1584850134,2,2
1584853731,1,0
1584857330,1,0
1584860940,6,0
1584864535,0,1
1584868140,1,1
1584875333,1,3
1584878933,1,3
1584882532,1,2
1584886133,2,2
1584889732,1,21
1584893326,1,1
1584896925,1,1
1584900532,2,0
1584904129,0,1
1584907730,1,1
1584911327,2,1
1584914931,1,0
1584918531,0,1
1584922132,1,1
1584925734,3,1
1584929338,23,1
1584943739,0,1
1584947342,3,2
1584950940,1,0
1584954543,1,1
1584958140,0,2
1584968941,4,0
1584972540,0,1
1584976134,3,22
1584979732,0,1
1584983330,1,1
1584986935,1,1
1584990531,0,2
1584997735,4,1
1585001335,3,1
1585004934,1,0
1585008541,4,0
1585012142,2,0
1585015745,2,1
1585019342,0,1
1585022944,1,0
1585026542,1,1
1585030144,1,0
1585037340,0,1
1585040941,1,1
1585044545,2,1
1585048136,1,6
1585051751,27,1
1585055352,3,3
1585058944,0,5
1585062512,5,43
1585066114,2,4
1585069712,3,1
1585073315,3,4
1585076914,1,0
1585080513,2,2
1585084115,4,2
1585087717,3,2
1585094915,2,2
1585098519,2,1
1585102121,3,0
1585105719,1,2
1585109322,2,3
1585112921,1,1
1585116520,1,1
1585120114,0,3
1585123713,0,2
1585127311,0,13
1585130910,2,10
1585134508,2,4
1585138119,25,7
1585141712,1,18
1585145307,1,8
1585148906,1,12
1585152509,2,2
1585156104,1,2
1585159697,1,25
1585163296,1,2
1585166895,0,1
1585170496,1,0
1585174098,1,1
1585177698,2,2
1585181296,1,1
1585184896,1,1
1585192100,2,0
1585195701,1,3
1585199299,1,0
1585202906,5,1
1585206506,4,0
1585210107,3,1
1585213710,3,1
1585217316,2,1
1585220913,3,5
1585224505,26,13
1585228078,1,21
1585231682,1,1
1585235277,2,2
1585238876,0,1
1585242472,0,1
1585246072,1,4
1585249664,0,22
1585253261,0,2
1585256860,1,4
1585260452,0,3
1585264053,2,3
1585267652,1,3
1585271250,3,3
1585282045,2,11
1585285637,4,28
1585289235,4,2
1585292836,0,2
1585296433,0,1
1585300035,4,1
1585307234,2,0
1585310835,0,1
1585314439,4,0
1585318039,1,0
1585321640,0,1
1585325237,1,2
1585328847,29,1
1585332442,3,3
1585336042,1,2
1585339639,2,3
1585343242,2,0
1585346838,0,1
1585350440,1,0
1585354035,1,14
1585357628,1,14
1585361223,0,5
1585364823,2,2
