DateTime,AddedIPs,RemovedIPs
1580932454,2,2
1580939640,143,3
1580946878,27,5
1580954058,1,2
1580961296,1,0
1580968481,5,1
1580975936,272,4
1580986888,212,9
1580997773,108,6
1581008644,72,7
1581019480,54,3
1581029996,60,328
1581040730,63,243
1581051380,56,128
1581058603,67,140
1581065698,38,51
1581076951,43,3
1581089012,240,25
1581098434,94,10
1581109304,61,15
1581120239,72,2
1581131047,83,7
1581141890,106,52
1581152714,114,79
1581163515,80,78
1581174403,122,119
1581185074,66,109
1581195627,63,369
1581206412,58,51
1581217343,144,48
1581228274,87,40
1581238982,79,56
1581249799,74,47
1581260738,143,37
1581271771,213,37
1581282635,80,156
1581293285,47,107
1581304074,55,77
1581315152,186,15
1581325968,114,15
1581336902,64,4
1581348921,59,6
1581358508,59,6
1581369365,64,3
1581380208,42,4
1581391156,72,4
1581401935,79,4
1581412833,74,14
1581423747,72,5
1581434630,57,6
1581445482,121,5
1581456265,76,3
1581467133,52,3
1581477999,78,7
1581488886,104,3
1581499803,211,10
1581510751,143,27
1581521683,203,10
1581532571,96,31
1581543408,63,1
1581554327,90,5
1581565213,60,0
1581576165,169,6
1581586952,74,46
1581597783,106,73
1581608593,70,63
1581619440,76,57
1581630227,75,72
1581641054,97,66
1581651912,86,37
1581662770,105,33
1581673613,74,54
1581684412,86,62
1581695209,83,74
1581706099,146,66
1581716928,96,74
1581727754,75,77
1581738548,81,79
1581749322,81,72
1581760089,63,89
1581770843,71,107
1581781644,65,66
1581792425,58,74
1581803213,67,58
1581813996,39,82
1581824786,49,67
1581835591,41,66
1581846310,43,79
1581857027,34,96
1581867630,119,243
1581878448,88,55
1581889263,53,70
1581900064,81,71
1581910846,58,59
1581921646,74,69
1581932442,83,86
1581943286,85,99
1581954044,64,97
1581964806,47,69
1581975589,80,74
1581986474,125,78
1581997328,81,51
1582008112,93,79
1582018915,67,59
1582029674,55,97
1582040393,6,64
1582051168,20,85
1582061924,15,69
1582072634,12,73
1582083410,5,59
1582094158,9,86
1582104835,38,223
1582115553,28,121
1582126231,22,126
1582136940,7,116
1582147815,71,96
1582158696,168,122
1582169520,105,74
1582180251,19,90
1582190964,47,117
1582201665,40,123
1582212507,46,86
1582223183,25,82
1582233871,7,114
1582244592,4,95
1582255321,7,96
1582266063,5,83
1582276746,20,103
1582287442,5,107
1582298175,2,113
1582308836,6,98
1582319526,5,109
1582330229,2,117
1582340956,1,82
1582351644,2,99
1582362358,4,92
1582373086,9,87
1582383865,88,91
1582394666,60,64
1582405418,26,67
1582416157,14,73
1582426953,14,64
1582437680,8,66
1582448374,3,84
1582459059,4,110
