DateTime,AddedIPs,RemovedIPs
1583796667,51,92
1583798480,65,92
1583802077,62,45
1583805666,0,3
1583809277,42,63
1583811069,53,71
1583814679,70,82
1583820073,63,72
1583821868,56,60
1583825467,54,45
1583829078,74,51
1583832671,64,50
1583836275,67,48
1583841699,78,94
1583848871,77,53
1583850706,69,60
1583854266,49,59
1583857865,82,50
1583863275,67,65
1583865071,86,52
1583868693,79,65
1583872275,66,70
1583875887,71,79
1583879475,74,102
1583883072,45,93
1583886685,64,73
1583890308,52,64
1583893870,45,55
1583897502,54,94
1583901068,73,89
1583904681,66,65
1583908266,53,49
1583911864,59,44
1583917284,134,79
1583924496,47,46
1583926306,48,51
1583929875,49,53
1583933466,80,55
1583935283,0,3
1583937072,67,54
1583940668,58,52
1583944277,78,43
1583949688,76,74
1583953267,77,67
1583956871,78,65
1583958680,81,67
1583962285,87,83
1583965872,71,101
1583969485,61,106
1583973066,59,85
1583976712,45,66
1583980305,44,63
1583982064,73,84
1583989284,77,88
1583991103,82,67
1583994684,50,47
1584000143,48,45
1584001870,80,54
1584005497,55,38
1584009078,61,60
1584012688,52,56
1584016266,69,51
1584021679,68,59
1584025264,61,62
1584027077,64,56
1584030674,59,53
1584032503,53,59
1584034282,115,96
1584036073,90,57
1584041476,78,66
1584045084,77,60
1584048672,75,99
1584052265,65,87
1584055947,48,86
1584059475,55,90
1584063079,57,65
1584066675,55,58
1584070270,58,76
1584073870,92,95
1584075671,68,64
1584082921,57,56
1584086503,123,82
1584091891,67,49
1584095482,51,45
1584099091,48,62
1584102665,50,51
1584106265,71,47
1584109871,59,60
1584111669,60,68
1584117065,76,53
1584120668,70,59
1584122509,79,58
1584127870,70,71
1584131473,67,67
1584133286,77,54
1584138793,67,95
1584144149,61,93
1584147735,57,87
1584149475,65,70
1584156675,88,132
1584158493,67,91
1584165703,58,70
1584167497,49,49
1584169372,61,49
1584176470,70,55
1584178288,72,54
1584181888,72,54
1584185471,72,58
1584190870,65,54
1584194473,54,65
1584196303,165,119
1584199885,70,54
1584203572,66,56
1584207071,62,73
1584208903,69,58
1584214304,82,70
1584216069,74,69
1584219673,0,4
1584221494,74,57
1584225068,65,87
1584228667,43,92
1584234192,68,86
1584235879,69,72
1584239474,37,69
1584243103,58,76
1584246670,72,93
1584248503,72,64
1584253881,54,49
1584257475,56,44
1584261067,65,43
1584268356,62,39
1584270116,79,52
1584271875,67,57
1584273696,53,50
1584277327,77,55
1584282675,76,61
1584286305,64,53
1584289865,67,49
1584293471,72,64
1584297064,89,72
1584300669,80,66
1584306081,67,68
1584307880,72,76
1584311465,54,109
1584315069,62,118
1584316869,61,80
1584322268,56,68
1584324093,68,56
1584325907,79,126
1584329476,63,66
1584333065,76,99
1584334884,77,59
1584340278,190,59
1584345671,60,45
1584347471,81,41
1584351110,74,39
1584352903,84,174
1584354670,205,102
1584360099,56,57
1584361908,78,82
1584365467,71,87
1584369097,93,65
1584372672,69,75
1584376359,81,69
1584379875,80,61
1584383474,94,63
1584387111,87,63
1584390670,89,88
1584394269,84,90
1584397864,67,94
1584401478,57,112
1584405070,51,82
1584408695,62,84
1584412269,35,204
1584415890,79,81
1584419484,76,86
1584423092,71,81
1584426753,59,49
1584430269,53,46
1584433875,88,62
1584437472,81,49
1584442944,138,87
1584450171,84,51
1584451876,67,73
1584455499,81,62
1584459067,80,75
1584462667,74,66
1584466278,83,80
1584469877,83,85
1584473475,77,66
1584478969,120,146
1584484290,65,106
1584487878,55,101
1584491643,63,101
1584496920,56,65
1584498666,44,66
1584502298,59,73
1584505895,72,97
1584509465,66,70
1584513110,61,56
1584516691,67,48
1584520271,75,51
1584522077,88,45
1584525726,73,51
1584529272,98,193
1584531066,220,110
1584534706,62,59
1584538274,81,53
1584541881,76,74
1584545503,81,56
1584547286,47,56
1584549065,56,47
1584550897,47,56
1584552677,88,65
1584556304,84,63
1584558082,71,57
1584563499,60,94
1584567065,83,119
1584570679,73,95
1584572500,59,97
1584579694,92,157
1584585084,44,55
1584588667,68,82
1584592274,75,85
1584595910,66,75
1584599488,60,57
1584603092,69,41
1584608476,71,49
1584610276,81,57
1584613907,94,52
1584617476,111,58
1584621070,180,58
1584624690,125,73
1584628268,75,69
1584631909,109,60
1584637281,68,70
1584639077,77,66
1584644711,73,65
1584646329,87,72
1584649891,91,80
1584653469,82,89
1584657077,69,102
1584660680,70,103
1585310485,829,798
1585312274,87,56
1585314082,66,63
1585323220,193,104
1585324981,77,60
1585326759,60,77
1585328524,67,1185
1585330279,1135,0
1585332069,73,146
1585333943,88,86
1585339286,99,76
1585341072,73,93
1585344680,51,90
1585350075,60,82
1585353750,44,95
1585355469,75,82
1585359091,50,95
1585364496,46,62
1585366291,7,4974
1585368066,4918,0
1585371681,76,71
1585375374,65,74
1585377071,48,50
1585382523,59,52
1585384274,70,43
1585387871,70,44
1585391484,84,63
1585396869,81,42
1585398696,75,83
1585402269,39,4047
1585404096,4020,0
1585405872,94,153
1585407786,90,1
1585409500,97,66
1585414866,73,73
1585418492,74,73
1585422162,81,61
1585423900,76,71
1585427471,87,67
1585431083,54,81
1585432974,56,106
1585438272,60,104
1585444083,58,92
1585446002,84,94
1585447922,61,105
1585453682,81,93
1585457523,57,70
1585461362,46,38
1585465203,36,44
1585467362,54,40
1585471202,73,44
1585475047,83,54
1585478882,82,52
1585482722,80,49
1585486562,78,67
1585488482,76,76
1585492322,26,4193
1585494243,4167,0
1585496164,89,54
1585500003,93,65
1585503842,92,82
1585507682,67,89
1585511525,83,65
1585514404,78,107
1585518347,69,91
1585522084,68,110
1585525922,59,93
1585529763,49,116
1585533603,86,78
1585535522,58,734
1585537442,646,0
1585539362,73,91
1585543202,68,65
1585547042,60,50
1585548962,56,57
1585554722,79,43
1585558563,88,50
1585560482,73,48
1585566483,128,80
1585572242,73,80
1585576082,89,66
1585579921,86,62
1585581842,62,86
1585583762,138,96
1585587603,88,93
1585589522,112,94
1585595522,133,92
1585597448,99,73
1585601523,68,91
1585605363,60,92
1585609206,69,106
1585611227,61,101
1585615202,50,80
1585617124,64,75
1585622881,74,95
1585626723,70,86
1585630563,70,70
1585634410,59,59
1585636324,3,6187
1585638722,6198,0
1585640642,74,59
1585642562,101,55
1585648322,78,41
1585652161,80,52
1585656005,73,59
1585657922,68,61
1585662001,89,62
1585666082,79,71
1585669923,68,80
1585673762,86,66
1585677604,90,78
1585681682,137,129
1585687682,70,100
1585691522,79,93
1585695362,57,113
1585699209,82,90
1585701121,54,110
1585705203,91,79
1585709042,79,95
1585710962,146,149
1585712881,76,122
1585714802,91,68
1585720562,75,64
1585724642,63,50
1585726562,89,40
1585730402,114,53
1585734242,79,51
1585738082,78,51
1585741922,53,54
1585743841,64,65
1585747682,86,50
1585749604,50,86
1585751522,16,5817
1585753442,5866,0
1585757282,130,116
1585763042,79,78
1585767122,76,75
1585769042,71,79
1585774803,85,95
1585776722,62,85
1585780562,55,108
1585784402,77,107
1585790161,42,82
1585792082,64,102
1585797842,72,83
1585799762,97,94
1585803603,70,73
1585805522,53,61
1585807444,67,51
1585813202,65,41
1585817042,90,46
1585820882,83,39
1585824722,69,56
1585828562,71,61
1585832404,59,51
1585834437,85,55
1585838162,85,66
1585842002,86,69
1585845842,98,83
1585849682,83,88
1585853522,91,83
1585857362,99,74
1585861204,73,80
1585863122,53,1252
1585865042,562,0
1585866962,635,108
1585870802,77,108
1585874642,38,91
1585878481,62,67
1585882322,59,82
1585886162,73,81
1585888081,71,86
1585890004,86,71
1585891922,110,440
1585894082,316,0
1585896002,54,46
1585899842,79,37
1585903681,106,56
1585907522,56,106
1585909442,197,96
1585915212,65,56
1585919042,81,63
1585920962,91,57
1585924802,88,69
1585928642,87,62
1585930562,88,75
1585936322,71,83
1585940162,97,72
1585942082,81,92
1585945923,59,1354
1585947841,1280,0
1585949762,70,82
1585953601,45,111
1585957442,71,100
1585961282,38,97
1585963202,64,84
1585968962,67,85
1585973043,70,99
1585974961,64,83
1585978802,61,56
1585980722,57,43
1585984561,55,45
1585990322,68,51
1585994162,91,57
1585998002,82,53
1586002082,86,64
1586004002,87,52
1586007842,74,71
1586011682,66,71
1586015522,73,67
1586017442,75,58
1586023204,83,61
1586025122,64,68
1586027282,75,78
1586031122,76,240
1586036882,72,141
1586038803,0,2
1586040722,67,104
1586044562,158,102
1586046482,55,101
1586050322,63,84
1586054402,67,88
1586058242,63,92
1586062081,58,70
1586067842,55,52
1586071681,107,73
1586075522,51,1981
1586077442,465,0
1586079362,1561,37
1586083202,79,46
