DateTime,AddedIPs,RemovedIPs
1585392968,26,8
1585394886,12,18
1585396826,25,27
1585398737,310,0
1585400665,17,25
1585402572,26,22
1585404514,194,21
1585406411,23,31
1585408334,15,24
1585410261,301,10
1585412171,22,21
1585412884,500,884
1585413151,316,665
1585414088,26,10
1585416008,189,27
1585417928,27,17
1585419302,228,0
1585419859,20,26
1585421772,32,14
1585423935,65,19
1585425858,12,15
1585427781,20,9
1585429202,266,0
1585429692,9,12
1585431609,27,23
1585432803,111,0
1585433541,15,25
1585435449,16,23
1585436402,96,0
1585437369,18,0
1585439298,9,26
1585439528,34,66
1585440002,82,3483
1585441208,28,16
1585443127,40,18
1585443602,105,0
1585445059,23,40
1585446968,34,30
1585447209,42,0
1585448930,131,15
1585450823,28,18
1585451294,150,82
1585452741,23,12
1585454730,103,22
1585455128,20,0
1585456583,11,18
1585458503,125,9
1585461602,95,0
1585462340,14,20
1585464253,9,11
1585465202,96,0
1585466188,3,15
1585470007,17,34
1585471938,28,17
1585472402,298,0
1585473849,22,0
1585475778,30,6
1585477687,13,7
1585479614,20,28
1585481545,290,10
1585483708,140,28
1585485610,12,23
1585487533,22,13
1585489460,7,25
1585490403,212,0
1585491368,28,30
1585493291,15,18
1585495218,37,21
1585497129,53,20
1585497603,237,0
1585499051,23,18
1585500976,42,26
1585504816,41,58
1585505317,1013,856
1585506742,46,19
1585507501,99,0
1585508653,35,29
1585510570,31,14
1585511101,98,0
1585512512,35,13
1585514412,27,14
1585514701,98,0
1585516333,27,10
1585518367,13,28
1585520174,133,14
1585522090,13,15
1585524018,13,17
1585524490,34,0
1585525929,236,4
1585527850,23,23
1585529778,19,33
1585531691,14,18
1585532168,37,33
1585532702,179,2873
1585535537,32,48
1585536006,41,0
1585537450,12,29
1585539379,13,19
1585539902,259,0
1585541299,22,17
1585543211,9,12
1585543690,142,41
1585545154,8,17
1585547084,13,0
1585548970,14,12
1585550896,19,6
1585552814,226,1
1585554739,24,0
1585556650,7,18
1585558569,133,31
1585560501,12,24
1585562417,411,27
1585563612,737,0
1585564337,29,10
1585566506,134,16
1585568412,21,12
1585569602,127,0
1585570333,29,10
1585572262,11,11
1585573202,166,0
1585574170,31,21
1585576091,17,7
1585578017,9,21
1585579930,38,15
1585581853,201,31
1585583778,32,47
1585585689,163,21
1585587624,27,39
1585589537,218,0
1585590302,132,0
1585591702,37,39
1585593626,31,40
1585593902,111,0
1585595541,41,42
1585597460,8,24
1585601534,224,63
1585603452,21,20
1585605382,38,8
1585607287,27,25
1585608302,192,0
1585611254,19,23
1585613314,67,94
1585615211,13,20
1585617151,177,20
1585619050,16,13
1585619102,192,2701
1585620975,91,115
1585622896,20,28
1585624815,20,15
1585626729,187,15
1585627202,95,0
1585628673,47,17
1585630802,114,0
1585632495,21,16
1585634432,28,10
1585637290,119,12
1585638002,103,0
1585639207,20,17
1585641126,40,16
1585643057,8,29
1585643536,819,850
1585644970,39,8
1585646895,178,0
1585648821,30,15
1585650734,214,0
1585651502,158,0
1585652659,23,32
1585654570,30,22
1585656508,22,25
1585658408,22,30
1585658702,324,0
1585660328,18,8
1585662260,19,31
1585664187,22,19
1585666232,14,8
1585668252,286,32
1585670177,24,20
1585672087,14,31
1585674019,151,14
1585675973,153,72
1585677381,718,702
1585678105,155,34
1585680011,19,0
1585681202,99,0
1585681929,14,30
1585683861,7,53
1585684802,106,0
1585685775,17,0
1585687692,12,0
1585688402,104,0
1585689618,26,34
1585691528,30,13
1585693451,85,37
1585695378,28,23
1585697286,12,0
1585698007,37,0
1585699223,136,14
1585701145,76,3162
1585703313,59,17
1585705215,23,24
1585705685,35,0
1585707145,10,14
1585709051,184,21
1585709102,102,0
1585709533,25,70
1585712898,123,42
1585716301,120,0
1585716729,13,43
1585717210,18,38
1585718661,19,0
1585719901,141,0
1585720567,21,18
1585723684,13,21
1585725853,20,32
1585726808,844,0
1585727769,263,39
1585729700,11,7
1585731613,33,32
1585733545,22,9
1585735448,129,27
1585737378,40,26
1585739296,330,26
1585740732,720,793
1585741230,39,30
1585742403,146,0
1585743133,25,26
1585745048,24,16
1585746003,158,0
1585746968,25,19
1585748890,17,16
1585750818,28,25
1585752729,35,17
1585754102,339,0
1585754657,9,25
1585756565,22,0
1585758490,14,34
1585760421,27,31
1585762334,214,0
1585764250,46,28
1585766178,45,27
1585768089,200,21
1585770009,236,16
1585771934,38,5
1585773851,18,18
1585775773,238,10
1585777697,18,28
1585779615,14,27
1585781526,26,8
1585782967,131,38
1585783456,14,26
1585785365,13,9
1585786503,175,2915
1585789224,13,39
1585791133,26,21
1585793056,26,22
1585793701,261,0
1585794490,73,63
1585794979,27,11
1585798806,39,15
1585800736,26,14
1585802169,133,0
1585802648,21,0
1585804567,26,15
1585806500,253,15
1585808410,17,21
1585810325,25,10
1585814167,134,17
1585816088,165,23
1585818022,136,39
1585819931,27,0
1585823783,172,85
1585825689,26,0
1585827002,279,0
1585827612,19,24
1585829538,23,54
1585830602,126,0
1585831452,12,25
1585831699,499,1291
1585831928,291,1010
1585833613,14,18
1585834201,116,0
1585835527,13,16
1585837447,19,21
1585837802,95,0
1585839375,32,25
1585841289,30,8
1585841402,117,0
1585843209,31,19
1585845140,136,13
1585847050,29,23
1585848601,95,0
1585848968,20,34
1585851149,21,42
1585852202,102,0
1585853049,17,37
1585854972,25,40
1585856903,13,31
1585859402,204,0
1585860726,28,46
1585862661,8,20
1585864598,23,16
1585866486,11,16
1585866602,199,0
1585868422,37,23
1585870331,26,19
1585871528,37,67
1585872495,18,11
1585873802,200,3080
1585874406,11,0
1585876336,18,14
1585878252,15,25
1585879216,36,0
1585880170,14,26
1585881002,238,0
1585882100,10,25
1585883292,38,72
1585884016,13,0
1585885925,22,31
1585887128,22,23
1585887845,16,24
1585888202,265,0
1585889776,12,22
1585891688,12,25
1585893618,24,20
1585895402,232,0
1585896489,13,20
1585898418,15,25
1585900326,27,0
1585902250,11,28
1585902602,259,0
1585904175,27,14
1585906086,16,21
1585908011,92,27
1585909942,35,0
1585912110,27,61
1585912502,262,0
1585914013,19,19
1585915930,28,0
1585916102,138,0
1585917868,11,37
1585919768,18,0
1585921697,12,20
1585923129,844,813
1585923623,249,10
1585925532,11,19
1585927447,6,29
1585929386,36,25
1585931288,171,32
1585933216,30,31
1585935144,204,30
1585938972,160,36
1585940914,38,16
1585942807,36,24
1585944738,150,13
1585946667,18,0
1585948579,138,27
1585950732,23,9
1585951202,206,0
1585952652,17,19
1585954578,38,12
1585956246,35,0
1585956489,27,32
1585958409,23,29
1585960347,231,2783
1585962250,18,7
1585963926,30,36
1585964169,14,13
1585966105,201,7
1585967766,35,0
1585968009,9,12
1585969929,19,10
1585971860,28,11
1585973766,113,19
1585975449,17,46
1585975932,28,20
1585976402,209,0
1585977848,11,12
