DateTime,Entries,UniqueIPs
1579908488,222199,234571
1579916168,222212,234586
1579920007,222199,234575
1579923850,222206,234582
1579924743,222210,234589
1579964429,222825,235215
1579973285,223448,235819
1579997294,223428,235797
1580001127,223424,235794
1580004970,223422,235792
1580011142,223452,235819
1580012648,223442,235808
1580050816,223425,235751
1580052738,222725,235027
1580082007,222724,235028
1580089686,222727,235027
1580097365,222719,235019
1580097542,222714,235009
1580111062,223272,235575
1580118264,224038,236350
1580124490,224672,237009
1580135546,224708,237037
1580145134,225610,237907
1580166730,225620,237917
1580174406,225626,237914
1580178248,225610,237896
1580183942,225593,237881
1580185927,225597,237884
1580220017,225953,238242
1580236355,223312,235541
1580255530,223317,235546
1580263212,223347,235577
1580271129,223378,235607
1580302817,223556,235783
1580315782,221667,233858
1580316011,220419,232509
1580340505,220415,232505
1580348165,220408,232497
1580352004,220385,232474
1580355847,220383,232471
1580356743,220433,232565
1580389216,220483,232701
1580406966,218548,230706
1580428808,218546,230701
1580432890,218550,230703
1580436729,218560,230714
1580443142,218595,230774
1580444404,218590,230769
1580465769,213834,225875
1580475617,213814,225754
1580513767,213801,225738
1580521448,213785,225717
1580525288,213761,225687
1580529542,213803,225736
1580531048,213795,225727
1580557450,207446,219219
1580562016,207417,219181
1580598728,207438,219202
1580606650,207458,219224
1580610486,207448,219213
1580615765,207453,219218
1580615942,207474,219250
1580649158,205063,216744
1580662570,203636,215315
1580687528,203628,215306
1580695211,203600,215275
1580700728,203597,215272
1580702342,203602,215281
1580734816,203253,214896
1580742772,203319,214954
1580772489,203307,214942
1580780165,203305,214943
1580784016,203304,214941
1580789387,203325,214971
1580812449,203078,214732
1580821217,203044,214710
1580839946,203020,214676
1580861050,203012,214669
1580868732,202992,214647
1580874004,203003,214658
1580875142,203033,214690
1580907617,202575,214131
1580930651,200522,212044
1580946006,200512,212035
1580953685,200524,212049
1580957548,200525,212050
1580961542,200544,212063
1580963046,200506,212025
1580994017,200002,211498
1581022107,199369,210847
1581030725,199381,210860
1581038405,199370,210852
1581042246,199365,210848
1581047766,199354,210837
1581047942,199398,210943
1581063607,199976,211532
1581074664,200554,212122
1581080417,200334,211903
1581119288,200304,211873
1581126968,200311,211883
1581134342,200346,211954
1581136566,200336,211943
1581165608,199603,211178
1581166817,199167,210665
1581203767,199172,210671
1581211448,199188,210687
1581215287,199174,210672
1581221064,199180,210678
1581253217,198507,209984
1581257547,198374,209853
1581292328,198361,209842
1581300008,198347,209825
1581306007,198333,209811
1581307143,198368,209852
1581325958,197660,209138
1581339617,196833,208253
1581377529,196824,208244
1581385206,196821,208240
1581389051,196807,208225
1581393542,196804,208223
1581394804,196796,208215
1581417608,196796,208216
1581417863,196712,208121
1581422416,196457,207814
1581462491,196459,207816
1581470165,196481,207839
1581474010,196468,207824
1581479525,196475,207831
1581479942,196451,207814
1581509304,195785,207129
1581551290,195567,206869
1581558966,195554,206855
1581562810,195552,206852
1581566342,195554,206856
1581567908,195523,206825
1581595217,195144,206399
1581601453,195253,206508
1581601932,195216,206474
1581636485,195216,206473
1581644166,195224,206481
1581648005,195215,206472
1581653046,195223,206480
1581681619,194843,206121
1581692906,193501,204775
1581693377,192395,203638
1581725293,192380,203622
1581732966,192363,203604
1581739142,192357,203604
1581741605,192332,203579
1581768016,192294,203523
1581784091,190538,201690
1581810007,190537,201690
1581817686,190548,201700
1581821525,190544,201695
1581826330,190540,201690
1581854418,190389,201443
1581875066,190496,201552
1581895208,190496,201557
1581902888,190506,201568
1581906728,190521,201583
1581911942,190526,201587
1581914647,190518,201579
1581940816,190054,200991
1581954735,190026,200960
1581972514,190639,201604
1581975633,191258,202239
1581983766,191262,202243
1581991449,191262,202237
1581998342,191274,202269
1581999605,191273,202269
1582017372,191926,202942
1582018810,192498,203529
1582027217,192332,203371
1582060102,192321,203364
1582068731,192341,203384
1582076404,192357,203400
1582080248,192334,203379
1582084326,192342,203387
1582084742,192367,203449
1582108329,193027,204120
1582113616,192741,203871
1582150116,192719,203852
1582153931,192721,203855
1582161606,192722,203856
1582165448,192729,203865
1582171142,192741,203889
1582173129,192736,203886
1582200016,192489,203619
1582218972,193077,204217
1582242488,193069,204210
1582250166,193069,204210
1582254014,193047,204192
1582258090,193060,204206
1582286416,192906,204074
1582311126,192951,204123
