DateTime,AddedIPs,RemovedIPs
1585763042,67,69
1585763521,2,1
1585764121,2,0
1585766521,2,0
1585767122,69,69
1585767721,1,0
1585769042,69,69
1585770722,2,1
1585771321,1,0
1585772521,3,0
1585774803,79,81
1585774965,2,1
1585776121,1,0
1585776722,53,78
1585777321,4,0
1585778521,5,0
1585780562,47,101
1585780922,1,0
1585782121,2,1
1585782721,1,1
1585784402,68,95
1585785721,1,0
1585786921,1,3
1585788122,1,0
1585789321,1,0
1585790161,35,69
1585790521,2,0
1585791121,3,0
1585792082,55,73
1585793521,1,0
1585794121,1,0
1585794781,1,0
1585795921,1,0
1585796521,2,0
1585797842,64,75
1585798322,3,0
1585798922,4,0
1585799762,75,86
1585800121,1,0
1585802522,3,0
1585803603,64,68
1585803721,1,0
1585804321,1,0
1585804922,1,0
1585805522,46,55
1585807444,62,47
1585807921,1,0
1585808691,941,243
1585809121,1,0
1585810921,3,1
1585812121,0,1
1585813202,60,31
1585813322,1,0
1585815721,0,1
1585816321,2,0
1585817042,85,39
1585817521,3,1
1585819321,2,0
1585820521,5,0
1585820882,77,36
1585821121,1,1
1585821721,1,0
1585824121,1,0
1585824722,63,43
1585825321,7,0
1585826521,3,0
1585827722,2,0
1585828321,6,1
1585828562,68,55
1585828921,3,0
1585831321,1,1
1585831922,2,0
1585832404,54,44
1585833121,4,0
1585834437,81,49
1585835521,2,0
1585836122,3,0
1585837321,2,0
1585838162,67,59
1585838522,3,0
1585839721,2,0
1585840921,5,1
1585842002,79,61
1585842121,1,0
1585843321,3,0
1585844521,1,0
1585845842,85,69
1585848121,1,0
1585848722,1,0
1585849321,2,0
1585849682,74,77
1585850521,0,1
1585852321,1,0
1585852921,1,0
1585853522,77,79
1585854122,1,0
1585855322,1,0
1585857362,95,65
1585858921,1,0
1585860121,1,0
1585861204,68,70
1585862522,3,2
1585863122,50,526
1585863722,2,1
1585865042,222,0
1585865521,1,0
1585866121,1,1
1585866722,1,0
1585866962,258,100
1585868521,2,0
1585869721,2,0
1585870802,61,97
1585870921,2,0
1585872721,1,0
1585873321,2,0
1585874642,32,83
1585875721,2,0
1585876321,1,0
1585876921,0,2
1585878122,1,0
1585878481,51,59
1585879321,1,0
1585881121,1,0
1585881721,1,0
1585882322,60,73
1585882921,2,1
1585884121,5,1
1585884721,4,0
1585885322,2,1
1585886162,69,76
1585886521,3,0
1585887121,1,0
1585887721,3,0
1585888081,62,74
1585889521,1,0
1585890004,74,62
1585890121,13,0
1585891321,3,0
1585891922,96,217
1585892521,1,0
1585894082,110,1
1585894921,3,0
1585895796,677,9778
1585896002,51,36
1585896121,2,0
1585897321,3,1
1585898521,6,0
1585899842,71,33
1585900921,4,0
1585902121,3,0
1585903321,2,0
1585903681,95,48
1585903921,3,0
1585904522,2,0
1585905721,7,0
1585906321,1,0
1585906921,4,0
1585907522,50,95
1585908722,2,0
1585909442,180,80
1585909921,1,0
1585910521,1,0
1585911791,3,0
1585912321,1,0
1585912922,1,0
1585914121,2,0
1585915212,56,48
1585916013,3,2
1585917181,2,1
1585917721,1,0
1585919042,72,61
1585919521,1,0
1585920122,3,0
1585920962,83,49
1585921921,8,2
1585922522,1,0
1585923121,2,0
1585924321,1,0
1585924802,81,54
1585924921,4,0
1585925521,1,0
1585926121,1,0
1585926721,2,0
1585927921,0,1
1585928642,81,57
1585929121,3,1
1585929721,1,0
1585930562,82,69
1585931521,1,1
1585932121,1,0
1585933322,2,0
1585934521,2,0
1585935121,2,0
1585936322,66,76
1585936921,5,0
1585938121,1,1
1585939321,1,0
1585939921,2,0
1585940162,92,59
1585940522,4,0
1585941721,1,0
1585942082,71,87
1585942321,5,0
1585945322,1,0
1585945923,53,561
1585946521,4,5
1585947841,503,0
1585948921,2,0
1585949762,59,75
1585950122,5,0
1585950721,1,0
1585951321,7,0
1585952521,1,0
1585953601,37,100
1585953721,5,0
1585954321,1,0
1585954922,1,0
1585955521,2,0
1585956121,7,0
1585956721,1,0
1585956782,3,0
1585957442,66,94
1585958522,2,0
1585959121,7,0
1585959721,11,0
1585960921,12,0
1585961282,33,83
1585962122,3,0
1585962721,2,1
1585963202,54,80
1585963322,21,0
1585964522,5,0
1585965121,3,1
1585966921,3,0
1585968121,1,0
1585968962,64,79
1585969322,4,0
1585970521,3,0
1585971122,3,0
1585972321,1,1
1585973043,68,89
1585973521,4,0
1585974121,2,0
1585974961,60,80
1585975322,1,1
1585975921,1,0
1585976521,3,0
1585977721,5,0
1585978802,55,49
1585979521,1,0
1585980121,2,0
1585980722,47,31
1585981321,4,0
1585982521,1,0
1585982915,10431,285
1585983722,5,0
1585984561,47,38
1585984921,3,0
1585986721,2,0
1585989181,1,0
1585989722,4,1
1585990322,64,45
1585990921,3,0
1585992121,7,0
1585994162,94,48
1585994521,1,0
1585995721,0,1
1585996382,7,0
1585997521,3,0
1585998002,72,47
1585998122,3,0
1585998721,5,0
1585999321,10,0
1585999922,1,0
1586000521,3,0
1586002082,86,59
1586002921,2,0
1586004002,78,43
1586004122,3,0
1586005321,2,0
1586005921,4,1
1586006521,5,0
1586007842,69,61
1586008321,1,0
1586009521,3,0
1586010121,4,0
1586010722,2,0
1586011321,2,0
1586011682,60,66
1586013121,3,1
1586015522,67,54
1586016121,9,0
1586016721,1,0
1586017442,74,54
1586017922,4,0
1586017981,1,0
1586018522,1,0
1586019121,1,0
1586019721,2,0
1586020921,4,1
1586021522,4,0
1586022121,2,0
1586023204,76,56
1586023322,8,1
1586025122,61,58
1586025181,3,0
1586027282,73,69
1586027521,7,0
1586028121,4,0
1586028721,2,0
1586028781,1,1
1586029322,1,0
1586029921,5,0
1586031122,69,104
1586032381,6,0
1586032921,8,0
1586033521,2,1
1586034721,6,0
1586035321,1,0
1586035981,2,0
1586036522,6,0
1586036882,60,69
1586037721,3,0
1586038921,4,0
1586040121,7,0
1586040722,58,91
1586041321,5,0
1586041921,2,0
1586042521,1,0
1586043122,2,0
1586043721,9,0
1586044321,6,0
1586044562,54,86
1586046121,2,0
1586046482,44,90
1586047322,2,0
1586049721,3,0
1586050322,53,76
1586050921,2,0
1586051521,5,0
1586052121,4,0
1586053321,5,0
1586054402,60,83
1586054521,2,0
1586055722,3,0
1586056921,2,0
1586058242,66,91
1586058722,7,2
1586059321,5,0
1586060521,3,0
1586061121,2,0
1586061721,14,1
1586062081,55,61
1586063522,1,2
1586064121,4,1
1586065322,6,0
1586065921,7,0
1586067842,52,49
1586068921,6,0
1586070047,1111,319
1586070122,0,1
1586070721,1,0
1586071321,5,0
1586071681,99,64
1586072521,2,0
1586073122,2,0
1586073721,1,0
1586074921,1,0
1586075522,46,784
1586075581,29,0
1586077442,174,0
1586077922,0,2
1586078521,12,0
1586079121,0,1
1586079362,657,32
1586079721,1,0
1586080922,3,0
1586082122,5,0
1586082721,2,0
1586083202,72,38
1586083321,2,1
1586084522,1,0
1586085121,2,0
1586085721,6,0
1586086322,1,0
1586087042,152,53
1586087522,3,0
1586088121,7,1
1586088721,1,0
1586089981,1,1
1586090521,6,0
1586090882,62,74
1586091122,1,0
1586091721,3,0
1586092321,2,0
1586092803,73,48
1586092922,2,0
1586093582,1,0
1586094723,49,73
1586095322,3,0
1586095921,4,0
1586096642,80,48
1586097721,15,0
1586098562,64,59
1586098921,12,0
1586100121,3,0
1586100781,2,0
1586101321,2,0
1586101921,4,0
1586102405,60,59
1586102522,7,1
1586103121,2,0
1586103721,1,0
1586104364,17,2190
1586104921,2,1
1586105521,1,0
1586106481,2209,0
1586107321,2,0
1586107922,12,0
1586108402,69,62
1586109121,2,0
1586109721,1,0
1586110321,14,0
1586110921,3,0
1586111522,1,0
1586111581,1,0
1586112242,88,53
1586114522,2,0
1586115121,1,0
1586115721,5,0
1586116082,74,79
1586116922,5,0
1586118121,2,0
1586119321,7,1
1586119923,61,79
1586120521,4,0
1586121842,50,80
1586122321,8,0
1586122921,1,0
1586124122,0,1
1586124721,2,0
1586125321,3,0
1586126162,54,101
1586126522,2,0
1586127122,4,1
1586127721,2,0
1586128321,3,0
1586128921,7,0
1586130244,59,94
1586130722,5,0
1586131921,8,0
1586133121,2,0
1586133721,6,0
1586134083,39,63
1586134321,1,0
1586134921,4,1
1586136121,2,1
1586136721,2,2
1586137321,7,1
1586137923,50,60
1586138521,10,1
1586139842,64,50
1586140321,3,0
1586140922,3,0
1586141763,95,128
1586142121,4,0
1586143321,9,0
1586145122,1,0
1586145608,66,96
1586145722,4,0
1586146921,8,0
1586147621,70,53
1586148122,8,1
1586148722,0,1
1586149322,6,0
1586149921,7,0
1586151182,8,4
1586151602,58,61
1586151721,1,1
1586152321,4,0
1586154121,9,0
1586154782,3,0
1586155442,60,37
1586156521,2,1
1586157166,1427,273
1586157721,6,0
1586158921,9,0
1586159282,75,47
1586159521,1,0
1586160121,4,0
1586161322,6,0
1586162521,7,0
1586163122,91,42
1586163721,3,0
1586164322,3,0
1586165582,1,2
1586166721,1,0
1586167321,0,1
1586168521,4,0
1586168883,77,56
