DateTime,AddedIPs,RemovedIPs
1584681351,5,4
1584685023,3,7
1584688579,4,7
1584692226,3,2
1584695837,7,3
1584699371,6,5
1584703008,6,3
1584706586,6,8
1584708603,163072,12032
1584710218,3,4
1584713816,5,7
1584717414,3,6
1584721043,3,4
1584724606,3,6
1584728183,1284,1288
1584731839,9,0
1584735447,0,3
1584738995,6,2
1584742597,5,6
1584746228,2,4
1584749403,256,256
1584749817,1,3
1584753463,6,10
1584755111,256,256
1584757039,7,14
1584760622,4,4
1584764230,8,3
1584767810,4,4
1584771455,7,7
1584775077,6,11525
1584778660,8,9
1584782235,4,19
1584785841,15,8
1584789439,4,5
1584793062,7,6
1584795003,256,12032
1584796664,6,4
1584799215,1536,1792
1584800268,8,10
1584803844,8,5
1584807448,3,13
1584809112,512,256
1584811010,14,8
1584814627,12,5
1584818230,7,4
1584821811,6,3
1584825418,768,768
1584825426,5,5
1584829027,5,8
1584832624,2,10
1584836205,2,7
1584839815,10,2
1584843432,5,1
1584847026,3,2
1584850656,4,3
1584851660,768,768
1584854198,4,6
1584857831,5,5
1584861441,3,9
1584865034,16,5
1584868604,3,6
1584872218,7,1
1584875852,5,4
1584879423,8,8
1584883068,4612,4870
1584885615,1792,2048
1584886648,3,4
1584890296,2,7
1584893863,4,12
1584894611,768,512
1584897445,5,7
1584901021,10,4
1584904636,7,6
1584908225,5,7
1584911837,6,3
1584915402,6,7
1584919060,9,5
1584922659,2,4
1584926252,3,2
1584929860,3,7
1584933429,7,9
1584937042,12,5
1584942602,6,7
1584944251,5,6
1584947831,5,4
1584951456,5,10
1584955006,273,261
1584958648,3,5
1584962254,5,2
1584965823,8,4
1584967803,2816,0
1584969429,5,9
1584973045,4,5
1584976321,1024,1024
1584976638,3,2
1584980233,6,6
1584983103,512,512
1584983847,2,4
1584987439,1,5
1584991014,4,7
1584994634,5,9
1584997803,256,256
1584998252,5,5
1585001841,4,7
1585005423,8,1
1585009044,262,264
1585009811,256,256
1585012648,8,8
1585016241,7,4
1585019821,8,8
1585023398,19,3
1585028658,4,5
1585034286,5,4
1585035755,2,7
1585043591,8,14
1585049102,13,7
1585054203,221442,8196
1585058703,1536,1792
1585060065,4,2
1585062951,7,4
1585070112,512,256
1585073103,5,8
1585077406,4,8
1585081047,2,4
1585084640,3,27
1585088354,24,0
1585091827,772,770
1585095441,2,1
1585099042,5,2
1585102608,6,12
1585106222,6,16
1585109867,4,7
1585116002,9,7
1585117022,3,9
1585120656,9,5
1585124260,10,6
1585127816,9,7
1585131426,5,2
1585135075,4,3
1585138625,6,2
1585140603,3840,14336
1585142236,6,7
1585145403,1792,1792
1585145873,7,4
1585146613,256,256
1585149474,6,1
1585153146,3,7
1585156662,4,6
1585160243,2,7
1585163860,4,2
1585167420,3,6
1585171046,5,5
1585174623,4,2
1585178244,3,7
1585181860,5,7
1585187402,4,4
1585189081,7,6
1585190402,256,256
1585192659,2,6
1585196246,9,6
1585199827,9,4
1585203499,2,8
1585208102,5,4
1585210655,4,7
1585214250,7,22
1585217918,5,6
1585221448,14,5
1585225050,6,4
1585227004,0,5120
1585228685,6,7
1585232300,9,6
1585235861,6,18
1585239442,5,4
1585243141,4,11
1585246679,12,4
1585250282,16,1
1585251912,1280,1280
1585253856,3,8
1585254612,512,512
1585256878,256,256
1585257455,3,7
1585261043,1,8
1585262712,256,256
1585264642,12,5
1585268232,9,2
1585271859,5,2
1585275457,4,0
1585279058,517,514
1585282651,3,11
1585286333,5,3
1585289861,9,9
1585293465,5,6
1585297065,4,6
1585300715,5,3
1585304231,5,10
1585307850,12,8
1585311459,4,3
1585315085,2,12802
1585318646,9,7
1585322248,7,4
1585325867,3,6
1585329457,5,4
1585332912,1024,1280
1585333077,2,3
1585336647,1,17
1585340253,6,6
1585343821,11,5
1585346753,512,256
1585347419,10,5
1585351037,4,4
1585354652,3,4
1585358278,11,3
1585361173,256,256
1585361844,3,2
1585365467,2,3
1585369046,3,2
1585372636,5,11
1585376258,7,3
1585379857,6,7
1585383473,1,4
1585387054,8,4
1585390622,5,4
1585394261,3,6
1585395011,1280,1536
1585397845,5,3
1585398611,256,256
1585399803,2048,10240
1585401485,4,5
1585402212,256,256
1585405046,4,14
1585408801,14,5
1585412287,10,7
1585415852,2,2
1585416611,512,512
1585419452,1,3
1585422302,256,256
1585423041,5,8
1585426649,4,10
1585427702,256,256
1585430244,7,6
1585433818,9,5
1585437426,2,5
1585441037,6,3
1585441811,256,0
1585443902,0,1280
1585444634,6,3
1585448257,4,4
1585451840,5,2
1585455451,3,11
1585459058,5,7
1585462664,5,1
1585466245,6,4
1585469848,4,4
1585473497,2,2
1585477035,6,2
1585480633,1,5
1585484253,6,8
1585485010,1280,1280
1585486202,1792,5120
1585487887,4,13
1585491451,13,7
1585493111,512,512
1585495065,13,4
1585498664,5,2
1585500310,256,256
1585502270,1,4
1585505836,1,3
1585508410,512,768
1585509468,5,20
1585513008,15,3
1585515616,256,256
1585516624,4,2
1585520248,3,2
1585523828,1,2
1585524610,768,768
1585527468,2,7
1585531045,6,7
1585534677,5,5
1585538267,5,3
1585541867,3,6
1585545472,5,6
1585549074,4,7
1585552709,9,10
1585556294,7,5
1585559915,18,4
1585563511,3,5
1585567055,10,3
1585570641,1,4
1585572616,1280,0
1585574328,3,13
1585577903,7,6
1585581488,4,14
1585585101,5,2
1585585502,2048,2048
1585588674,5,5
1585592263,7,9
1585595862,4,7
1585596609,512,512
1585599471,8,3
1585603044,7,3
1585606650,8,3
1585609211,512,512
1585610272,8,7
1585613847,3,4
1585617471,7,9
1585621077,2,12
1585624670,11,9
1585628262,5,6
1585631850,4,3
1585637402,12,2
1585639249,4,5
1585642844,6,2
1585646440,2,4
1585650122,3,1
1585653605,6,2
1585656915,0,512
1585657224,4,2
1585659002,1280,6912
1585660837,3,4
1585664424,4,9
