DateTime,AddedIPs,RemovedIPs
1585694521,1,0
1585695722,1,1
1585696921,2,1
1585697522,1,0
1585699321,5,0
1585700521,2,0
1585701721,7,0
1585702921,1,0
1585703521,1,0
1585704721,8,0
1585705922,4,0
1585706521,1,1
1585707121,1,0
1585707721,1,0
1585708321,2,0
1585708382,1,0
1585708921,2,0
1585709521,2,0
1585710121,1,0
1585710721,3,0
1585711322,1,0
1585711921,1,0
1585713721,0,1
1585714922,1,0
1585716122,3,1
1585717322,0,1
1585718521,4,0
1585719721,2,0
1585720922,6,0
1585721573,959,292
1585722121,3,0
1585723321,2,1
1585723921,2,0
1585724521,1,0
1585725721,4,1
1585727521,2,0
1585728121,2,0
1585728721,1,0
1585729322,1,1
1585730522,2,0
1585731121,1,0
1585732321,1,0
1585732922,0,2
1585734121,3,0
1585734722,2,0
1585737122,1,0
1585737722,3,0
1585738321,1,0
1585738921,4,0
1585739521,1,0
1585740721,1,0
1585741321,1,0
1585743722,3,0
1585744922,0,1
1585746121,2,0
1585746721,2,0
1585747321,2,0
1585748521,1,0
1585749721,9,1
1585750921,1,1
1585752121,3,1
1585753321,0,1
1585753921,4,0
1585755721,1,0
1585756921,0,2
1585758121,1,0
1585758781,1,0
1585760521,2,1
1585761121,0,2
1585761722,4,0
1585762321,1,0
1585763521,2,1
1585764121,2,0
1585766521,2,0
1585767121,1,0
1585767721,1,0
1585768921,1,0
1585770722,2,1
1585771321,1,0
1585772521,3,0
1585774921,2,1
1585776121,1,0
1585776722,1,0
1585777321,4,0
1585778521,5,0
1585780922,1,0
1585782121,2,1
1585782721,1,1
1585785721,1,0
1585786921,1,3
1585788122,1,0
1585789321,1,0
1585790521,2,0
1585791121,3,0
1585793521,1,0
1585794121,1,0
1585794781,1,0
1585795921,1,0
1585796521,2,0
1585797721,1,0
1585798322,3,0
1585798922,4,0
1585800121,1,0
1585802522,3,0
1585803122,2,0
1585803721,1,0
1585804321,1,0
1585804922,1,0
1585805522,1,0
1585807321,2,0
1585807921,1,0
1585808691,941,243
1585809121,1,0
1585810921,3,1
1585812121,0,1
1585813322,1,0
1585815721,0,1
1585816321,2,0
1585816922,4,0
1585817521,3,1
1585819321,2,0
1585820521,5,0
1585821121,1,1
1585821721,1,0
1585824121,1,0
1585824721,1,0
1585825321,7,0
1585826521,3,0
1585827722,2,0
1585828321,6,1
1585828921,3,0
1585831321,1,1
1585831922,2,0
1585833121,4,0
1585835521,2,0
1585836122,3,0
1585837321,2,0
1585838522,3,0
1585839721,2,0
1585840921,5,1
1585842121,1,0
1585843321,3,0
1585844521,1,0
1585845721,1,0
1585848121,1,0
1585848722,1,0
1585849321,2,0
1585850521,0,1
1585852321,1,0
1585852921,1,0
1585854122,1,0
1585855322,1,0
1585858921,1,0
1585860121,1,0
1585862522,3,2
1585863722,2,1
1585864922,1,0
1585865521,1,0
1585866121,1,1
1585866722,1,0
1585868521,2,0
1585869721,2,0
1585870921,2,0
1585872721,1,0
1585873321,2,0
1585875721,2,0
1585876321,1,0
1585876921,0,2
1585878122,1,0
1585879321,1,0
1585881121,1,0
1585881721,1,0
1585882321,2,0
1585882921,2,1
1585884121,5,1
1585884721,4,0
1585885322,2,1
1585886521,3,0
1585887121,1,0
1585887721,3,0
1585889521,1,0
1585890121,13,0
1585891321,3,0
1585892521,1,0
1585893722,6,1
1585894921,3,0
1585895796,677,9778
1585896121,2,0
1585897321,3,1
1585898521,6,0
1585899721,1,0
1585900921,4,0
1585902121,3,0
1585903321,2,0
1585903921,3,0
1585904522,2,0
1585905721,7,0
1585906321,1,0
1585906921,4,0
1585907521,2,0
1585908722,2,0
1585909321,4,1
1585909921,1,0
1585910521,1,0
1585911722,3,0
1585912321,1,0
1585912922,1,0
1585914121,2,0
1585914721,2,1
