DateTime,AddedIPs,RemovedIPs
1585201956,36,28
1585203862,29,24
1585205769,51,32
1585207688,44,31
1585209636,56,33
1585211539,45,21
1585213702,42,42
1585215611,52,38
1585217544,63,42
1585219466,41,27
1585221370,32,2184
1585223298,48,51
1585225221,1099,0
1585227131,67,60
1585229064,63,35
1585230968,51,68
1585232887,53,28
1585234825,61,34
1585236734,41,47
1585238665,33,60
1585240569,41,54
1585242489,40,42
1585244420,42,51
1585246338,56,39
1585248263,55,45
1585250169,75,57
1585252099,56,42
1585254006,45,40
1585255927,66,50
1585257859,54,49
1585259766,65,50
1585261689,50,38
1585263626,45,65
1585265534,40,47
1585267453,1006,0
1585269382,60,61
1585271295,37,40
1585273213,63,54
1585275147,53,29
1585277050,31,22
1585278968,49,35
1585280902,31,52
1585282815,48,43
1585284729,49,32
1585286660,38,38
1585288569,48,47
1585290487,32,33
1585292428,41,50
1585294337,41,43
1585296509,42,42
1585298421,39,41
1585300334,26,43
1585302250,24,39
1585304176,45,44
1585306089,40,59
1585308017,54,2200
1585309928,55,42
1585311843,1027,0
1585313776,54,48
1585315688,46,48
1585317607,36,32
1585319543,50,34
1585321721,64,51
1585323608,62,46
1585325532,37,41
1585327463,35,37
1585329365,45,53
1585331291,34,32
1585333217,57,37
1585335125,44,46
1585337047,51,42
1585338974,76,58
1585340884,44,56
1585342811,68,44
1585344743,47,47
1585346906,56,67
1585348809,56,58
1585350745,44,32
1585352651,52,41
1585354569,923,0
1585356502,41,28
1585358408,52,51
1585360327,49,27
1585362260,50,32
1585364168,63,39
1585366092,45,35
1585368023,59,41
1585369934,45,28
1585371858,37,46
1585373781,41,34
1585375705,45,31
1585377613,32,39
1585379550,34,40
1585381448,19,39
1585383370,49,59
1585385297,38,48
1585387206,30,36
1585389127,26,59
1585391060,31,59
1585392967,21,37
1585394885,33,2213
1585396825,1039,0
1585398736,63,60
1585400664,48,35
1585402571,45,57
1585404513,43,55
1585406411,66,43
1585408333,47,40
1585410260,55,27
1585412169,67,50
1585414086,49,60
1585416007,45,47
1585417927,50,37
1585419857,48,43
1585421771,68,40
1585423934,59,52
1585425857,40,36
1585427780,72,38
1585429690,48,27
1585431608,43,30
1585433539,44,45
1585435448,45,36
1585437367,43,57
1585439298,64,50
1585441208,906,0
1585443127,43,33
1585445059,120,117
1585446968,63,34
1585448930,42,26
1585450823,46,38
1585452740,40,34
1585454730,37,83
1585456583,36,26
1585458502,48,40
1585460409,43,24
1585462340,38,48
1585464252,53,37
1585466188,50,38
1585468084,42,34
1585470007,38,22
1585471938,42,35
1585473848,40,30
1585475777,39,57
1585477686,39,2202
1585479613,1009,0
1585481544,50,37
1585483707,79,50
1585485609,50,47
1585487532,28,58
1585489458,38,41
1585491367,54,60
1585493290,38,63
1585495217,44,55
1585497128,24,39
1585499050,26,51
1585500975,70,50
1585502888,89,35
1585504815,72,44
1585506741,47,26
1585508651,48,43
1585510568,88,46
1585512510,56,40
1585514410,62,33
1585516333,48,29
1585518365,49,38
1585520172,43,33
1585522091,54,64
1585524018,929,0
1585525929,40,34
1585527850,50,35
1585529778,42,43
1585531692,21,40
1585533615,45,54
1585535537,35,49
1585537450,42,43
1585539379,45,50
1585541299,31,46
1585543211,39,44
1585545154,54,31
1585547084,46,30
1585548970,35,34
1585550896,69,28
1585552814,88,52
1585554738,70,38
1585556650,67,28
1585558568,79,32
1585560500,46,33
1585562416,56,2258
1585564336,50,41
1585566505,952,0
1585568411,92,53
1585570332,64,58
1585572262,52,41
1585574169,101,0
1585576089,78,48
1585578016,65,52
1585579929,65,35
1585581852,58,48
1585583776,56,43
1585585687,57,31
1585587623,64,59
1585589536,39,37
1585591701,52,52
1585593624,57,52
1585595539,70,43
1585597458,49,43
1585599375,70,46
1585601533,83,44
1585603450,55,38
1585605380,59,45
1585607285,65,39
1585609219,887,0
1585611254,41,45
1585613314,53,41
1585615211,76,0
1585617151,52,15
1585619050,42,33
1585620975,59,45
1585622896,38,32
1585624814,43,44
1585626728,40,41
1585628672,38,26
1585630568,47,51
1585632495,32,36
1585634432,41,43
1585636432,28,34
1585638753,43,58
1585640651,41,41
1585642572,50,43
1585644487,33,35
1585646407,34,34
1585648341,45,42
1585650248,45,2312
1585652166,68,46
1585654097,1057,0
1585656027,66,56
1585657945,77,41
1585660135,51,29
1585662009,36,32
1585664186,47,52
1585666231,46,42
1585668250,56,35
1585670176,42,39
1585672086,71,40
1585674018,74,49
1585675972,74,52
1585678103,81,38
1585680009,61,40
1585681928,53,48
1585683859,49,52
1585685773,78,80
1585687690,63,53
1585689616,51,64
1585691526,45,39
1585693448,35,47
1585695378,66,46
1585697286,942,1
1585699223,47,46
1585701145,53,38
1585703313,54,27
1585705215,63,25
1585707145,44,39
1585709051,49,34
1585710971,67,35
1585712897,46,32
1585714811,45,34
1585716728,80,35
1585718661,46,48
1585720566,57,38
1585722823,44,36
1585724661,52,35
1585726568,45,60
1585728494,58,72
1585730414,50,62
1585732325,45,50
1585734273,38,41
1585736169,55,2462
1585738098,69,44
1585740009,1060,0
