DateTime,AddedIPs,RemovedIPs
1585269904,188,811
1585271704,273,2340
1585273505,253,1647
1585275305,211,876
1585277106,233,1607
1585278906,226,808
1585280706,210,1086
1585282507,255,584
1585284307,322,248
1585286108,260,277
1585287906,236,216
1585289708,348,304
1585291507,215,177
1585293307,195,218
1585295107,219,252
1585296907,319,159
1585298709,224,266
1585300508,309,247
1585302307,245,316
1585304109,235,212
1585305908,322,210
1585307708,1061,371
1585309508,366,272
1585311308,317,107
1585313108,301,67
1585314909,292,105
1585316707,241,113
1585318507,269,93
1585320307,258,86
1585322107,270,101
1585323906,275,64
1585325707,311,67
1585327506,321,85
1585329307,343,139
1585331106,657,173
1585332904,741,135
1585334705,710,128
1585336505,545,114
1585338305,446,159
1585340105,436,414
1585341905,417,1102
1585343705,327,266
1585345505,331,579
1585347305,492,907
1585349105,289,779
1585350905,308,978
1585352704,1193,1636
1585354505,172,541
1585356305,161,349
1585358105,154,217
1585359905,220,116
1585361704,153,75
1585363504,197,131
1585365305,201,68
1585367104,273,118
1585368904,172,95
1585370705,180,117
1585372504,250,43
1585374305,174,90
1585376104,211,33
1585377904,343,71
1585379704,190,59
1585381505,180,53
1585383304,221,60
1585385104,550,128
1585386904,711,183
1585388704,561,148
1585390504,321,286
1585392304,455,362
1585394104,401,234
1585395903,370,949
1585397703,502,241
1585399503,494,166
1585401304,678,124
1585403102,444,199
1585404903,598,90
1585406704,310,107
1585408504,361,217
1585410304,287,160
1585412104,229,448
1585413903,284,742
1585415704,383,1181
1585417505,264,2893
1585419305,331,2734
1585421104,154,208
1585422904,286,98
1585424705,182,31
1585426504,236,51
1585428305,209,69
1585430105,332,81
1585431905,270,62
1585433705,200,17
1585435505,569,125
1585437304,514,239
1585439104,641,185
1585440904,441,194
1585442704,438,130
1585444505,420,968
1585446306,433,444
1585448107,771,378
1585449907,393,2917
1585451708,252,1688
1585453508,355,70
1585455307,273,52
1585457106,308,22
1585458908,269,78
1585460708,365,19
1585462506,266,31
1585464304,253,22
1585466105,370,60
1585467905,227,80
1585469705,231,45
1585471505,273,44
1585473305,371,40
1585475105,299,106
1585476905,351,117
1585478707,381,111
1585480506,364,132
1585482306,359,676
1585484106,430,190
1585485907,354,109
1585487707,377,73
1585489507,428,271
1585491305,463,250
1585493105,537,455
1585494905,462,483
1585496704,404,534
1585498504,250,308
1585500304,312,274
1585502104,397,1162
1585503904,333,240
1585505706,336,169
1585507504,368,244
1585509304,397,145
1585511105,473,193
1585512904,301,139
1585514704,321,128
1585516505,363,166
1585518305,495,171
1585520105,309,71
1585521905,415,181
1585523705,373,60
1585525504,395,127
1585527304,395,126
1585529104,427,138
1585530904,447,289
1585532703,411,372
1585534504,354,388
1585536304,367,396
1585538104,414,501
1585539903,320,442
1585541704,378,299
1585543504,363,236
1585545304,305,394
1585547103,386,253
1585548903,312,303
1585550703,244,300
1585552503,244,342
1585554304,395,500
1585556103,247,297
1585557904,290,276
1585559704,550,335
1585561504,508,373
1585563304,968,487
1585565104,1153,741
1585566904,2546,1074
1585568704,692,432
1585570503,867,366
1585572305,816,517
1585574104,1020,636
1585575904,935,286
1585577704,987,433
1585579504,1117,451
1585581303,1329,557
1585583105,881,931
1585584905,1040,638
1585586704,925,458
1585588504,977,232
1585590304,664,129
1585592104,466,127
1585593904,624,168
1585595705,498,467
1585597504,682,406
1585599304,447,677
1585601104,401,514
1585602905,436,761
1585604704,491,1169
1585606504,1624,2030
1585608304,808,1330
1585610104,465,878
1585611904,423,761
1585613703,341,1209
