DateTime,Entries,UniqueIPs
1585269904,9565,9565
1585271704,7498,7498
1585273505,6104,6104
1585275305,5439,5439
1585277106,4065,4065
1585278906,3483,3483
1585280706,2607,2607
1585282507,2278,2278
1585284307,2352,2352
1585286108,2335,2335
1585287906,2355,2355
1585289708,2399,2399
1585291507,2437,2437
1585293307,2414,2414
1585295107,2381,2381
1585296907,2541,2541
1585298709,2499,2499
1585300508,2561,2561
1585302307,2490,2490
1585304109,2513,2513
1585305908,2625,2625
1585307708,3315,3315
1585309508,3409,3409
1585311308,3619,3619
1585313108,3853,3853
1585314909,4040,4040
1585316707,4168,4168
1585318507,4344,4344
1585320307,4516,4516
1585322107,4685,4685
1585323906,4896,4896
1585325707,5140,5140
1585327506,5376,5376
1585329307,5580,5580
1585331106,6064,6064
1585332904,6670,6670
1585334705,7252,7252
1585336505,7683,7683
1585338305,7970,7970
1585340105,7992,7992
1585341905,7307,7307
1585343705,7368,7368
1585345505,7120,7120
1585347305,6705,6705
1585349105,6215,6215
1585350905,5545,5545
1585352704,5102,5102
1585354505,4733,4733
1585356305,4545,4545
1585358105,4482,4482
1585359905,4586,4586
1585361704,4664,4664
1585363504,4730,4730
1585365305,4863,4863
1585367104,5018,5018
1585368904,5095,5095
1585370705,5158,5158
1585372504,5365,5365
1585374305,5449,5449
1585376104,5627,5627
1585377904,5899,5899
1585379704,6030,6030
1585381505,6157,6157
1585383304,6318,6318
1585385104,6740,6740
1585386904,7268,7268
1585388704,7681,7681
1585390504,7716,7716
1585392304,7809,7809
1585394104,7976,7976
1585395903,7397,7397
1585397703,7658,7658
1585399503,7986,7986
1585401304,8540,8540
1585403102,8785,8785
1585404903,9293,9293
1585406704,9496,9496
1585408504,9640,9640
1585410304,9767,9767
1585412104,9548,9548
1585413903,9090,9090
1585415704,8292,8292
1585417505,5663,5663
1585419305,3260,3260
1585421104,3206,3206
1585422904,3394,3394
1585424705,3545,3545
1585426504,3730,3730
1585428305,3870,3870
1585430105,4121,4121
1585431905,4329,4329
1585433705,4512,4512
1585435505,4956,4956
1585437304,5231,5231
1585439104,5687,5687
1585440904,5934,5934
1585442704,6242,6242
1585444505,5694,5694
1585446306,5683,5683
1585448107,6076,6076
1585449907,3552,3552
1585451708,2116,2116
1585453508,2401,2401
1585455307,2622,2622
1585457106,2908,2908
1585458908,3099,3099
1585460708,3445,3445
1585462506,3680,3680
1585464304,3911,3911
1585466105,4221,4221
1585467905,4368,4368
1585469705,4554,4554
1585471505,4783,4783
1585473305,5114,5114
1585475105,5307,5307
1585476905,5541,5541
1585478707,5811,5811
1585480506,6043,6043
1585482306,5726,5726
1585484106,5966,5966
1585485907,6211,6211
1585487707,6515,6515
1585489507,6672,6672
1585491305,6885,6885
1585493105,6967,6967
1585494905,6946,6946
1585496704,6816,6816
1585498504,6758,6758
1585500304,6796,6796
1585502104,6031,6031
1585503904,6124,6124
1585505706,6291,6291
1585507504,6415,6415
1585509304,6667,6667
1585511105,6947,6947
1585512904,7109,7109
1585514704,7302,7302
1585516505,7499,7499
1585518305,7823,7823
1585520105,8061,8061
1585521905,8295,8295
1585523705,8608,8608
1585525504,8876,8876
1585527304,9145,9145
1585529104,9434,9434
1585530904,9592,9592
1585532703,9631,9631
1585534504,9597,9597
1585536304,9568,9568
1585538104,9481,9481
1585539903,9359,9359
1585541704,9438,9438
1585543504,9565,9565
1585545304,9476,9476
1585547103,9609,9609
1585548903,9618,9618
1585550703,9562,9562
1585552503,9464,9464
1585554304,9359,9359
1585556103,9309,9309
1585557904,9323,9323
1585559704,9538,9538
1585561504,9673,9673
1585563304,10154,10154
1585565104,10566,10566
1585566904,12038,12038
1585568704,12298,12298
1585570503,12799,12799
1585572305,13098,13098
1585574104,13482,13482
1585575904,14131,14131
1585577704,14685,14685
1585579504,15351,15351
1585581303,16123,16123
1585583105,16073,16073
1585584905,16475,16475
1585586704,16942,16942
1585588504,17687,17687
1585590304,18222,18222
1585592104,18561,18561
1585593904,19017,19017
1585595705,19048,19048
1585597504,19324,19324
1585599304,19094,19094
1585601104,18981,18981
1585602905,18656,18656
1585604704,17978,17978
1585606504,17572,17572
1585608304,17050,17050
1585610104,16637,16637
1585611904,16299,16299
1585613703,15431,15431
1585615505,14493,14493
1585617304,13875,13875
1585619104,13205,13205
1585620904,12674,12674
1585622704,12115,12115
1585624505,11406,11406
1585626304,10785,10785
1585628105,10290,10290
1585629904,10317,10317
