DateTime,AddedIPs,RemovedIPs
1585729322,4,3
1585730522,3,7
1585731721,2,5
1585732922,7,14
1585733521,4,0
1585734121,8,10
1585734722,7,0
1585735322,2,0
1585735922,3,7
1585736521,2,0
1585737122,4,5
1585737722,4,2
1585738321,3,0
1585738921,7,8
1585739521,7,7
1585740122,3,0
1585740721,4,5
1585741321,1,1
1585742522,3,10
1585743121,7,5
1585743722,7,0
1585744922,1,3
1585746121,5,22
1585746721,2,0
1585747321,3,0
1585747922,3,6
1585748521,2,0
1585749721,22,21
1585750321,6,8
1585751521,4,0
1585752121,7,1
1585752721,8,0
1585753321,4,0
1585753921,6,9
1585755121,2,10
1585755721,2,8
1585756921,4,0
1585757521,3,0
1585758121,2,9
1585759321,3,4
1585760521,10,3
1585761121,0,4
1585761722,10,0
1585762321,7,12
1585763521,9,0
1585764121,4,3
1585765321,9,5
1585766521,6,0
1585767121,3,7
1585767721,5,0
1585768921,6,3
1585770122,3,37
1585771321,7,15
1585772521,4,0
1585773721,3,9
1585774921,1,6
1585776121,4,13
1585776722,4,0
1585777321,2,11
1585778521,12,11
1585779722,6,2
1585780922,1,31
1585782121,10,0
1585783321,3,5
1585784521,1,13
1585785721,1,0
1585786321,1,15
1585786921,6,0
1585788122,6,8
1585789321,2,9
1585790521,5,11
1585791121,5,2
1585791722,2,8
1585792921,0,1
1585794121,7,8
1585795321,4,5
1585796521,9,11
1585797721,1,13
1585798322,6,0
1585798922,8,0
1585800121,12,3
1585800721,2,8
1585801921,4,4
1585802522,8,0
1585803721,4,24
1585804922,2,5
1585805522,1,0
1585806121,3,0
1585807321,5,9
1585807921,3,7
1585809121,12,8
1585809721,5,5
1585810921,5,0
1585812121,6,8
1585813322,10,17
1585814522,4,0
1585815721,3,2
1585816321,7,11
1585816922,6,8
1585818121,3,6
1585818722,13,1
1585819321,5,14
1585820521,7,0
1585821721,2,4
1585822921,5,55
1585824121,12,2
1585824721,5,0
1585825321,2,12
1585826521,4,0
1585827722,6,8
1585828921,7,7
1585830121,3,17
1585831321,3,39
1585831922,4,0
1585833121,8,8
1585833722,2,6
1585834321,5,5
1585835521,5,2
1585836122,9,0
1585836721,7,15
1585837921,3,3
1585838522,4,0
1585839721,7,3
1585840921,6,10
1585842121,12,36
1585843321,7,8
1585844521,5,8
1585845721,3,11
1585846321,2,6
1585846921,1,0
1585848121,3,4
1585848722,3,3
1585849321,4,0
1585850521,3,5
1585851721,1,11
1585852321,3,5
1585852921,3,0
1585854122,9,13
1585855322,3,2
1585856521,6,10
1585857721,3,10
1585858921,3,0
1585860121,7,6
1585861321,3,12
1585862522,12,10
1585863121,3,0
1585863722,6,23
1585864922,5,8
1585865521,3,0
1585866121,4,6
1585866722,6,3
1585867322,1,2
1585868521,5,1
1585869721,3,4
1585870921,9,9
1585872121,5,7
1585872721,2,0
1585873321,2,0
1585874521,4,16
1585875121,3,0
1585876321,3,4
1585876921,9,0
1585877522,4,4
1585878122,3,12
1585879321,6,0
1585880521,5,11
1585881721,2,4
1585882321,4,5
1585882921,6,17
1585883521,6,0
1585884121,5,8
1585884721,4,0
1585885322,2,7
1585886521,6,4
1585887121,6,0
1585887721,6,8
1585888921,4,3
1585889521,2,16
1585890121,13,0
1585891321,8,7
1585892521,4,9
1585893722,3,8
1585894921,12,4
1585896121,5,0
1585897321,5,5
1585898521,8,1
1585899121,5,10
1585899721,2,18
1585900321,12,0
1585900921,2,13
1585902121,1,0
1585902721,3,8
1585903321,5,0
1585903921,3,10
1585905121,7,5
1585906321,7,4
1585906921,7,0
1585907521,6,3
1585908722,8,3
1585909321,2,0
1585909921,3,27
1585910521,3,4
1585911722,5,8
1585912321,4,0
1585912922,1,0
1585914121,6,2
1585914721,3,10
1585915921,2,6
1585917122,6,6
1585918921,0,30
1585919521,3,6
1585920122,9,1
1585920721,3,0
1585921321,9,7
1585922522,2,0
1585923721,9,3
1585924321,3,4
1585924921,1,0
1585925521,5,11
1585926121,5,17
1585927321,1,5
1585927921,1,8
1585929121,8,3
1585929721,3,3
1585930921,3,8
1585931521,2,0
1585932721,4,3
1585933322,3,3
1585934521,6,0
1585935121,2,14
1585936321,2,37
1585936921,6,7
1585937521,7,0
1585938121,3,2
1585939321,3,10
1585939921,6,0
1585940522,7,0
1585941121,5,13
1585941721,5,4
1585942321,8,0
1585942922,2,11
1585944121,3,1
1585944722,3,9
1585945922,3,13
1585946521,5,8
1585947721,3,0
1585948321,3,6
1585949522,5,2
1585950122,4,6
1585951321,8,6
1585951921,1,8
1585953121,14,0
1585953721,8,0
1585954922,5,2
1585955521,4,2
1585956721,6,21
1585957322,10,0
1585958522,2,6
1585959721,4,4
1585960322,1,7
1585960921,6,8
1585962122,5,5
1585962721,2,0
1585963322,11,0
1585964522,4,12
1585965121,0,4
1585966921,8,7
1585967521,0,6
1585968721,12,4
1585969322,5,0
1585970521,2,8
1585971122,9,0
1585971722,4,11
1585972921,6,0
1585973521,12,7
1585974721,3,6
1585975322,4,0
1585975921,7,8
1585976521,6,9
1585977121,6,1
1585978321,3,9
1585978921,3,0
1585980121,8,13
1585981321,15,1
1585982521,3,45
1585983722,8,6
1585984921,2,13
1585985521,5,0
1585986721,9,11
1585987321,4,0
1585987921,2,1
1585989121,2,5
1585990321,6,7
1585990921,7,4
1585992721,1,4
1585993921,6,4
1585994521,2,12
1585995721,11,2
1585996322,3,4
1585997521,6,0
1585998122,7,0
1585998721,6,5
1585999321,7,0
1585999922,5,8
1586000521,10,6
1586001121,4,0
1586001721,3,0
1586002921,1,23
1586004122,7,10
1586005321,4,8
1586005921,4,4
1586007122,4,0
1586007721,5,0
1586008321,3,3
1586009521,7,6
1586010121,3,0
1586011321,2,6
1586012522,6,2
1586013121,2,0
1586013721,6,2
1586014921,5,0
1586015521,1,3
1586016121,1,0
1586016721,3,2
1586017321,1,2
1586017922,1,15
1586019121,6,0
1586019721,4,0
1586020921,3,12
1586021522,6,0
1586022121,4,0
1586023322,9,9
1586024521,8,8
1586025122,6,0
1586025722,2,0
1586026921,3,9
1586027521,4,0
1586028121,9,6
1586028721,3,0
1586029322,4,5
1586029921,3,0
1586030521,4,0
1586031121,3,7
1586032322,0,4
1586032921,7,0
1586033521,4,0
1586034121,3,10
1586035321,6,3
1586035922,3,0
1586036522,5,0
1586037122,12,8
1586038322,4,5
1586039522,4,0
1586040121,4,0
1586041321,2,10
1586042521,5,0
1586043122,4,5
1586043721,13,6
1586044321,5,0
1586044921,7,0
1586045521,5,3
1586046722,4,7
1586047322,1,0
1586048521,3,3
1586049121,9,8
1586049721,0,7
1586050921,10,7
1586051521,9,0
1586052121,2,9
1586053321,7,4
1586053921,4,0
1586055121,4,3
1586055722,5,0
1586056921,3,10
1586058121,3,4
1586059321,9,12
1586060521,2,10
1586061121,4,0
1586061721,7,0
1586062921,6,4
1586064121,7,5
1586065322,11,11
1586065921,11,0
1586066521,2,4
1586067722,5,4
1586068321,4,0
1586069521,6,5
1586070721,3,7
1586071321,5,0
1586071921,1,12
1586072521,8,3
1586073721,2,6
1586074921,5,11
1586076121,2,11
1586077321,2,0
1586078521,14,3
1586079721,10,10
1586080922,4,4
1586081521,4,6
1586082721,7,0
1586083321,6,0
1586084522,1,0
1586085121,7,1
1586085721,5,0
1586086922,8,10
1586087522,6,0
1586088121,8,13
1586088721,5,9
1586089921,1,6
1586091122,8,0
1586091721,8,9
1586092321,5,0
1586092922,2,7
1586093521,1,9
1586094721,3,0
1586095322,3,0
1586095921,9,7
1586096521,7,8
1586097121,11,14
1586098322,9,4
1586098921,3,6
1586100121,8,12
1586101321,4,6
1586101921,7,6
1586102522,11,0
1586103121,3,5
1586103721,3,0
1586104321,5,8
1586105521,8,0
1586106122,10,7
1586106721,5,0
1586107922,16,0
1586109121,7,8
1586109721,2,0
1586110921,7,12
1586111522,1,6
1586112121,7,11
1586112721,8,0
1586113321,1,0
1586114522,5,12
1586115121,6,0
1586115721,6,0
1586116922,9,2
1586117521,3,1
1586118121,6,0
1586119321,6,16
1586119921,1,0
1586120521,5,2
1586122321,9,9
1586122921,4,15
1586124122,0,6
1586124721,7,3
1586125921,2,4
1586126522,4,0
1586127721,5,18
1586128321,4,0
1586128921,12,0
1586130122,6,8
1586130722,10,0
1586131921,9,6
1586133121,0,4
1586133721,8,1
1586134321,6,9
1586134921,8,3
1586135521,5,0
1586136721,10,8
1586137921,4,7
1586138521,10,0
1586139121,7,5
1586140321,3,4
1586141522,8,10
1586142121,3,7
1586143321,2,0
1586144521,0,13
1586145722,7,21
1586146322,8,8
1586147521,5,6
1586148722,10,9
1586149322,2,2
1586149921,11,0
1586150521,10,4
1586151121,3,24
1586152321,8,0
1586152921,9,7
1586154121,12,5
1586155322,8,0
1586156521,3,14
1586157721,9,0
1586158321,10,4
1586159521,6,2
1586160121,11,1
1586161322,13,0
1586162521,8,33
1586163121,7,0
1586163721,3,11
1586164322,3,0
1586165521,5,5
1586166122,2,0
1586166721,10,1
1586167321,3,10
