DateTime,AddedIPs,RemovedIPs
1585708921,30,8
1585709521,5,15
1585710121,2,13
1585710721,24,0
1585711921,5,8
1585713122,14,18
1585714922,10,29
1585716121,18,32
1585716721,14,16
1585718521,12,20
1585719121,4,11
1585719721,6,0
1585720922,16,8
1585721522,5,0
1585722121,8,9
1585723321,8,9
1585724521,3,7
1585725121,5,0
1585725721,8,2
1585727521,6,9
1585728721,5,2
1585729321,0,2
1585730521,3,13
1585731121,12,0
1585732321,8,3
1585733521,3,24
1585734721,9,0
1585735322,1,30
1585735922,3,0
1585736521,9,11
1585737122,10,0
1585737722,8,6
1585739521,0,1
1585740721,3,1
1585741321,1,9
1585743121,0,2
1585743721,0,7
1585744922,3,6
1585746121,7,7
1585746721,16,0
1585747321,12,4
1585747922,2,0
1585748521,2,3
1585749721,24,9
1585750921,10,25
1585752121,7,52
1585752721,3,0
1585753321,4,6
1585754521,3,3
1585755121,0,5
1585755721,0,8
1585757521,2,8
1585758721,2,8
1585759321,6,0
1585759921,5,3
1585760521,9,9
1585761722,24,4
1585762321,5,0
1585763521,35,1
1585764121,3,20
1585764721,3,47
1585765921,16,7
1585766521,9,5
1585767121,1,0
1585767721,0,6
1585768921,4,3
1585769521,2,2
1585770722,5,5
1585772521,5,8
1585773721,5,3
1585774921,13,0
1585775521,5,10
1585776722,6,7
1585777321,6,0
1585778521,1,8
1585779122,5,12
1585779722,6,0
1585780321,1,23
1585780922,2,6
1585781521,3,0
1585782721,35,19
1585783321,8,0
1585783921,5,4
1585784521,7,14
1585785121,4,18
1585786321,34,24
1585786921,28,0
1585788122,37,20
1585789321,23,23
1585790521,3,25
1585791121,27,0
1585791721,15,20
1585792321,4,14
1585793521,26,15
1585794121,2,24
1585795321,24,10
1585795921,3,2
1585796521,14,22
1585797721,16,4
1585798322,24,0
1585799521,23,18
1585800121,5,0
1585801321,29,8
1585801921,19,17
1585803122,14,10
1585804321,16,17
1585804922,9,6
1585805522,7,0
1585806721,7,17
1585807921,2,5
1585809121,7,0
1585809721,0,14
1585810921,3,9
1585812121,4,12
1585813322,1,5
1585814521,9,3
1585815721,2,0
1585817521,25,10
1585818121,4,0
1585819321,8,0
1585820521,8,4
1585821121,1,7
1585821721,0,3
1585822321,0,1
1585822921,0,3
1585823521,1,10
1585824721,3,1
1585825321,6,0
1585825921,0,4
1585827722,23,5
1585828321,2,0
1585828921,6,2
1585829521,2,0
1585830121,1,0
1585830721,0,11
1585831922,9,0
1585832522,0,13
1585834321,1,3
1585836122,10,19
1585836721,0,8
1585837321,2,0
1585837921,0,11
1585839121,3,6
1585840321,1,3
1585840921,8,0
1585842121,2,0
1585843321,7,0
1585844521,1,0
1585845721,8,9
1585846321,9,0
1585846921,1,0
