DateTime,Entries,UniqueIPs
1585633921,9485,9797
1585635121,9480,9792
1585636322,9483,9795
1585637522,9480,9792
1585638722,9478,9790
1585639322,9475,9787
1585639922,9473,9785
1585641121,9469,9781
1585642321,9470,9782
1585643521,9474,9786
1585645322,9468,9780
1585646521,9470,9782
1585648322,9488,9800
1585649521,9482,9793
1585650722,9485,9796
1585652521,9482,9793
1585653121,9480,9791
1585654321,9480,9791
1585654921,9479,9790
1585656122,9479,9790
1585657921,9476,9787
1585659721,9472,9783
1585660321,9473,9784
1585661521,9474,9785
1585663321,9474,9785
1585663921,9466,9776
1585665121,9490,9800
1585666321,9489,9799
1585667521,9491,9801
1585669922,9489,9799
1585671721,9487,9797
1585673521,9488,9798
1585675321,9486,9796
1585675921,9487,9797
1585677721,9523,9833
1585678322,9516,9825
1585678921,9512,9821
1585680721,9509,9818
1585681321,9509,9818
1585681921,9505,9814
1585682521,9508,9817
1585683721,9509,9818
1585684921,9504,9813
1585686121,9503,9812
1585686721,9504,9813
1585687921,9502,9811
1585688521,9499,9808
1585689121,9502,9811
1585690321,9499,9808
1585690921,9501,9810
1585692121,9503,9812
1585692721,9496,9805
1585693321,9497,9805
1585695121,9494,9802
1585696921,9491,9796
1585698721,9482,9785
1585699921,9474,9777
1585700521,9475,9778
1585701122,9468,9771
1585701721,9464,9767
1585702921,9460,9763
1585703521,9458,9761
1585704721,9459,9762
1585705922,9451,9754
1585706521,9441,9744
1585707121,9442,9745
1585707721,9438,9741
1585708921,9434,9736
1585709521,9430,9732
1585710121,9423,9724
1585710721,9425,9726
1585711322,9424,9723
1585711921,9422,9721
1585713122,9415,9711
1585713721,9410,9705
1585714922,9411,9706
1585716121,9410,9705
1585716721,9403,9698
1585718521,9397,9692
1585719721,9398,9693
1585720922,9397,9692
1585722121,9396,9691
1585722721,9395,9690
1585723321,9392,9687
1585725121,9387,9682
1585725721,9383,9679
1585727521,9380,9676
1585728721,9373,9669
1585729321,9372,9668
1585730521,9371,9667
1585731121,9372,9668
1585732321,9368,9663
1585732922,9354,9647
1585733521,9356,9649
1585734121,9349,9642
1585734721,9350,9643
1585735322,9347,9640
1585735922,9345,9638
1585736521,9339,9631
1585737722,9337,9628
1585738321,9333,9624
1585740721,9330,9621
1585741321,9328,9619
1585743121,9327,9618
1585744321,9326,9617
1585746121,9319,9610
1585746721,9320,9611
1585747321,9321,9612
1585747922,9320,9611
1585748521,9318,9609
1585749721,9317,9607
1585750921,9313,9602
1585752121,9304,9593
1585753321,9302,9591
1585754521,9299,9587
1585755121,9296,9584
1585755721,9292,9580
1585757521,9293,9581
1585758721,9288,9576
1585759921,9279,9567
1585760521,9278,9566
1585761722,9278,9565
1585762321,9276,9563
1585763521,9270,9556
1585766521,9269,9555
1585767121,9268,9554
1585768921,9265,9550
1585769521,9264,9549
1585770722,9261,9546
1585771321,9259,9544
1585772521,9259,9544
1585773721,9258,9543
1585774921,9257,9542
1585775521,9244,9529
1585776722,9240,9525
1585778521,9238,9523
1585779122,9236,9521
1585779722,9237,9522
1585780922,9232,9517
1585782721,9229,9514
1585783321,9230,9515
1585783921,9228,9513
1585785121,9223,9508
1585786321,9217,9502
1585788122,9212,9496
1585789321,9214,9498
1585790521,9210,9494
1585791121,9210,9494
1585792321,9210,9490
1585793521,9208,9488
1585794121,9203,9482
1585795321,9204,9483
1585796521,9198,9477
1585797721,9199,9478
1585798322,9200,9479
1585799521,9198,9478
1585801321,9195,9475
1585801921,9192,9472
1585803122,9187,9467
1585804321,9188,9468
1585804922,9189,9469
1585806721,9181,9460
1585807921,9174,9453
1585808521,9168,9447
1585809121,9170,9449
1585810921,9167,9441
1585812121,9160,9434
1585813322,9161,9435
1585814521,9157,9429
1585815721,9153,9425
1585817521,9149,9422
1585818722,9138,9411
1585819321,9137,9410
1585820521,9137,9409
1585821121,9130,9402
1585822321,9127,9399
1585822921,9125,9397
1585823521,9123,9395
1585824721,9113,9384
1585825321,9118,9389
1585825921,9117,9388
1585827722,9116,9386
1585828921,9117,9388
1585830121,9114,9384
1585830721,9113,9383
1585832522,9108,9378
1585836122,9107,9377
1585836721,9103,9370
1585837321,9104,9371
1585838522,9101,9368
1585839121,9098,9363
1585840321,9088,9345
1585840921,9086,9343
1585842121,9077,9333
1585843321,9077,9332
1585844521,9076,9331
1585845121,9075,9330
1585845721,9073,9327
1585847521,9066,9320
1585848722,9066,9320
1585850521,9059,9312
1585851122,9057,9310
1585852321,9054,9306
1585853521,9043,9295
1585854721,9035,9287
1585855921,9032,9284
1585857721,9025,9277
1585858321,9023,9275
1585858921,9015,9267
1585860121,9019,9271
1585862522,9009,9260
1585863121,9009,9260
1585863722,9007,9257
1585864922,9009,9259
1585866121,9004,9253
1585866722,9005,9254
1585867921,9007,9256
1585868521,9009,9258
1585869721,9010,9259
1585870921,9004,9253
1585871521,8999,9247
1585872721,9000,9248
1585873921,9001,9249
1585875721,9002,9250
1585876921,8996,9244
1585878122,8995,9243
1585879321,8987,9235
1585880521,8986,9234
1585881121,8987,9235
1585882921,8977,9225
1585884121,9017,9265
1585884721,9021,9269
1585885321,9020,9268
1585886521,9018,9266
1585887121,9020,9268
1585888321,9017,9265
1585889521,9013,9261
1585890121,9022,9270
1585891321,9021,9269
1585892521,9018,9266
1585893722,9011,9259
1585894921,9009,9259
1585896722,9008,9258
1585898521,9012,9262
1585899721,9006,9255
1585900921,9005,9254
1585902121,9004,9253
1585903321,8996,9245
1585904522,8993,9242
1585905721,8998,9247
1585906321,8995,9244
1585906921,8996,9245
1585908121,8995,9244
1585908722,8995,9244
1585909321,8994,9243
1585909921,8995,9244
1585910521,8986,9235
1585911722,8983,9233
1585912922,8984,9234
1585913521,8980,9230
1585914721,8981,9230
1585915321,8979,9228
1585917122,8974,9223
1585917721,8973,9222
1585918921,8974,9223
1585919521,8974,9223
1585920122,8975,9224
1585920721,8974,9223
1585921921,8972,9221
1585922522,8970,9219
1585923121,8972,9221
1585923721,8970,9219
1585924921,8991,9240
1585925521,8991,9240
1585926721,8992,9241
1585927321,8989,9238
1585928521,8987,9236
1585929721,8986,9235
1585930321,8966,9215
1585930921,8963,9212
1585932121,8962,9211
1585932721,8962,9211
1585934521,8959,9208
