DateTime,AddedIPs,RemovedIPs
1585732922,8,8
1585733521,15,15
1585734121,8,8
1585734721,43,43
1585735322,14,14
1585735922,20,20
1585736521,42,42
1585737122,37,37
1585737722,41,41
1585738321,10,10
1585739521,17,17
1585740721,11,11
1585741321,11,11
1585743121,13,13
1585743721,8,8
1585744321,7,7
1585744922,9,9
1585746121,27,27
1585746721,47,47
1585747321,28,28
1585747922,9,9
1585748521,10,10
1585749721,75,75
1585750921,51,51
1585752121,39,39
1585752721,20,20
1585753321,13,13
1585754521,19,19
1585755121,4,4
1585755721,4,4
1585757521,11,11
1585758721,7,7
1585759321,23,23
1585759921,19,19
1585760521,35,35
1585761722,82,82
1585762321,18,18
1585763521,85,85
1585764121,26,26
1585764721,31,31
1585765921,59,59
1585766521,41,41
1585767121,12,12
1585767721,13,13
1585768921,25,25
1585769521,10,10
1585770722,19,19
1585771321,9,9
1585772521,18,18
1585773721,18,18
1585774921,46,46
1585775521,20,20
1585776722,28,28
1585777321,18,18
1585778521,9,9
1585779122,20,20
1585779722,13,13
1585780321,5,5
1585780922,16,16
1585781521,14,14
1585782721,92,92
1585783321,35,35
1585783921,32,32
1585784521,24,24
1585785121,30,30
1585786321,87,87
1585786921,65,65
1585788122,91,91
1585789321,94,94
1585790521,41,41
1585791121,65,65
1585791721,50,50
1585792321,29,29
1585793521,97,97
1585794121,15,15
1585795321,98,98
1585795921,35,35
1585796521,54,54
1585797721,51,51
1585798322,64,64
1585799521,61,61
1585800121,33,33
1585801321,96,96
1585801921,65,65
1585803122,59,59
1585804321,56,56
1585804922,32,32
1585805522,36,36
1585806721,26,26
1585807921,21,21
1585808521,7,7
1585809121,37,37
1585809721,10,10
1585810921,18,18
1585812121,23,23
1585813322,17,17
1585814521,43,43
1585815721,25,25
1585817521,84,84
1585818121,13,13
1585818722,3,3
1585819321,30,30
1585820521,25,25
1585821121,4,4
1585821721,8,8
1585822321,8,8
1585823521,5,5
1585824721,13,13
1585825321,11,11
1585825921,8,8
1585827722,58,58
1585828321,8,8
1585828921,23,23
1585829521,9,9
1585830121,6,6
1585830721,8,8
1585831922,35,35
1585832522,6,6
1585834321,12,12
1585834922,10,10
1585836122,38,38
1585836721,1,1
1585837321,7,7
1585837921,7,7
1585838522,6,6
1585839121,18,18
1585840321,8,8
1585840921,31,31
1585841521,4,4
1585842121,6,6
1585843321,22,22
1585844521,5,5
1585845121,6,6
1585845721,18,18
1585846321,29,29
1585846921,12,12
1585847521,20,20
1585848722,55,55
1585849321,33,33
1585850521,41,41
1585851122,60,60
1585851721,41,41
1585852321,22,22
1585852921,18,18
1585853521,14,14
1585854721,43,43
1585855921,93,93
1585856521,40,40
1585857721,78,78
1585858321,29,29
1585858921,70,70
1585860121,99,99
1585861321,52,52
1585862522,68,68
1585863121,72,72
1585863722,51,51
1585864922,83,83
1585866121,71,71
1585866722,38,38
1585867921,99,99
1585868521,91,91
1585869721,96,96
1585870921,56,56
1585871521,47,47
1585872721,88,88
1585873321,68,68
1585873921,67,67
1585875121,74,74
1585875721,24,24
1585876921,92,92
1585877522,36,36
1585878122,25,25
1585879321,39,39
1585880521,70,70
1585881121,56,56
1585881721,55,55
1585882921,87,87
1585883521,57,57
1585884121,100,100
1585884721,83,83
1585885321,48,48
1585886521,91,91
1585887121,54,54
1585888321,98,98
1585888921,50,50
1585889521,52,52
1585890121,61,61
1585891321,95,95
1585892521,95,95
1585893722,87,87
1585894921,88,88
1585896121,41,41
1585896722,33,33
1585898521,81,81
1585899721,74,74
1585900921,39,39
1585902121,98,98
1585902721,20,20
1585903321,15,15
1585904522,81,81
1585905721,33,33
1585906321,11,11
1585906921,53,53
1585908121,22,22
1585908722,19,19
1585909321,47,47
1585909921,30,30
1585910521,23,23
1585911722,54,54
1585912321,14,14
1585912922,2,2
1585913521,15,15
1585914121,6,6
1585914721,28,28
1585915321,18,18
1585916521,14,14
1585917122,1,1
1585917721,9,9
1585918321,6,6
1585918921,13,13
1585919521,18,18
1585920122,16,16
1585920721,33,33
1585921921,20,20
1585922522,31,31
1585923121,5,5
1585923721,14,14
1585924921,90,90
1585925521,56,56
1585926121,14,14
1585926721,9,9
1585927321,12,12
1585927921,8,8
1585928521,10,10
1585929721,11,11
1585930321,25,25
1585930921,26,26
1585932121,32,32
1585932721,16,16
1585933322,19,19
1585934521,59,59
1585935121,5,5
1585936321,93,93
1585936921,13,13
1585938121,92,92
1585938722,34,34
1585939321,17,17
1585939921,7,7
1585940522,27,27
1585941121,40,40
1585941721,48,48
1585942321,40,40
1585942922,8,8
1585944121,15,15
1585944722,5,5
1585945322,13,13
1585946521,28,28
1585947721,78,78
1585948921,57,57
1585950122,65,65
1585950721,47,47
1585951321,37,37
1585952521,74,74
1585953121,55,55
1585954321,28,28
1585955521,92,92
