DateTime,Entries,UniqueIPs
1583898302,5318,5318
1583901902,5456,5456
1583905501,5589,5589
1583909102,5726,5726
1583916301,6038,6038
1583919902,6190,6190
1583927102,6465,6465
1583930702,6638,6638
1583938802,6989,6989
1583942402,7659,7659
1583946002,7773,7773
1583949602,7974,7974
1583953202,8120,8120
1583956803,8219,8219
1583960402,8309,8309
1583964002,8432,8432
1583967602,8524,8524
1583974802,5554,5554
1583979301,5758,5758
1583982903,5918,5918
1583986502,6057,6057
1583990102,6218,6218
1583997301,6504,6504
1584000901,6650,6650
1584008102,6969,6969
1584012601,7184,7184
1584016202,7330,7330
1584019802,7498,7498
1584023401,7663,7663
1584027001,7779,7779
1584030602,7900,7900
1584035102,8062,8062
1584038702,8178,8178
1584042302,8291,8291
1584045902,8420,8420
1584049502,8500,8500
1584056702,8740,8740
1584060301,4975,4975
1584063902,5154,5154
1584067502,5309,5309
1584075602,5608,5608
1584079202,5772,5772
1584082802,5947,5947
1584086402,6090,6090
1584090002,6257,6257
1584093602,6428,6428
1584097202,6597,6597
1584100802,6775,6775
1584108002,7038,7038
1584111602,7185,7185
1584115202,7297,7297
1584118802,7381,7381
1584122402,7480,7480
1584130502,7751,7751
1584134102,7859,7859
1584141302,8051,8051
1584148501,4967,4967
1584152102,5098,5098
1584155702,5219,5219
1584159302,5356,5356
1584162901,5483,5483
1584166501,5620,5620
1584173701,5864,5864
1584177302,5992,5992
1584185401,6307,6307
1584189003,6507,6507
1584196202,6766,6766
1584203403,6971,6971
1584210602,7181,7181
1584214202,7301,7301
1584217802,7458,7458
1584221402,7571,7571
1584225902,7708,7708
1584229502,7793,7793
1584236702,4724,4724
1584243902,4992,4992
1584247502,5100,5100
1584251102,5203,5203
1584254702,5307,5307
1584261902,5560,5560
1584266401,5722,5722
1584270002,5820,5820
1584273601,5949,5949
1584277203,6055,6055
1584280802,6159,6159
1584284401,6239,6239
1584288002,6344,6344
1584295202,6559,6559
1584298802,6649,6649
1584306002,6819,6819
1584309602,6910,6910
1584313202,7016,7016
1584316802,4064,4064
1584320402,4216,4216
1584324002,4316,4316
1584327602,4432,4432
1584334802,4650,4650
1584338402,4772,4772
1584342002,4909,4909
1584345602,5068,5068
1584353702,5421,5421
1584357301,5586,5586
1584360902,5742,5742
1584364501,5932,5932
1584371702,6320,6320
1584375302,6482,6482
1584382501,6734,6734
1584389701,6998,6998
1584396902,7342,7342
1584404102,4956,4956
1584411302,5242,5242
1584414901,5403,5403
1584418502,5582,5582
1584425702,5874,5874
1584432902,6186,6186
1584436502,6372,6372
1584440102,6560,6560
1584447302,6925,6925
1584450901,7116,7116
1584454502,7308,7308
1584458102,7473,7473
1584461702,7589,7589
1584465302,7736,7736
1584468902,7922,7922
1584472502,8061,8061
1584476102,8180,8180
1584479702,8328,8328
1584483302,8447,8447
1584490501,5364,5364
1584494101,5472,5472
1584501302,5814,5814
1584504901,5957,5957
1584512101,6262,6262
1584515701,6390,6390
1584522902,6688,6688
1584526502,6916,6916
1584533701,7234,7234
1584537302,7395,7395
1584544502,7696,7696
1584548102,7837,7837
1584555302,8077,8077
1584558902,8211,8211
1584566102,8429,8429
1584569702,8507,8507
1584576902,4911,4911
1584581402,5115,5115
1584585001,5258,5258
1584588602,5357,5357
1584595802,5637,5637
1584599402,5770,5770
1584603001,5916,5916
1584606602,6070,6070
1584610201,6221,6221
1584614702,6434,6434
1584618302,6592,6592
1584621902,6745,6745
1584625502,6885,6885
1584629102,7050,7050
1584632702,7192,7192
1584636302,7330,7330
1584639902,7436,7436
1584643502,7607,7607
1584647102,7703,7703
1584650702,7827,7827
1584654302,7926,7926
1584657902,8064,8064
1584661502,8186,8186
1584668701,5045,5045
1584672302,5186,5186
1584679502,5453,5453
1584686702,5724,5724
1584693901,6081,6081
1584701102,6398,6398
1584708301,6711,6711
1584715502,7057,7057
1584719101,7200,7200
1584726301,7461,7461
1584728102,7531,7531
1584731701,7652,7652
1584738901,7864,7864
1584742502,7972,7972
1584746102,8077,8077
1584750602,4924,4924
1584754202,5054,5054
1584757802,5209,5209
1584761401,5329,5329
1584765001,5443,5443
1584768602,5544,5544
1584772202,5653,5653
1584775801,5793,5793
1584779401,5910,5910
1584786602,6147,6147
1584793802,6448,6448
1584801002,6743,6743
1584808201,6975,6975
1584815402,7203,7203
1584822602,7405,7405
1584826202,7551,7551
1584829802,7681,7681
1584833402,7764,7764
1584837002,4447,4447
1584840602,4558,4558
1584844202,4680,4680
1584847802,4795,4795
1584855002,5018,5018
1584858602,5142,5142
1584862201,5285,5285
1584865802,5385,5385
1584869402,5505,5505
1584873902,5661,5661
1584877502,5788,5788
1584881101,5896,5896
1584884702,5998,5998
1584888302,6121,6121
1584891902,6243,6243
1584895502,6367,6367
1584899102,6516,6516
1584902702,6619,6619
1584906302,6698,6698
1584909902,6808,6808
1584913502,6910,6910
1584920702,7103,7103
1584927902,4356,4356
1584935102,4604,4604
1584942301,4860,4860
1584945902,4974,4974
1584949501,5104,5104
1584953101,5235,5235
1584956702,5413,5413
1584963902,5751,5751
1584967502,5888,5888
1584971102,6025,6025
1584974701,6154,6154
1584978302,6303,6303
1584981902,6415,6415
1584990002,6693,6693
1584993602,6821,6821
1584997203,6945,6945
1585000802,7083,7083
1585008002,4547,4547
1585015202,4836,4836
1585018802,4942,4942
1585022402,5081,5081
1585029602,5321,5321
1585036803,5577,5577
1585040402,5724,5724
1585044002,5860,5860
1585047602,5995,5995
1585054802,6218,6218
1585058402,6430,6430
1585065603,6697,6697
1585072802,6912,6912
1585080002,7209,7209
1585083602,7321,7321
1585087202,7446,7446
1585090802,7538,7538
1585094402,4415,4415
1585098003,4560,4560
1585103402,4799,4799
1585107002,4958,4958
1585110602,5071,5071
1585114202,5205,5205
1585117802,5326,5326
1585118702,5357,5357
1585122301,5498,5498
1585126802,5673,5673
1585134002,5988,5988
1585141202,6267,6267
1585148402,6586,6586
