DateTime,AddedIPs,RemovedIPs
1581894357,1,8
1581923152,2,0
1581930375,0,1
1581933967,12,12
1581937554,0,9
1581944753,0,1
1581951954,3,1
1581955552,0,1
1581959155,0,3
1581962749,0,1
1581977146,0,1
1581980751,3,0
1581991553,1,1
1581995150,0,3
1581998748,0,4
1582005951,1,7
1582016783,0,1
1582020344,2,8
1582038349,0,2
1582052744,0,1
1582059939,1,1
1582063543,14,1
1582074336,0,1
1582077942,1,1
1582081541,0,3
1582099561,0,1
1582103158,1,0
1582106741,13,18
1582110339,0,2
1582121143,1,4
1582124741,0,1
1582128339,0,5
1582135543,0,1
1582139143,0,3
1582142743,6,3
1582146345,8,1
1582149937,1,3
1582153539,0,1
1582160739,0,1
1582164341,0,1
1582167940,0,1
1582171542,0,1
1582175138,0,1
1582178741,0,1
1582185961,1,3
1582189572,0,1
1582207545,6,22
1582211143,0,12
1582221942,1,0
1582225543,1,1
1582232743,0,3
1582236344,11,2
1582243542,0,5
1582247144,1,2
1582250743,0,3
1582254339,0,3
1582261545,1,0
1582265146,4,0
1582268742,0,1
1582275970,1,0
1582279543,9,15
1582283143,2,5
1582286739,0,10
1582290341,1,0
1582293944,1,0
1582297537,3,0
1582304740,1,0
1582308343,0,1
1582315545,0,1
1582319139,0,2
1582322741,3,8
1582326346,1,6
1582329945,0,3
1582337145,0,1
1582347938,0,7
1582351544,2,6
1582355140,2,1
1582358757,10,0
1582362371,2,1
1582365938,8,13
1582369539,0,1
1582373143,0,4
1582376740,3,0
1582380338,5,12
1582383938,0,2
1582391140,1,0
1582394738,6,0
1582401938,2,0
1582409135,1,1
1582412742,1,2
1582416340,1,0
1582419939,1,1
1582423539,0,1
1582434340,2,0
1582437942,4,0
1582441536,3,0
1582452341,5,5
1582459538,1,0
1582466734,1,0
1582470336,1,0
1582481132,1,0
1582488336,0,1
1582491936,3,0
1582509937,1,0
1582517135,0,1
1582520740,1,0
1582531562,0,2
1582538736,12,6
1582542340,3,0
1582553136,3,0
1582563942,0,1
1582567538,7,1
1582574743,1,0
1582589138,1,0
1582596336,2,0
1582610742,0,1
1582617962,0,1
1582621564,0,1
1582625143,17,11
1582635938,1,0
1582639536,1,0
1582646737,2,0
1582650337,1,0
1582661137,1,0
1582664733,2,0
1582668334,1,3
1582671934,0,1
1582675535,0,1
1582682732,1,0
1582693536,1,1
1582700734,1,0
1582704332,1,0
1582711555,1,14
1582715153,3,0
1582718731,8,0
1582733132,1,0
1582736735,1,0
1582743931,1,0
1582747535,1,0
1582751134,3,1
1582761932,1,0
1582765532,1,0
