DateTime,AddedIPs,RemovedIPs
1584361982,4,3
1584365581,0,14
1584369181,7,0
1584372781,4,9
1584376381,6,11
1584379982,7,0
1584383582,4,5
1584387182,7,0
1584390781,8,1
1584394382,4,1
1584397981,4,6
1584401581,6,2
1584405182,2,6
1584408782,2,0
1584412381,1,1
1584415982,3,7
1584419581,5,10
1584423181,3,0
1584426782,5,3
1584430382,2,4
1584433982,3,0
1584437581,5,3
1584441182,7,1
1584444782,7,7
1584448381,4,0
1584451981,4,0
1584455582,2,7
1584459181,6,4
1584462781,2,8
1584469982,3,5
1584473581,3,15
1584477181,1,0
1584480781,3,5
1584484381,5,0
1584487982,5,6
1584491581,4,3
1584495182,3,2
1584498782,1,3
1584502381,4,3
1584505982,4,0
1584509582,1,4
1584513182,2,8
1584516781,1,0
1584520382,2,9
1584523981,2,1
1584527581,4,5
1584531182,4,0
1584534782,7,14
1584538381,7,0
1584541982,2,1
1584545582,5,3
1584549181,1,2
1584552781,4,3
1584556381,4,6
1584559981,1,0
1584563581,3,8
1584567181,5,0
1584570782,3,10
1584574382,3,6
1584577982,1,0
1584581581,5,8
1584585181,5,0
1584588781,5,3
1584592382,5,2
1584595981,2,4
1584599582,3,0
1584603181,4,4
1584606781,5,0
1584610381,2,5
1584613981,5,0
1584617582,7,6
1584621181,3,6
1584624781,7,8
1584628381,1,4
1584631981,7,4
1584635581,8,6
1584639181,5,2
1584642781,6,0
1584646381,3,3
1584649981,3,1
1584653582,2,5
1584657181,3,7
1584660781,1,0
1584664381,7,8
1584667981,1,0
1584671581,1,6
1584675182,4,4
1584678782,2,4
1584682382,5,3
1584685982,1,5
1584689582,2,2
1584693182,0,6
1584696781,10,1
1584700382,4,11
1584703981,2,2
1584707581,2,5
1584711182,3,0
1584714781,1,3
1584718381,0,3
1584721981,2,7
1584725581,5,0
1584729182,3,7
1584732781,5,1
1584736382,1,4
1584739981,6,7
1584743581,3,1
1584747182,4,3
1584750781,9,0
1584754382,3,8
1584757981,2,6
1584761581,5,0
1584765181,5,10
1584768781,2,0
1584772381,6,6
1584775982,7,4
1584779582,4,3
1584783181,6,0
1584786782,1,12
1584790382,3,4
1584793981,4,4
1584797581,3,0
1584801182,5,4
1584804781,2,2
1584808381,4,5
1584811982,2,1
1584815582,8,0
1584819181,5,4
1584822782,3,5
1584826381,4,0
1584829982,6,5
1584833582,4,2
1584837181,4,4
1584840781,6,0
1584844382,2,4
1584847982,0,1
1584851581,3,7
1584855182,6,7
1584858782,3,5
1584862382,6,0
1584865981,2,3
1584869582,3,9
1584873182,4,0
1584876781,3,4
1584880381,3,4
1584883982,7,9
1584887581,5,0
1584891182,5,3
1584894782,2,3
1584898382,2,5
1584901981,5,10
1584905581,3,2
1584909181,4,3
1584912782,7,0
1584916381,1,6
1584919981,4,0
1584923582,3,7
1584927181,2,8
1584930781,3,0
1584934381,4,5
1584937981,4,6
1584941582,2,6
1584945182,10,4
1584948781,4,3
1584952382,5,3
1584955981,2,0
1584959581,4,5
1584963182,2,5
1584966781,3,0
1584970382,3,3
1584973982,6,4
1584977582,2,6
1584981181,3,0
1584984781,1,7
1584988381,4,0
1584991981,3,7
