DateTime,AddedIPs,RemovedIPs
1584347582,17,19
1584351182,14,19
1584354781,13,8
1584358381,10,12
1584361982,11,13
1584369181,21,18
1584372781,13,15
1584376381,14,13
1584379982,14,12
1584383582,13,15
1584387182,19,19
1584390781,17,18
1584394382,12,13
1584397981,13,13
1584401581,13,12
1584405182,13,11
1584408782,11,11
1584412381,10,10
1584415982,16,18
1584419581,14,13
1584423181,14,15
1584426782,14,12
1584430382,8,8
1584433982,12,12
1584437581,11,14
1584441182,21,20
1584444782,22,20
1584448381,19,17
1584451981,11,14
1584455582,13,14
1584459181,13,13
1584462781,10,11
1584466382,12,11
1584469982,16,16
1584473581,14,12
1584477181,12,12
1584480781,21,19
1584484381,14,16
1584487982,15,15
1584491581,15,16
1584495182,14,15
1584498782,12,14
1584502381,14,12
1584505982,15,13
1584509582,9,8
1584513182,12,12
1584516781,10,11
1584520382,13,14
1584523981,9,12
1584527581,18,13
1584531182,14,12
1584534782,15,16
1584538381,16,14
1584541982,13,17
1584545582,17,16
1584549181,11,14
1584552781,13,15
1584556381,11,9
1584559981,11,11
1584563581,12,10
1584567181,17,17
1584570782,14,15
1584574382,11,7
1584577982,15,18
1584581581,12,15
1584585181,14,12
1584588781,10,12
1584592382,13,13
1584595981,10,9
1584599582,11,10
1584603181,11,13
1584606781,15,13
1584610381,9,8
1584613981,15,14
1584617582,13,13
1584621181,10,7
1584624781,22,21
1584628381,6,10
1584631981,18,20
1584635581,19,14
1584639181,16,17
1584642781,16,17
1584646381,13,12
1584649981,14,17
1584653582,14,14
1584657181,15,15
1584660781,11,11
1584664381,19,19
1584667981,15,12
1584671581,13,15
1584675182,18,20
1584678782,17,15
1584682382,18,18
1584685982,10,10
1584689582,10,14
1584696781,18,12
1584700382,19,24
1584703981,8,8
1584707581,13,14
1584711182,12,11
1584714781,11,13
1584718381,4,5
1584721981,12,6
1584725581,12,17
1584729182,11,9
1584732781,8,10
1584736382,11,11
1584739981,14,11
1584743581,15,15
1584747182,10,9
1584750781,18,17
